11443
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-huitième extrait>,<>,<>
de,de,81
mourir,mourir,14
plutôt,plutôt,60
que,que,83
de,de,81
céder,céder,14
",",",",p
et,et,82
comme,comme,83
tout,tout,75
cela,cela,52
s',se,51
était,être,18
envolé,envoler,12
sur,sur,81
un,un,71
certain,certain,75
mot,mot,21
que,que,52
je,je,51
lui,lui,51
avais,avoir,18
dit,dire,12
",",",",p
sur,sur,81
tel,tel,75
regard,regard,21
",",",",p
sur,sur,81
telle,tel,75
circonstance,circonstance,22
;,;,p
et,et,82
",",",",p
à,à,81
chaque,chaque,75
confidence,confidence,22
",",",",p
un,un,71
baiser,baiser,21
/.,/.,P
ce,ce,52
que,que,52
je,je,51
trouvais,trouver,18
de,de,81
mon,mon,73
goût,goût,21
dans,dans,81
sa,son,73
chambre,chambre,22
",",",",p
ce,ce,52
qui,qui,52
avait,avoir,18
attiré,attirer,12
mon,mon,73
attention,attention,22
",",",",p
parmi,parmi,81
les,le,71
bagatelles,bagatelle,22
dont,dont,52
ses,son,73
tables,table,22
étaient,être,18
couvertes,couvrir,12
",",",",p
elle,il,51
voulait,vouloir,18
me,je,51
le,le,52
donner,donner,14
",",",",p
que,que,83
je,je,51
l',le,52
emportasse,emporter,18
le,le,71
soir,soir,21
même,même,30
et,et,82
que,que,83
je,je,51
le,le,52
misse,mettre,18
sur,sur,81
ma,mon,73
cheminée,cheminée,22
;,;,p
ce,ce,52
qu',que,52
elle,il,51
ferait,faire,16
dorénavant,dorénavant,60
",",",",p
le,le,71
matin,matin,21
",",",",p
le,le,71
soir,soir,21
",",",",p
à,à,81
toute,tout,75
heure,heure,22
",",",",p
que,que,83
je,je,51
le,le,52
réglasse,régler,18
à,à,81
mon,mon,73
plaisir,plaisir,21
",",",",p
et,et,82
qu',que,83
elle,il,51
ne,ne,60
se,se,51
souciait,soucier,18
de,de,81
rien,rien,52
;,;,p
que,que,83
les,le,71
propos,propos,21
du,de,81
du,le,71
monde,monde,21
ne,ne,60
la,le,52
touchaient,toucher,18
pas,pas,60
;,;,p
que,que,83
si,si,83
elle,il,51
avait,avoir,18
fait,faire,12
semblant,semblant,21
d',de,81
y,y,52
croire,croire,14
",",",",p
c',ce,52
était,être,18
pour,pour,81
m',je,51
éloigner,éloigner,14
;,;,p
mais,mais,82
qu',que,83
elle,il,51
voulait,vouloir,18
être,être,14
heureuse,heureux,30
et,et,82
se,se,51
boucher,boucher,14
les,le,71
deux,deux,72
oreilles,oreille,22
;,;,p
qu',que,83
elle,il,51
venait,venir,18
d',de,81
avoir,avoir,14
trente,trente,72
ans,an,21
",",",",p
qu',que,83
elle,il,51
n',ne,60
avait,avoir,18
pas,pas,60
longtemps,longtemps,60
à,à,81
être,être,14
aimée,aimer,12
de,de,81
moi,moi,51
/.,/.,P
-,-,p
et,et,82
vous,vous,51
",",",",p
m',je,51
aimerez,aimer,15
vous,vous,51
longtemps,longtemps,60
/?,/?,P
est,être,17
ce,ce,52
un,un,71
peu,peu,60
vrai,vrai,30
",",",",p
ces,ce,74
belles,beau,30
paroles,parole,22
dont,dont,52
vous,vous,51
m',je,51
avez,avoir,17
si,si,60
bien,bien,60
étourdie,étourdir,12
/?,/?,P
et,et,82
là-dessus,là-dessus,60
les,le,71
chers,cher,30
reproches,reproche,21
:,:,p
que,que,52
je,je,51
venais,venir,18
tard,tard,60
et,et,82
que,que,52
j',je,51
étais,être,18
coquet,coquet,30
;,;,p
que,que,52
je,je,51
m',je,51
étais,être,18
trop,trop,60
parfumé,parfumer,12
au,à,81
au,le,71
bain,bain,21
",",",",p
ou,ou,82
pas,pas,60
assez,assez,60
",",",",p
ou,ou,82
pas,pas,60
à,à,81
sa,son,73
guise,guise,22
;,;,p
qu',que,83
elle,il,51
était,être,18
restée,rester,12
en,en,81
pantoufles,pantoufle,22
pour,pour,81
que,que,83
je,je,51
visse,voir,18
son,son,73
pied,pied,21
nu,nu,30
",",",",p
et,et,82
qu',que,83
il,il,51
était,être,18
aussi,aussi,60
blanc,blanc,30
que,que,83
sa,son,73
main,main,22
;,;,p
mais,mais,82
que,que,83
du,de,81
du,le,71
reste,reste,21
elle,il,51
n',ne,60
était,être,18
guère,guère,60
belle,beau,30
;,;,p
qu',que,83
elle,il,51
voudrait,vouloir,16
l',le,52
être,être,14
cent,cent,72
fois,fois,22
plus,plus,60
;,;,p
qu',que,83
elle,il,51
l',le,52
avait,avoir,18
été,être,12
à,à,81
quinze,quinze,72
ans,an,21
/.,/.,P
et,et,82
elle,il,51
allait,aller,18
",",",",p
et,et,82
elle,il,51
venait,venir,18
",",",",p
toute,tout,60
folle,fou,30
d',de,81
amour,amour,21
",",",",p
toute,tout,60
vermeille,vermeil,30
de,de,81
joie,joie,22
",",",",p
et,et,82
elle,il,51
ne,ne,60
savait,savoir,18
qu',que,83
imaginer,imaginer,14
",",",",p
quoi,quoi,52
faire,faire,14
",",",",p
quoi,quoi,52
dire,dire,14
",",",",p
pour,pour,81
se,se,51
donner,donner,14
et,et,82
se,se,51
donner,donner,14
encore,encore,60
",",",",p
elle,il,51
",",",",p
corps,corps,21
et,et,82
âme,âme,22
",",",",p
et,et,82
tout,tout,52
ce,ce,52
qu',que,52
elle,il,51
avait,avoir,18
/.,/.,P
j',je,51
étais,être,18
couché,coucher,12
sur,sur,81
le,le,71
sofa,sofa,21
;,;,p
je,je,51
sentais,sentir,18
tomber,tomber,14
et,et,82
se,se,51
détacher,détacher,14
de,de,81
moi,moi,51
une,un,71
mauvaise,mauvais,30
heure,heure,22
de,de,81
ma,mon,73
vie,vie,22
passée,passé,31
",",",",p
à,à,81
chaque,chaque,75
mot,mot,21
qu',que,52
elle,il,51
disait,dire,18
/.,/.,P
je,je,51
regardais,regarder,18
l',le,71
astre,astre,21
de,de,81
l',le,71
amour,amour,21
se,se,51
lever,lever,14
sur,sur,81
mon,mon,73
champ,champ,21
",",",",p
et,et,82
il,il,51
me,je,51
semblait,sembler,18
que,que,83
j',je,51
étais,être,18
comme,comme,83
un,un,71
arbre,arbre,21
plein,plein,30
de,de,81
sève,sève,22
",",",",p
qui,qui,52
secoue,secouer,17
au,à,81
au,le,71
vent,vent,21
ses,son,73
feuilles,feuille,22
sèches,sec,30
pour,pour,81
se,se,51
revêtir,revêtir,14
d',de,81
une,un,71
verdure,verdure,22
nouvelle,nouveau,30
/.,/.,P
elle,il,51
se,se,51
mit,mettre,19
au,à,81
au,le,71
piano,piano,21
",",",",p
et,et,82
me,je,51
dit,dire,19
qu',que,83
elle,il,51
allait,aller,18
me,je,51
jouer,jouer,14
un,un,71
air,air,21
de,de,81
Stradella,Stradella,20
/.,/.,P
j',je,51
aime,aimer,17
par-dessus,par-dessus,60
tout,tout,52
la,le,71
musique,musique,22
sacrée,sacré,31
",",",",p
et,et,82
ce,ce,74
morceau,morceau,21
",",",",p
qu',que,52
elle,il,51
m',je,51
avait,avoir,18
déjà,déjà,60
chanté,chanter,12
",",",",p
m',je,51
avait,avoir,18
paru,paraître,12
très,très,60
beau,beau,30
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
dit,dire,19
elle,il,51
quand,quand,83
elle,il,51
eut,avoir,19
fini,finir,12
",",",",p
vous,vous,51
vous,vous,51
y,y,52
êtes,être,17
bien,bien,60
trompé,tromper,12
;,;,p
l',le,71
air,air,21
est,être,17
de,de,81
moi,moi,51
",",",",p
et,et,82
je,je,51
vous,vous,51
en,en,52
ai,avoir,17
fait,faire,12
accroire,accroire,14
/.,/.,P
-,-,p
il,il,51
est,être,17
de,de,81
vous,vous,51
/?,/?,P
oui,oui,60
",",",",p
et,et,82
je,je,51
vous,vous,51
ai,avoir,17
conté,conter,12
qu',que,83
il,il,51
était,être,18
de,de,81
Stradella,Stradella,20
pour,pour,81
voir,voir,14
ce,ce,52
que,que,52
vous,vous,51
en,en,52
diriez,dire,16
/.,/.,P
je,je,51
ne,ne,60
joue,jouer,17
jamais,jamais,60
ma,mon,73
musique,musique,22
",",",",p
quand,quand,83
il,il,51
m',je,51
arrive,arriver,17
d',de,81
en,en,52
composer,composer,14
;,;,p
mais,mais,82
j',je,51
ai,avoir,17
voulu,vouloir,12
faire,faire,14
un,un,71
essai,essai,21
",",",",p
et,et,82
vous,vous,51
voyez,voir,17
qu',que,83
il,il,51
m',je,51
a,avoir,17
réussi,réussir,12
",",",",p
puisque,puisque,83
vous,vous,51
en,en,52
étiez,être,18
la,le,71
dupe,dupe,22
/.,/.,P
monstrueuse,monstrueux,30
machine,machine,22
que,que,52
l',le,71
homme,homme,21
/!,/!,P
qu',que,52
y,y,52
avait,avoir,18
il,il,51
de,de,81
plus,plus,60
innocent,innocent,30
/?,/?,P
un,un,71
enfant,enfant,21
un,un,71
peu,peu,60
avisé,avisé,31
eût,avoir,19
imaginé,imaginer,12
cette,ce,74
ruse,ruse,22
pour,pour,81
surprendre,surprendre,14
son,son,73
précepteur,précepteur,21
/.,/.,P
elle,il,51
en,en,52
riait,rire,18
de,de,81
bon,bon,30
coeur,coeur,21
en,en,81
me,je,51
le,le,52
disant,dire,13
;,;,p
mais,mais,82
je,je,51
sentis,sentir,19
tout,tout,60
à,à,81
coup,coup,21
comme,comme,83
un,un,71
nuage,nuage,21
qui,qui,52
fondait,fonder,18
sur,sur,81
moi,moi,51
;,;,p
je,je,51
changeai,changer,19
de,de,81
visage,visage,21
/.,/.,P
-,-,p
qu',que,52
avez,avoir,17
vous,vous,51
",",",",p
dit,dire,19
elle,il,51
",",",",p
qui,qui,52
vous,vous,51
prend,prendre,17
/?,/?,P
rien,rien,52
;,;,p
jouez,jouer,17
moi,moi,51
cet,ce,74
air,air,21
encore,encore,60
une,un,71
fois,fois,22
/.,/.,P
tandis qu',tandis que,83
elle,il,51
jouait,jouer,18
",",",",p
je,je,51
me,je,51
promenais,promener,18
de,de,81
long,long,21
en,en,81
large,large,21
",",",",p
je,je,51
passais,passer,18
ma,mon,73
main,main,22
sur,sur,81
mon,mon,73
front,front,21
comme,comme,83
pour,pour,81
en,en,52
écarter,écarter,14
un,un,71
brouillard,brouillard,21
",",",",p
je,je,51
frappais,frapper,18
du,de,81
du,le,71
pied,pied,21
",",",",p
je,je,51
haussais,hausser,18
les,le,71
épaules,épaule,22
de,de,81
ma,mon,73
propre,propre,30
démence,démence,22
;,;,p
enfin,enfin,60
je,je,51
m',je,51
assis,asseoir,19
à,à,81
terre,terre,22
sur,sur,81
un,un,71
coussin,coussin,21
qui,qui,52
était,être,18
tombé,tomber,12
;,;,p
elle,il,51
vint,venir,19
à,à,81
moi,moi,51
/.,/.,P
plus,plus,60
je,je,51
voulais,vouloir,18
lutter,lutter,14
avec,avec,81
l',le,71
esprit,esprit,21
de,de,81
ténèbres,ténèbre,22
qui,qui,52
me,je,51
saisissait,saisir,18
en,en,81
ce,ce,74
moment,moment,21
",",",",p
plus,plus,60
l',le,71
épaisse,épais,30
nuit,nuit,22
redoublait,redoubler,18
dans,dans,81
ma,mon,73
tête,tête,22
/.,/.,P
-,-,p
vraiment,vraiment,60
!,!,p
lui,lui,51
dis,dire,19
je,je,51
",",",",p
vous,vous,51
mentez,mentir,17
si,si,60
bien,bien,60
/?,/?,P
quoi,quoi,52
!,!,p
cet,ce,74
air,air,21
est,être,17
de,de,81
vous,vous,51
?,?,p
vous,vous,51
savez,savoir,17
donc,donc,82
mentir,mentir,14
si,si,60
aisément,aisément,60
/?,/?,P
elle,il,51
me,je,51
regarda,regarder,19
d',de,81
un,un,71
air,air,21
étonné,étonné,31
/.,/.,P
-,-,p
qu',que,52
est,être,17
ce,ce,52
donc,donc,82
?,?,p
dit,dire,19
elle,il,51
/.,/.,P
une,un,71
inquiétude,inquiétude,22
inexprimable,inexprimable,30
se,se,51
peignit,peindre,19
sur,sur,81
ses,son,73
traits,trait,21
/.,/.,P
assurément,assurément,60
elle,il,51
ne,ne,60
pouvait,pouvoir,18
me,je,51
croire,croire,14
assez,assez,60
fou,fou,30
pour,pour,81
lui,lui,51
faire,faire,14
un,un,71
reproche,reproche,21
véritable,véritable,30
d',de,81
une,un,71
plaisanterie,plaisanterie,22
aussi,aussi,60
simple,simple,30
;,;,p
elle,il,51
ne,ne,60
voyait,voir,18
là,là,60
de,de,81
sérieux,sérieux,21
que,que,52
la,le,71
tristesse,tristesse,22
qui,qui,52
s',se,51
emparait,emparer,18
de,de,81
moi,moi,51
;,;,p
mais,mais,82
plus,plus,60
la,le,71
cause,cause,22
en,en,52
était,être,18
frivole,frivole,30
",",",",p
plus,plus,60
il,il,51
y,y,52
avait,avoir,18
de,de,81
quoi,quoi,52
surprendre,surprendre,14
/.,/.,P
elle,il,51
voulut,vouloir,19
croire,croire,14
un,un,71
instant,instant,21
que,que,83
je,je,51
plaisantais,plaisanter,18
à,à,81
mon,mon,73
tour,tour,21
;,;,p
mais,mais,82
quand,quand,83
elle,il,51
me,je,51
vit,voir,19
toujours,toujours,60
plus,plus,60
pâle,pâle,30
et,et,82
comme,comme,83
prêt,prêt,21
à,à,81
défaillir,défaillir,14
",",",",p
elle,il,51
resta,rester,19
les,le,71
lèvres,lèvre,22
ouvertes,ouvert,31
",",",",p
le,le,71
corps,corps,21
penché,penché,31
",",",",p
comme,comme,83
une,un,71
statue,statue,22
/.,/.,P
-,-,p
dieu,dieu,21
du,de,81
du,le,71
ciel,ciel,21
!,!,p
s',se,51
écria,écrier,19
t,t,94
elle,il,51
",",",",p
est,être,17
ce,ce,52
possible,possible,30
/?,/?,P
tu,tu,51
souris,sourire,17
peut-être,peut-être,60
",",",",p
lecteur,lecteur,21
",",",",p
en,en,81
lisant,lire,13
cette,ce,74
page,page,22
;,;,p
moi,moi,51
qui,qui,52
l',le,52
écris,écrire,17
",",",",p
j',je,51
en,en,52
frémis,frémir,17
encore,encore,60
/.,/.,P
les,le,71
malheurs,malheur,21
ont,avoir,17
leurs,leur,73
symptômes,symptôme,21
comme,comme,83
les,le,71
maladies,maladie,22
",",",",p
et,et,82
il,il,51
n',ne,60
y,y,52
a,avoir,17
rien,rien,52
de,de,81
si,si,60
redoutable,redoutable,30
en,en,81
mer,mer,22
qu',que,83
un,un,71
petit,petit,30
point,point,21
noir,noir,30
à,à,81
l',le,71
horizon,horizon,21
/.,/.,P
cependant,cependant,82
",",",",p
quand,quand,83
le,le,71
jour,jour,21
parut,paraître,19
",",",",p
ma,mon,73
chère,cher,30
Brigitte,Brigitte,20
tira,tirer,19
au,à,81
au,le,71
milieu,milieu,21
de,de,81
la,le,71
chambre,chambre,22
une,un,71
petite,petit,30
table,table,22
ronde,rond,30
en,en,81
bois,bois,21
blanc,blanc,30
;,;,p
elle,il,51
y,y,52
posa,poser,19
de,de,81
quoi,quoi,52
souper,souper,14
",",",",p
ou,ou,82
",",",",p
pour,pour,81
mieux,mieux,60
dire,dire,14
",",",",p
de,de,81
quoi,quoi,52
déjeuner,déjeuner,14
",",",",p
car,car,82
déjà,déjà,60
les,le,71
oiseaux,oiseau,21
chantaient,chanter,18
et,et,82
les,le,71
abeilles,abeille,22
bourdonnaient,bourdonner,18
sur,sur,81
le,le,71
parterre,parterre,21
/.,/.,P
elle,il,51
avait,avoir,18
tout,tout,52
préparé,préparer,12
elle-même,lui-même,51
",",",",p
et,et,82
je,je,51
ne,ne,60
bus,boire,19
pas,pas,60
une,un,71
goutte,goutte,22
qu',que,52
elle,il,51
n',ne,60
eût,avoir,19
porté,porter,12
le,le,71
verre,verre,21
à,à,81
ses,son,73
lèvres,lèvre,22
/.,/.,P
la,le,71
lumière,lumière,22
bleuâtre,bleuâtre,30
du,de,81
du,le,71
jour,jour,21
",",",",p
perçant,percer,13
les,le,71
rideaux,rideau,21
de,de,81
toile,toile,22
bariolée,bariolé,31
",",",",p
éclairait,éclairer,18
son,son,73
charmant,charmant,30
visage,visage,21
et,et,82
ses,son,73
grands,grand,30
yeux,oeil,21
un,un,71
peu,peu,60
battus,battu,31
;,;,p
elle,il,51
se,se,51
sentait,sentir,18
envie,envie,22
de,de,81
dormir,dormir,14
et,et,82
laissa,laisser,19
tomber,tomber,14
",",",",p
tout,tout,60
en,en,81
m',je,51
embrassant,embrasser,13
",",",",p
sa,son,73
tête,tête,22
sur,sur,81
mes,mon,73
épaules,épaule,22
",",",",p
avec,avec,81
mille,mille,72
propos,propos,21
languissants,languissant,30
/.,/.,P
je,je,51
ne,ne,60
pouvais,pouvoir,18
lutter,lutter,14
contre,contre,81
un,un,71
si,si,60
charmant,charmant,30
abandon,abandon,21
",",",",p
et,et,82
mon,mon,73
coeur,coeur,21
se,se,51
rouvrait,rouvrir,18
à,à,81
la,le,71
joie,joie,22
;,;,p
je,je,51
me,je,51
crus,croire,19
délivré,délivré,31
tout,tout,60
à,à,81
fait,fait,21
du,de,81
du,le,71
mauvais,mauvais,30
rêve,rêve,21
que,que,52
je,je,51
venais,venir,18
de,de,81
faire,faire,14
",",",",p
et,et,82
je,je,51
lui,lui,51
demandai,demander,19
pardon,pardon,21
d',de,81
un,un,71
moment,moment,21
de,de,81
folie,folie,22
dont,dont,52
je,je,51
ne,ne,60
pouvais,pouvoir,18
me,je,51
rendre,rendre,14
compte,compte,21
/.,/.,P
-,-,p
mon,mon,73
amie,amie,22
",",",",p
lui,lui,51
dis,dire,19
je,je,51
du,de,81
du,le,71
fond,fond,21
du,de,81
du,le,71
coeur,coeur,21
",",",",p
je,je,51
suis,être,17
bien,bien,60
malheureux,malheureux,30
de,de,81
t',tu,51
avoir,avoir,14
adressé,adresser,12
un,un,71
reproche,reproche,21
injuste,injuste,30
sur,sur,81
un,un,71
badinage,badinage,21
innocent,innocent,30
;,;,p
mais,mais,82
",",",",p
si,si,83
tu,tu,51
m',je,51
aimes,aimer,17
",",",",p
ne,ne,60
me,je,51
mens,mentir,17
jamais,jamais,60
",",",",p
fût,être,19
ce,ce,52
sur,sur,81
les,le,71
moindres,moindre,30
choses,chose,22
;,;,p
le,le,71
mensonge,mensonge,21
me,je,51
semble,sembler,17
horrible,horrible,30
",",",",p
et,et,82
je,je,51
ne,ne,60
puis,pouvoir,17
le,le,52
supporter,supporter,14
/.,/.,P
elle,il,51
se,se,51
coucha,coucher,19
;,;,p
il,il,51
était,être,18
trois,trois,72
heures,heure,22
du,de,81
du,le,71
matin,matin,21
",",",",p
et,et,82
je,je,51
lui,lui,51
dis,dire,19
que,que,83
je,je,51
voulais,vouloir,18
rester,rester,14
jusqu',jusque,81
à,à,81
ce,ce,52
qu',que,52
elle,il,51
fût,être,19
endormie,endormir,12
/.,/.,P
je,je,51
la,le,52
vis,voir,19
fermer,fermer,14
ses,son,73
beaux,beau,30
yeux,oeil,21
",",",",p
je,je,51
l',le,52
entendis,entendre,19
dans,dans,81
son,son,73
premier,premier,72
sommeil,sommeil,21
murmurer,murmurer,14
tout,tout,60
en,en,81
souriant,sourire,13
",",",",p
tandis que,tandis que,83
",",",",p
penché,penché,31
au,à,81
au,le,71
chevet,chevet,21
",",",",p
je,je,51
lui,lui,51
donnais,donner,18
mon,mon,73
baiser,baiser,21
d',de,81
adieu,adieu,21
/.,/.,P
enfin,enfin,60
je,je,51
sortis,sortir,19
le,le,71
coeur,coeur,21
tranquille,tranquille,30
",",",",p
me,je,51
promettant,promettre,13
de,de,81
jouir,jouir,14
de,de,81
mon,mon,73
bonheur,bonheur,21
sans,sans,81
que,que,83
désormais,désormais,60
rien,rien,52
pût,pouvoir,18
le,le,52
troubler,troubler,14
/.,/.,P
mais,mais,82
le,le,71
lendemain,lendemain,21
même,même,30
",",",",p
Brigitte,Brigitte,20
me,je,51
dit,dire,19
comme,comme,83
par,par,81
hasard,hasard,21
:,:,p
-,-,p
j',je,51
ai,avoir,17
un,un,71
gros,gros,30
livre,livre,21
où,où,60
j',je,51
écris,écrire,17
mes,mon,73
pensées,pensée,22
",",",",p
tout,tout,52
ce,ce,52
qui,qui,52
me,je,51
passe,passer,17
par,par,81
la,le,71
tête,tête,22
",",",",p
et,et,82
je,je,51
veux,vouloir,17
vous,vous,51
donner,donner,14
à,à,81
lire,lire,14
ce,ce,52
que,que,52
j',je,51
y,y,52
ai,avoir,17
écrit,écrire,12
de,de,81
vous,vous,51
dans,dans,81
les,le,71
premiers,premier,72
jours,jour,21
que,que,52
je,je,51
vous,vous,51
ai,avoir,17
vu,voir,12
/.,/.,P
nous,nous,51
lûmes,lire,19
ensemble,ensemble,60
ce,ce,52
qui,qui,52
me,je,51
regardait,regarder,18
et,et,82
nous,nous,51
y,y,52
ajoutâmes,ajouter,19
cent,cent,72
folies,folie,22
",",",",p
après,après,81
quoi,quoi,52
je,je,51
me,je,51
mis,mettre,19
à,à,81
feuilleter,feuilleter,14
le,le,71
livre,livre,21
d',de,81
une,un,71
manière,manière,22
indifférente,indifférent,30
/.,/.,P
une,un,71
phrase,phrase,22
tracée,tracé,31
en,en,81
gros,gros,30
caractères,caractère,21
me,je,51
sauta,sauter,19
aux,à,81
aux,le,71
yeux,oeil,21
",",",",p
au,à,81
au,le,71
milieu,milieu,21
des,de,81
des,le,71
pages,page,22
que,que,52
je,je,51
tournais,tourner,18
rapidement,rapidement,60
;,;,p
je,je,51
lus,lire,19
distinctement,distinctement,60
quelques,quelque,75
mots,mot,21
qui,qui,52
étaient,être,18
assez,assez,60
insignifiants,insignifiant,30
",",",",p
et,et,82
j',je,51
allais,aller,18
continuer,continuer,14
lorsque,lorsque,83
Brigitte,Brigitte,20
me,je,51
dit,dire,19
:,:,p
-,-,p
ne,ne,60
lisez,lire,17
pas,pas,60
cela,cela,52
/.,/.,P
je,je,51
jetai,jeter,19
le,le,71
livre,livre,21
sur,sur,81
un,un,71
meuble,meuble,21
/.,/.,P
-,-,p
c',ce,52
est,être,17
vrai,vrai,30
",",",",p
lui,lui,51
dis,dire,17
je,je,51
",",",",p
je,je,51
ne,ne,60
sais,savoir,17
ce,ce,52
que,que,52
je,je,51
fais,faire,17
/.,/.,P
-,-,p
le,le,52
prenez,prendre,17
vous,vous,51
encore,encore,60
au,à,81
au,le,71
sérieux,sérieux,21
?,?,p
me,je,51
répondit,répondre,19
elle,il,51
en,en,81
riant,rire,13
(,(,p
voyant,voir,13
sans,sans,81
doute,doute,21
mon,mon,73
mal,mal,21
reparaître,reparaître,14
),),p
/.,/.,P
reprenez,reprendre,17
ce,ce,74
livre,livre,21
;,;,p
je,je,51
veux,vouloir,17
que,que,83
vous,vous,51
lisiez,lire,17
/.,/.,P
-,-,p
n',ne,60
en,en,52
parlons,parler,17
plus,plus,60
/.,/.,P
que,que,52
puis,pouvoir,17
je,je,51
donc,donc,82
y,y,52
trouver,trouver,14
de,de,81
si,si,60
curieux,curieux,30
/?,/?,P
vos,votre,73
