11953
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-septième extrait>,<>,<>
point,point,60
non,non,60
plus,plus,60
la,le,71
solitude,solitude,22
/.,/.,P
il,il,51
veillait,veiller,18
à,à,81
tout,tout,52
dans,dans,81
la,le,71
maison,maison,22
des,de,81
des,le,71
Espagnols,Espagnol,20
",",",",p
donnait,donner,18
au,à,81
au,le,71
chef,chef,21
d',de,81
excellents,excellent,30
conseils,conseil,21
sur,sur,81
la,le,71
cuisine,cuisine,22
",",",",p
à,à,81
la,le,71
femme,femme,22
de,de,81
chambre,chambre,22
des,de,81
des,le,71
avis,avis,21
précieux,précieux,30
sur,sur,81
l',le,71
hygiène,hygiène,22
de,de,81
la,le,71
tête,tête,22
pour,pour,81
conserver,conserver,14
aux,à,81
aux,le,71
cheveux,cheveu,21
de,de,81
sa,son,73
maîtresse,maîtresse,22
leur,leur,73
brillant,brillant,21
",",",",p
leur,leur,73
nuance,nuance,22
superbe,superbe,30
et,et,82
leur,leur,73
abondance,abondance,22
",",",",p
au,à,81
au,le,71
cocher,cocher,21
des,de,81
des,le,71
renseignements,renseignement,21
fort,fort,60
utiles,utile,30
de,de,81
médecine,médecine,22
vétérinaire,vétérinaire,30
",",",",p
et,et,82
il,il,51
savait,savoir,18
rendre,rendre,14
les,le,71
heures,heure,22
courtes,court,30
et,et,82
légères,léger,30
",",",",p
inventer,inventer,14
des,de,81
des,le,71
distractions,distraction,22
",",",",p
trouver,trouver,14
dans,dans,81
les,le,71
hôtels,hôtel,21
des,de,81
des,le,71
connaissances,connaissance,22
de,de,81
passage,passage,21
toujours,toujours,60
choisies,choisi,31
avec,avec,81
discernement,discernement,21
/.,/.,P
la,le,71
duchesse,duchesse,22
disait,dire,18
à,à,81
Christiane,Christiane,20
",",",",p
en,en,81
parlant,parler,13
de,de,81
lui,lui,51
:,:,p
“,“,p
c',ce,52
est,être,17
un,un,71
homme,homme,21
merveilleux,merveilleux,30
",",",",p
chère,cher,30
madame,madame,22
",",",",p
il,il,51
sait,savoir,17
tout,tout,52
",",",",p
il,il,51
fait,faire,17
tout,tout,52
/.,/.,P
c',ce,52
est,être,17
à,à,81
lui,lui,51
que,que,83
je,je,51
dois,devoir,17
ma,mon,73
taille,taille,22
/.,/.,P
-,-,p
comment,comment,60
",",",",p
votre,votre,73
taille,taille,22
/?,/?,P
oui,oui,60
",",",",p
je,je,51
commençais,commencer,18
à,à,81
engraisser,engraisser,14
et,et,82
il,il,51
m',je,51
a,avoir,17
sauvée,sauver,12
avec,avec,81
son,son,73
régime,régime,21
et,et,82
ses,son,73
liqueurs,liqueur,22
/.,/.,P
“,“,p
il,il,51
savait,savoir,18
",",",",p
d',de,81
ailleurs,ailleurs,60
",",",",p
rendre,rendre,14
intéressante,intéressant,30
la,le,71
médecine,médecine,22
elle-même,lui-même,51
tant,tant,60
il,il,51
en,en,52
parlait,parler,18
avec,avec,81
aisance,aisance,22
",",",",p
avec,avec,81
gaîté,gaieté,22
et,et,82
avec,avec,81
un,un,71
scepticisme,scepticisme,21
léger,léger,30
qui,qui,52
lui,lui,51
servait,servir,18
à,à,81
convaincre,convaincre,14
ses,son,73
auditeurs,auditeur,21
de,de,81
sa,son,73
supériorité,supériorité,22
/.,/.,P
“,“,p
c',ce,52
est,être,17
bien,bien,60
simple,simple,30
",",",",p
disait,dire,18
il,il,51
",",",",p
je,je,51
ne,ne,60
crois,croire,17
pas,pas,60
aux,à,81
aux,le,71
remèdes,remède,21
/.,/.,P
ou,ou,82
plutôt,plutôt,60
je,je,51
n',ne,60
y,y,52
crois,croire,17
guère,guère,60
/.,/.,P
la,le,71
vieille,vieux,30
médecine,médecine,22
partait,partir,18
de,de,81
ce,ce,74
principe,principe,21
qu',que,52
il,il,51
y,y,52
a,avoir,17
remède,remède,21
à,à,81
tout,tout,52
/.,/.,P
dieu,dieu,21
",",",",p
croyait,croire,18
on,on,51
",",",",p
dans,dans,81
sa,son,73
divine,divin,30
mansuétude,mansuétude,22
avait,avoir,18
créé,créer,12
des,de,81
des,le,71
drogues,drogue,22
pour,pour,81
tous,tout,75
les,le,71
maux,mal,21
",",",",p
seulement,seulement,60
il,il,51
avait,avoir,18
laissé,laisser,12
aux,à,81
aux,le,71
hommes,homme,21
",",",",p
par,par,81
malice,malice,22
peut-être,peut-être,60
",",",",p
le,le,71
soin,soin,21
de,de,81
découvrir,découvrir,14
ces,ce,74
drogues,drogue,22
/.,/.,P
or,or,82
",",",",p
les,le,71
hommes,homme,21
en,en,52
ont,avoir,17
découvert,découvrir,12
un,un,71
nombre,nombre,21
incalculable,incalculable,30
sans,sans,81
jamais,jamais,60
savoir,savoir,14
au,à,81
au,le,71
juste,juste,21
à,à,81
quel,quel,75
mal,mal,21
convient,convenir,17
chacune,chacun,52
/.,/.,P
en,en,81
vérité,vérité,22
",",",",p
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
de,de,81
remèdes,remède,21
;,;,p
il,il,51
y,y,52
a,avoir,17
seulement,seulement,60
des,de,81
des,le,71
maladies,maladie,22
/.,/.,P
quand,quand,83
une,un,71
maladie,maladie,22
se,se,51
déclare,déclarer,17
",",",",p
il,il,51
faut,falloir,17
en,en,52
interrompre,interrompre,14
le,le,71
cours,cours,21
suivant,suivant,81
les,le,71
uns,un,52
",",",",p
le,le,52
précipiter,précipiter,14
",",",",p
suivant,suivant,81
les,le,71
autres,autre,52
",",",",p
par,par,81
un,un,71
moyen,moyen,21
quelconque,quelconque,30
/.,/.,P
chaque,chaque,75
école,école,22
préconise,préconiser,17
son,son,73
procédé,procédé,21
/.,/.,P
dans,dans,81
le,le,71
même,même,75
cas,cas,21
",",",",p
on,on,51
voit,voir,17
employer,employer,14
les,le,71
méthodes,méthode,22
les,le,71
plus,plus,60
contraires,contraire,30
et,et,82
les,le,71
médications,médication,22
les,le,71
plus,plus,60
opposées,opposé,31
:,:,p
la,le,71
glace,glace,22
par,par,81
l',le,71
un,un,52
et,et,82
l',le,71
extrême,extrême,30
chaleur,chaleur,22
par,par,81
l',le,71
autre,autre,52
",",",",p
la,le,71
diète,diète,22
par,par,81
celui-ci,celui-ci,52
et,et,82
la,le,71
nourriture,nourriture,22
forcée,forcé,31
par,par,81
celui-là,celui-là,52
/.,/.,P
je,je,51
ne,ne,60
parle,parler,17
pas,pas,60
des,de,81
des,le,71
innombrables,innombrable,30
produits,produit,21
vénéneux,vénéneux,30
tirés,tiré,31
des,de,81
des,le,71
minéraux,minéral,21
ou,ou,82
des,de,81
des,le,71
végétaux,végétal,21
que,que,52
la,le,71
chimie,chimie,22
nous,nous,51
procure,procurer,17
/.,/.,P
tout,tout,75
cela,cela,52
agit,agir,17
",",",",p
il,il,51
est,être,17
vrai,vrai,30
",",",",p
mais,mais,82
personne,personne,52
ne,ne,60
sait,savoir,17
comment,comment,60
/.,/.,P
quelquefois,quelquefois,60
ça,ça,52
réussit,réussir,17
",",",",p
et,et,82
quelquefois,quelquefois,60
ça,ça,52
tue,tuer,17
/.,/.,P
“,“,p
et,et,82
",",",",p
avec,avec,81
beaucoup,beaucoup,60
de,de,81
verve,verve,22
",",",",p
il,il,51
indiquait,indiquer,18
l',le,71
impossibilité,impossibilité,22
d',de,81
une,un,71
certitude,certitude,22
",",",",p
l',le,71
absence,absence,22
de,de,81
toute,tout,75
base,base,22
scientifique,scientifique,30
tant,tant,60
que,que,83
la,le,71
chimie,chimie,22
organique,organique,30
",",",",p
la,le,71
chimie,chimie,22
biologique,biologique,30
ne,ne,60
serait,être,16
pas,pas,60
devenue,devenir,12
le,le,52
point,point,21
de,de,81
départ,départ,21
d',de,81
une,un,71
médecine,médecine,22
nouvelle,nouveau,30
/.,/.,P
il,il,51
racontait,raconter,18
des,de,81
des,le,71
anecdotes,anecdote,22
",",",",p
des,de,81
des,le,71
erreurs,erreur,22
monstrueuses,monstrueux,30
des,de,81
des,le,71
plus,plus,60
grands,grand,30
médecins,médecin,21
",",",",p
prouvait,prouver,18
l',le,71
insanité,insanité,22
et,et,82
la,le,71
fausseté,fausseté,22
de,de,81
leur,leur,73
prétendue,prétendu,31
science,science,22
/.,/.,P
“,“,p
faites,faire,17
fonctionner,fonctionner,14
le,le,71
corps,corps,21
",",",",p
disait,dire,18
il,il,51
",",",",p
faites,faire,17
fonctionner,fonctionner,14
la,le,71
peau,peau,22
",",",",p
les,le,71
muscles,muscle,21
",",",",p
tous,tout,75
les,le,71
organes,organe,21
et,et,82
surtout,surtout,60
l',le,71
estomac,estomac,21
",",",",p
qui,qui,52
est,être,17
le,le,71
père,père,21
nourricier,nourricier,30
de,de,81
la,le,71
machine,machine,22
entière,entier,30
",",",",p
son,son,73
régulateur,régulateur,21
et,et,82
son,son,73
magasin,magasin,21
de,de,81
vie,vie,22
/.,/.,P
“,“,p
il,il,51
affirmait,affirmer,18
qu',que,83
à,à,81
son,son,73
gré,gré,21
",",",",p
rien,rien,52
que,que,83
par,par,81
le,le,71
régime,régime,21
il,il,51
pouvait,pouvoir,18
rendre,rendre,14
les,le,71
gens,gens,21
gais,gai,30
ou,ou,82
tristes,triste,30
",",",",p
capables,capable,30
de,de,81
travaux,travail,21
physiques,physique,30
ou,ou,82
de,de,81
travaux,travail,21
intellectuels,intellectuel,30
",",",",p
selon,selon,81
la,le,71
nature,nature,22
de,de,81
l',le,71
alimentation,alimentation,22
qu',que,83
il,il,51
leur,leur,52
imposait,imposer,18
/.,/.,P
il,il,51
pouvait,pouvoir,18
même,même,60
agir,agir,14
sur,sur,81
les,le,71
facultés,faculté,22
cérébrales,cérébral,30
",",",",p
sur,sur,81
la,le,71
mémoire,mémoire,22
",",",",p
sur,sur,81
l',le,71
imagination,imagination,22
",",",",p
sur,sur,81
toutes,tout,75
les,le,71
manifestations,manifestation,22
de,de,81
l',le,71
intelligence,intelligence,22
/.,/.,P
et,et,82
il,il,51
terminait,terminer,18
",",",",p
en,en,81
plaisantant,plaisanter,13
",",",",p
par,par,81
ces,ce,74
mots,mot,21
:,:,p
“,“,p
moi,moi,51
",",",",p
je,je,51
soigne,soigner,17
par,par,81
le,le,71
massage,massage,21
et,et,82
le,le,71
curaçao,curaçao,21
/.,/.,P
“,“,p
il,il,51
disait,dire,18
merveille,merveille,22
du,de,81
du,le,71
massage,massage,21
et,et,82
parlait,parler,18
",",",",p
comme,comme,83
d',de,81
un,un,71
dieu,dieu,21
",",",",p
du,de,81
du,le,71
hollandais,hollandais,30
Hamstrang,Hamstrang,20
",",",",p
qui,qui,52
accomplissait,accomplir,18
des,de,81
des,le,71
miracles,miracle,21
/.,/.,P
puis,puis,60
",",",",p
montrant,montrer,13
ses,son,73
mains,main,22
fines,fin,30
et,et,82
blanches,blanc,30
:,:,p
“,“,p
avec,avec,81
ça,ça,52
on,on,51
peut,pouvoir,17
ressusciter,ressusciter,14
les,le,71
morts,mort,21
/.,/.,P
“,“,p
et,et,82
la,le,71
duchesse,duchesse,22
ajoutait,ajouter,18
:,:,p
“,“,p
le,le,71
fait,fait,21
est,être,17
qu',que,83
il,il,51
masse,masser,17
dans,dans,81
la,le,71
perfection,perfection,22
/.,/.,P
“,“,p
il,il,51
préconisait,préconiser,18
aussi,aussi,60
les,le,71
alcools,alcool,21
",",",",p
en,en,81
petites,petit,30
proportions,proportion,22
pour,pour,81
exciter,exciter,14
l',le,71
estomac,estomac,21
à,à,81
certains,certain,75
moments,moment,21
;,;,p
et,et,82
il,il,51
faisait,faire,18
des,de,81
des,le,71
mélanges,mélange,21
",",",",p
savamment,savamment,60
combinés,combiné,31
",",",",p
que,que,83
la,le,71
duchesse,duchesse,22
devait,devoir,18
boire,boire,14
",",",",p
à,à,81
heures,heure,22
fixes,fixe,30
",",",",p
soit,soit,82
avant,avant,81
",",",",p
soit,soit,82
après,après,81
ses,son,73
repas,repas,21
/.,/.,P
on,on,51
le,le,52
voyait,voir,18
chaque,chaque,75
jour,jour,21
arriver,arriver,14
au,à,81
au,le,71
café,café,21
du,de,81
du,le,71
casino,casino,21
",",",",p
vers,vers,81
neuf,neuf,72
heures,heure,22
et,et,82
demie,demi,30
",",",",p
et,et,82
demander,demander,14
ses,son,73
bouteilles,bouteille,22
/.,/.,P
on,on,51
les,le,52
lui,lui,51
apportait,apporter,18
fermées,fermé,31
par,par,81
de,de,81
petits,petit,30
cadenas,cadenas,21
d',de,81
argent,argent,21
dont,dont,52
il,il,51
avait,avoir,18
la,le,71
clef,clé,22
/.,/.,P
il,il,51
versait,verser,18
un,un,71
peu,peu,60
de,de,81
l',le,71
une,un,52
",",",",p
un,un,71
peu,peu,60
de,de,81
l',le,71
autre,autre,52
",",",",p
lentement,lentement,60
",",",",p
dans,dans,81
un,un,71
verre,verre,21
bleu,bleu,30
fort,fort,60
joli,joli,30
que,que,52
tenait,tenir,18
avec,avec,81
respect,respect,21
un,un,71
valet,valet,21
de,de,81
pied,pied,21
très,très,60
correct,correct,30
/.,/.,P
puis,puis,60
le,le,71
docteur,docteur,21
ordonnait,ordonner,18
:,:,p
“,“,p
voilà,voilà,81
/!,/!,P
portez,porter,17
à,à,81
la,le,71
duchesse,duchesse,22
",",",",p
dans,dans,81
son,son,73
bain,bain,21
",",",",p
pour,pour,81
boire,boire,14
avant,avant,81
de,de,81
s',se,51
habiller,habiller,14
",",",",p
en,en,81
sortant,sortir,13
de,de,81
l',le,71
eau,eau,22
/.,/.,P
“,“,p
et,et,82
quand,quand,83
on,on,51
lui,lui,51
demandait,demander,18
avec,avec,81
curiosité,curiosité,22
:,:,p
“,“,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
vous,vous,51
avez,avoir,17
là-dedans,là-dedans,60
/?,/?,P
il,il,51
répondait,répondre,18
:,:,p
“,“,p
rien,rien,52
que,que,83
de,de,81
l',le,71
anisette,anisette,22
fine,fin,30
",",",",p
du,de,81
du,le,71
curaçao,curaçao,21
très,très,60
pur,pur,30
et,et,82
du,de,81
du,le,71
bitter,bitter,14
excellent,excellent,30
/.,/.,P
“,“,p
ce,ce,74
beau,beau,30
médecin,médecin,21
",",",",p
en,en,81
quelques,quelque,75
jours,jour,21
",",",",p
devint,devenir,19
le,le,71
point,point,21
de,de,81
mire,mire,22
de,de,81
tous,tout,75
les,le,71
malades,malade,21
/.,/.,P
et,et,82
toutes,tout,75
les,le,71
ruses,ruse,22
étaient,être,18
employées,employer,12
pour,pour,81
lui,lui,51
arracher,arracher,14
quelques,quelque,75
avis,avis,21
/.,/.,P
quand,quand,83
il,il,51
passait,passer,18
par,par,81
les,le,71
allées,allée,22
du,de,81
du,le,71
parc,parc,21
",",",",p
à,à,81
l',le,71
heure,heure,22
de,de,81
la,le,71
promenade,promenade,22
",",",",p
on,on,51
n',ne,60
entendait,entendre,18
que,que,83
ce,ce,74
cri,cri,21
:,:,p
“,“,p
docteur,docteur,21
!,!,p
sur,sur,81
toutes,tout,75
les,le,71
chaises,chaise,22
où,où,60
étaient,être,18
assises,asseoir,12
les,le,71
belles,beau,30
dames,dame,22
",",",",p
les,le,71
jeunes,jeune,30
dames,dame,22
",",",",p
qui,qui,52
se,se,51
reposaient,reposer,18
un,un,71
peu,peu,60
",",",",p
entre,entre,81
deux,deux,72
verres,verre,21
de,de,81
la,le,71
source,source,22
Christiane,Christiane,20
/.,/.,P
puis,puis,60
lorsqu',lorsque,83
il,il,51
s',se,51
était,être,18
arrêté,arrêter,12
",",",",p
un,un,71
sourire,sourire,21
sur,sur,81
la,le,71
lèvre,lèvre,22
",",",",p
on,on,51
l',le,52
entraînait,entraîner,18
quelques,quelque,75
instants,instant,21
dans,dans,81
le,le,71
petit,petit,30
chemin,chemin,21
qui,qui,52
longeait,longer,18
la,le,71
rivière,rivière,22
/.,/.,P
on,on,51
lui,lui,51
parlait,parler,18
d'abord,d'abord,60
de,de,81
choses,chose,22
et,et,82
d',de,81
autres,autre,52
",",",",p
puis,puis,60
discrètement,discrètement,60
",",",",p
adroitement,adroitement,60
",",",",p
coquettement,coquettement,60
",",",",p
on,on,51
arrivait,arriver,18
à,à,81
la,le,71
question,question,22
de,de,81
santé,santé,22
",",",",p
mais,mais,82
d',de,81
une,un,71
façon,façon,22
indifférente,indifférent,30
comme,comme,83
si,si,83
on,on,51
eût,avoir,19
touché,toucher,12
à,à,81
un,un,71
fait,fait,21
divers,divers,30
/.,/.,P
car,car,82
il,il,51
n',ne,60
était,être,18
point,point,60
",",",",p
celui-là,celui-là,52
",",",",p
à,à,81
la,le,71
dévotion,dévotion,22
du,de,81
du,le,71
public,public,21
/.,/.,P
on,on,51
ne,ne,60
le,le,52
payait,payer,18
pas,pas,60
",",",",p
on,on,51
ne,ne,60
pouvait,pouvoir,18
l',le,52
appeler,appeler,14
chez,chez,81
soi,soi,51
",",",",p
il,il,51
appartenait,appartenir,18
à,à,81
la,le,71
duchesse,duchesse,22
",",",",p
rien,rien,52
qu',que,83
à,à,81
la,le,71
duchesse,duchesse,22
/.,/.,P
cette,ce,74
situation,situation,22
même,même,30
excitait,exciter,18
les,le,71
efforts,effort,21
",",",",p
irritait,irriter,18
les,le,71
désirs,désir,21
/.,/.,P
et,et,82
comme,comme,83
on,on,51
affirmait,affirmer,18
tout,tout,60
bas,bas,60
que,que,83
la,le,71
duchesse,duchesse,22
était,être,18
jalouse,jaloux,30
",",",",p
très,très,60
jalouse,jaloux,30
",",",",p
ce,ce,52
fut,être,19
entre,entre,81
toutes,tout,75
ces,ce,74
dames,dame,22
une,un,71
lutte,lutte,22
acharnée,acharné,31
pour,pour,81
obtenir,obtenir,14
les,le,71
conseils,conseil,21
du,de,81
du,le,71
joli,joli,30
docteur,docteur,21
italien,italien,30
/.,/.,P
il,il,51
les,le,52
donnait,donner,18
sans,sans,81
se,se,51
faire,faire,14
trop,trop,60
prier,prier,14
/.,/.,P
alors,alors,60
",",",",p
entre,entre,81
les,le,71
femmes,femme,22
qu',que,52
il,il,51
avait,avoir,18
favorisées,favoriser,12
de,de,81
ses,son,73
avis,avis,21
",",",",p
commença,commencer,19
le,le,71
jeu,jeu,21
des,de,81
des,le,71
confidences,confidence,22
intimes,intime,30
pour,pour,81
bien,bien,60
prouver,prouver,14
sa,son,73
sollicitude,sollicitude,22
/.,/.,P
“,“,p
oh,oh,93
!,!,p
ma,mon,73
chère,cher,30
",",",",p
il,il,51
m',je,51
a,avoir,17
fait,faire,12
des,de,81
des,le,71
questions,question,22
",",",",p
mais,mais,82
des,de,81
des,le,71
questions,question,22
/…,/…,P
-,-,p
très,très,60
indiscrètes,indiscret,30
/?,/?,P
oh,oh,93
!,!,p
indiscrètes,indiscret,30
/!,/!,P
dites,dire,17
effrayantes,effrayant,30
/.,/.,P
je,je,51
ne,ne,60
savais,savoir,18
absolument,absolument,60
que,que,83
répondre,répondre,14
/.,/.,P
il,il,51
voulait,vouloir,18
savoir,savoir,14
des,de,81
des,le,71
choses,chose,22
…,…,p
mais,mais,82
des,de,81
des,le,71
choses,chose,22
/…,/…,P
-,-,p
c',ce,52
est,être,17
comme,comme,83
pour,pour,81
moi,moi,51
/!,/!,P
il,il,51
m',je,51
a,avoir,17
beaucoup,beaucoup,60
interrogée,interroger,12
sur,sur,81
mon,mon,73
mari,mari,21
!,!,p
/…,/…,P
-,-,p
moi,moi,51
aussi,aussi,60
…,…,p
avec,avec,81
des,de,81
des,le,71
détails,détail,21
…,…,p
si,si,83
…,…,p
si,si,60
personnels,personnel,30
/!,/!,P
c',ce,52
est,être,17
fort,fort,60
gênant,gênant,30
",",",",p
ces,ce,74
questions,question,22
là,là,60
/.,/.,P
cependant,cependant,82
on,on,51
comprend,comprendre,17
bien,bien,60
que,que,83
c',ce,52
est,être,17
nécessaire,nécessaire,30
/.,/.,P
-,-,p
oh,oh,93
!,!,p
tout,tout,60
à,à,81
fait,fait,21
/.,/.,P
la,le,71
santé,santé,22
dépend,dépendre,17
de,de,81
ces,ce,74
menus,menu,30
détails,détail,21
/.,/.,P
moi,moi,51
il,il,51
m',je,51
a,avoir,17
promis,promettre,12
de,de,81
me,je,51
masser,masser,14
",",",",p
à,à,81
Paris,Paris,20
",",",",p
cet,ce,74
hiver,hiver,21
/.,/.,P
j',je,51
en,en,52
ai,avoir,17
grand,grand,30
besoin,besoin,21
pour,pour,81
compléter,compléter,14
le,le,71
traitement,traitement,21
d',de,81
ici,ici,60
/.,/.,P
-,-,p
dites,dire,17
",",",",p
ma,mon,73
chère,cher,30
",",",",p
que,que,52
comptez,compter,17
vous,vous,51
faire,faire,14
/?,/?,P
on,on,51
ne,ne,60
peut,pouvoir,17
pas,pas,60
le,le,52
payer,payer,14
/?,/?,P
mon,mon,73
dieu,dieu,21
!,!,p
j',je,51
avais,avoir,18
l',le,71
intention,intention,22
de,de,81
lui,lui,51
donner,donner,14
une,un,71
épingle,épingle,22
de,de,81
cravate,cravate,22
/.,/.,P
il,il,51
doit,devoir,17
les,le,52
aimer,aimer,14
",",",",p
car,car,82
il,il,51
en,en,52
a,avoir,17
déjà,déjà,60
deux,deux,72
ou,ou,82
trois,trois,72
fort,fort,60
jolies,joli,30
/…,/…,P
-,-,p
oh,oh,93
!,!,p
comme,comme,83
vous,vous,51
m',je,51
embarrassez,embarrasser,17
/.,/.,P
la,le,71
même,même,75
idée,idée,22
m',je,51
était,être,18
venue,venir,12
/.,/.,P
alors,alors,60
je,je,51
lui,lui,51
donnerai,donner,15
une,un,71
bague,bague,22
/.,/.,P
“,“,p
et,et,82
on,on,51
complotait,comploter,18
des,de,81
des,le,71
surprises,surprise,22
pour,pour,81
lui,lui,51
plaire,plaire,14
",",",",p
des,de,81
des,le,71
cadeaux,cadeau,21
ingénieux,ingénieux,30
pour,pour,81
le,le,71
toucher,toucher,21
",",",",p
des,de,81
des,le,71
gentillesses,gentillesse,22
pour,pour,81
le,le,52
séduire,séduire,14
/.,/.,P
il,il,51
était,être,18
devenu,devenir,12
le,le,71
“,“,p
bruit,bruit,21
du,de,81
du,le,71
jour,jour,21
“,“,p
",",",",p
le,le,71
grand,grand,30
sujet,sujet,21
de,de,81
conversation,conversation,22
",",",",p
le,le,71
seul,seul,30
objet,objet,21
de,de,81
l',le,71
attention,attention,22
publique,public,30
",",",",p
quand,quand,83
se,se,51
répandit,répandre,19
la,le,71
nouvelle,nouvelle,22
que,que,83
le,le,71
comte,comte,21
Gontran,Gontran,20
de,de,81
Ravenel,Ravenel,20
faisait,faire,18
la,le,71
cour,cour,22
à,à,81
Charlotte,Charlotte,20
Oriol,Oriol,20
",",",",p
pour,pour,81
l',le,52
épouser,épouser,14
/.,/.,P
et,et,82
ce,ce,52
fut,être,19
aussitôt,aussitôt,60
dans,dans,81
Enval,Enval,20
une,un,71
assourdissante,assourdissant,30
rumeur,rumeur,22
/.,/.,P
depuis,depuis,81
le,le,71
soir,soir,21
où,où,60
il,il,51
avait,avoir,18
ouvert,ouvrir,12
avec,avec,81
elle,il,51
