12334
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-deuxième extrait>,<>,<>
une,un,71
probité,probité,22
inflexible,inflexible,30
/.,/.,P
la,le,71
conversation,conversation,22
eut,avoir,19
peine,peine,22
à,à,81
reprendre,reprendre,14
/.,/.,P
le,le,71
peintre,peintre,21
se,se,51
rappela,rappeler,19
bientôt,bientôt,60
son,son,73
rendez-vous,rendez-vous,21
",",",",p
le,le,71
répétiteur,répétiteur,21
ses,son,73
élèves,élève,21
;,;,p
et,et,82
",",",",p
quand,quand,83
ils,ils,51
furent,être,19
sortis,sortir,12
",",",",p
après,après,81
un,un,71
long,long,30
silence,silence,21
",",",",p
Deslauriers,Deslauriers,20
fit,faire,19
différentes,différent,30
questions,question,22
sur,sur,81
Arnoux,Arnoux,20
/.,/.,P
-,-,p
“,“,p
tu,tu,51
m',je,51
y,y,52
présenteras,présenter,15
plus,plus,60
tard,tard,60
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
",",",",p
mon,mon,73
vieux,vieux,21
?,?,p
“,“,p
-,-,p
“,“,p
certainement,certainement,60
“,“,p
",",",",p
dit,dire,19
Frédéric,Frédéric,20
/.,/.,P
puis,puis,60
ils,ils,51
avisèrent,aviser,19
à,à,81
leur,leur,73
installation,installation,22
/.,/.,P
Deslauriers,Deslauriers,20
avait,avoir,18
obtenu,obtenir,12
",",",",p
sans,sans,81
peine,peine,22
",",",",p
une,un,71
place,place,22
de,de,81
second,second,72
clerc,clerc,21
chez,chez,81
un,un,71
avoué,avoué,21
",",",",p
pris,prendre,12
à,à,81
l',le,71
école,école,22
de,de,81
droit,droit,21
son,son,73
inscription,inscription,22
",",",",p
acheté,acheter,12
les,le,71
livres,livre,21
indispensables,indispensable,30
",",",",p
-,-,p
et,et,82
la,le,71
vie,vie,22
qu',que,52
ils,ils,51
avaient,avoir,18
tant,tant,60
rêvée,rêver,12
commença,commencer,19
/.,/.,P
elle,il,51
fut,être,19
charmante,charmant,30
",",",",p
grâce,grâce,22
à,à,81
la,le,71
beauté,beauté,22
de,de,81
leur,leur,73
jeunesse,jeunesse,22
/.,/.,P
Deslauriers,Deslauriers,20
",",",",p
n',ne,60
ayant,avoir,13
parlé,parler,12
d',de,81
aucune,aucun,75
convention,convention,22
pécuniaire,pécuniaire,30
",",",",p
Frédéric,Frédéric,20
n',ne,60
en,en,52
parla,parler,19
pas,pas,60
/.,/.,P
il,il,51
subvenait,subvenir,18
à,à,81
toutes,tout,75
les,le,71
dépenses,dépense,22
",",",",p
rangeait,ranger,18
l',le,71
armoire,armoire,22
",",",",p
s',se,51
occupait,occuper,18
du,de,81
du,le,71
ménage,ménage,21
;,;,p
mais,mais,82
",",",",p
s',si,83
il,il,51
fallait,falloir,18
donner,donner,14
une,un,71
mercuriale,mercuriale,22
au,à,81
au,le,71
concierge,concierge,21
",",",",p
le,le,71
clerc,clerc,21
s',se,51
en,en,52
chargeait,charger,18
",",",",p
continuant,continuer,13
",",",",p
comme,comme,83
au,à,81
au,le,71
collège,collège,21
",",",",p
son,son,73
rôle,rôle,21
de,de,81
protecteur,protecteur,21
et,et,82
d',de,81
aîné,aîné,21
/.,/.,P
séparés,séparé,31
tout,tout,75
le,le,71
long,long,21
du,de,81
du,le,71
jour,jour,21
",",",",p
ils,ils,51
se,se,51
retrouvaient,retrouver,18
le,le,71
soir,soir,21
/.,/.,P
chacun,chacun,52
prenait,prendre,18
sa,son,73
place,place,22
au,à,81
au,le,71
coin,coin,21
du,de,81
du,le,71
feu,feu,21
et,et,82
se,se,51
mettait,mettre,18
à,à,81
la,le,71
besogne,besogne,22
/.,/.,P
ils,ils,51
ne,ne,60
tardaient,tarder,18
pas,pas,60
à,à,81
l',le,52
interrompre,interrompre,14
/.,/.,P
c',ce,52
étaient,être,18
des,de,81
des,le,71
épanchements,épanchement,21
sans,sans,81
fin,fin,22
",",",",p
des,de,81
des,le,71
gaietés,gaieté,22
sans,sans,81
cause,cause,22
",",",",p
et,et,82
des,de,81
des,le,71
disputes,dispute,22
quelquefois,quelquefois,60
",",",",p
à,à,81
propos,propos,21
de,de,81
la,le,71
lampe,lampe,22
qui,qui,52
filait,filer,18
",",",",p
ou,ou,82
d',de,81
un,un,71
livre,livre,21
égaré,égaré,31
",",",",p
colères,colère,22
d',de,81
une,un,71
minute,minute,22
",",",",p
que,que,52
des,de,81
des,le,71
rires,rire,21
apaisaient,apaiser,18
/.,/.,P
la,le,71
porte,porte,22
du,de,81
du,le,71
cabinet,cabinet,21
au,à,81
au,le,71
bois,bois,21
restant,rester,13
ouverte,ouvert,31
",",",",p
ils,ils,51
bavardaient,bavarder,18
de,de,81
loin,loin,60
",",",",p
dans,dans,81
leur,leur,73
lit,lit,21
/.,/.,P
le,le,71
matin,matin,21
",",",",p
ils,ils,51
se,se,51
promenaient,promener,18
en,en,81
manches,manche,22
de,de,81
chemise,chemise,22
sur,sur,81
leur,leur,73
terrasse,terrasse,22
;,;,p
le,le,71
soleil,soleil,21
se,se,51
levait,lever,18
",",",",p
des,de,81
des,le,71
brumes,brume,22
légères,léger,30
passaient,passer,18
sur,sur,81
le,le,71
fleuve,fleuve,21
",",",",p
on,on,51
entendait,entendre,18
un,un,71
glapissement,glapissement,21
dans,dans,81
le,le,71
marché,marché,21
aux,à,81
aux,le,71
fleurs,fleur,22
à,à,81
côté,côté,21
;,;,p
-,-,p
et,et,82
les,le,71
fumées,fumée,22
de,de,81
leurs,leur,73
pipes,pipe,22
tourbillonnaient,tourbillonner,18
dans,dans,81
l',le,71
air,air,21
pur,pur,30
",",",",p
qui,qui,52
rafraîchissait,rafraîchir,18
leurs,leur,73
yeux,oeil,21
encore,encore,60
bouffis,bouffi,30
;,;,p
ils,ils,51
sentaient,sentir,18
",",",",p
en,en,81
l',le,52
aspirant,aspirer,13
",",",",p
un,un,71
vaste,vaste,30
espoir,espoir,21
épandu,épandu,31
/.,/.,P
quand,quand,83
il,il,51
ne,ne,60
pleuvait,pleuvoir,18
pas,pas,60
",",",",p
le,le,71
dimanche,dimanche,21
",",",",p
ils,ils,51
sortaient,sortir,18
ensemble,ensemble,60
;,;,p
et,et,82
",",",",p
bras,bras,21
dessus,dessus,60
bras,bras,21
dessous,dessous,60
",",",",p
ils,ils,51
s',se,51
en,en,52
allaient,aller,18
par,par,81
les,le,71
rues,rue,22
/.,/.,P
presque,presque,60
toujours,toujours,60
la,le,71
même,même,75
réflexion,réflexion,22
leur,leur,52
survenait,survenir,18
à,à,81
la,le,71
fois,fois,22
",",",",p
ou,ou,82
bien,bien,60
",",",",p
ils,ils,51
causaient,causer,18
",",",",p
sans,sans,81
rien,rien,52
voir,voir,14
autour,autour,60
d',de,81
eux,ils,51
/.,/.,P
Deslauriers,Deslauriers,20
ambitionnait,ambitionner,18
la,le,71
richesse,richesse,22
",",",",p
comme,comme,83
moyen,moyen,21
de,de,81
puissance,puissance,22
sur,sur,81
les,le,71
hommes,homme,21
/.,/.,P
il,il,51
aurait,avoir,16
voulu,vouloir,12
remuer,remuer,14
beaucoup,beaucoup,60
de,de,81
monde,monde,21
",",",",p
faire,faire,14
beaucoup,beaucoup,60
de,de,81
bruit,bruit,21
",",",",p
avoir,avoir,14
trois,trois,72
secrétaires,secrétaire,21
sous,sous,81
ses,son,73
ordres,ordre,21
",",",",p
et,et,82
un,un,71
grand,grand,30
dîner,dîner,21
politique,politique,30
une,un,71
fois,fois,22
par,par,81
semaine,semaine,22
/.,/.,P
Frédéric,Frédéric,20
se,se,51
meublait,meubler,18
un,un,71
palais,palais,21
à,à,81
la,le,71
moresque,moresque,30
",",",",p
pour,pour,81
vivre,vivre,14
couché,couché,31
sur,sur,81
des,de,81
des,le,71
divans,divan,21
de,de,81
cachemire,cachemire,21
",",",",p
au,à,81
au,le,71
murmure,murmure,21
d',de,81
un,un,71
jet,jet,21
d',de,81
eau,eau,22
",",",",p
servi,servi,31
par,par,81
des,de,81
des,le,71
pages,page,21
nègres,nègre,30
;,;,p
-,-,p
et,et,82
ces,ce,74
choses,chose,22
rêvées,rêvé,31
devenaient,devenir,18
à,à,81
la,le,71
fin,fin,22
tellement,tellement,60
précises,précis,30
",",",",p
qu',que,83
elles,ils,51
le,le,52
désolaient,désoler,18
comme,comme,83
s',si,83
il,il,51
les,le,52
avait,avoir,18
perdues,perdre,12
/.,/.,P
-,-,p
“,“,p
à,à,81
quoi,quoi,52
bon,bon,60
causer,causer,14
de,de,81
tout,tout,75
cela,cela,52
“,“,p
",",",",p
disait,dire,18
il,il,51
",",",",p
“,“,p
puisque,puisque,83
jamais,jamais,60
nous,nous,51
ne,ne,60
l',le,52
aurons,avoir,15
!,!,p
“,“,p
-,-,p
“,“,p
qui,qui,52
sait,savoir,17
?,?,p
“,“,p
reprenait,reprendre,18
Deslauriers,Deslauriers,20
/.,/.,P
malgré,malgré,81
ses,son,73
opinions,opinion,22
démocratiques,démocratique,30
",",",",p
il,il,51
l',le,52
engageait,engager,18
à,à,81
s',se,51
introduire,introduire,14
chez,chez,81
les,le,71
Dambreuse,Dambreuse,20
/.,/.,P
l',le,71
autre,autre,52
objectait,objecter,18
ses,son,73
tentatives,tentative,22
/.,/.,P
-,-,p
“,“,p
bah,bah,93
!,!,p
retournes,retourner,17
y,y,52
/!,/!,P
on,on,51
t',tu,51
invitera,inviter,15
!,!,p
“,“,p
ils,ils,51
reçurent,recevoir,19
",",",",p
vers,vers,81
le,le,71
milieu,milieu,21
du,de,81
du,le,71
mois,mois,21
de,de,81
mars,mars,21
",",",",p
parmi,parmi,81
des,de,81
des,le,71
notes,note,22
assez,assez,60
lourdes,lourd,30
",",",",p
celles,celui,52
du,de,81
du,le,71
restaurateur,restaurateur,21
qui,qui,52
leur,leur,52
apportait,apporter,18
à,à,81
dîner,dîner,14
/.,/.,P
Frédéric,Frédéric,20
",",",",p
n',ne,60
ayant,avoir,13
point,point,60
la,le,71
somme,somme,22
suffisante,suffisant,30
",",",",p
emprunta,emprunter,19
cent,cent,72
écus,écu,21
à,à,81
Deslauriers,Deslauriers,20
;,;,p
quinze,quinze,72
jours,jour,21
plus,plus,60
tard,tard,60
",",",",p
il,il,51
réitéra,réitérer,19
la,le,71
même,même,75
demande,demande,22
",",",",p
et,et,82
le,le,71
clerc,clerc,21
le,le,52
gronda,gronder,19
pour,pour,81
les,le,71
dépenses,dépense,22
auxquelles,à,81
auxquelles,lequel,52
il,il,51
se,se,51
livrait,livrer,18
chez,chez,81
Arnoux,Arnoux,20
/.,/.,P
effectivement,effectivement,60
",",",",p
il,il,51
n',ne,60
y,y,52
mettait,mettre,18
point,point,60
de,de,81
modération,modération,22
/.,/.,P
une,un,71
vue,vue,22
de,de,81
Venise,Venise,20
",",",",p
une,un,71
vue,vue,22
de,de,81
Naples,Naples,20
et,et,82
une,un,71
autre,autre,52
de,de,81
Constantinople,Constantinople,20
occupant,occuper,13
le,le,60
milieu,milieu,21
des,de,81
des,le,71
trois,trois,72
murailles,muraille,22
",",",",p
des,de,81
des,le,71
sujets,sujet,21
équestres,équestre,30
d',de,81
Alfred,Alfred,20
de,de,81
Dreux,Dreux,20
çà,çà,60
et,et,82
là,là,60
",",",",p
un,un,71
groupe,groupe,21
de,de,81
Pradier,Pradier,20
sur,sur,81
la,le,71
cheminée,cheminée,22
",",",",p
des,de,81
des,le,71
numéros,numéro,21
de,de,81
l',le,71
art,art,21
industriel,industriel,30
sur,sur,81
le,le,71
piano,piano,21
",",",",p
et,et,82
des,de,81
des,le,71
cartonnages,cartonnage,21
par,par,81
terre,terre,22
dans,dans,81
les,le,71
angles,angle,21
",",",",p
encombraient,encombrer,18
le,le,71
logis,logis,21
d',de,81
une,un,71
telle,tel,75
façon,façon,22
",",",",p
qu',que,83
on,on,51
avait,avoir,18
peine,peine,22
à,à,81
poser,poser,14
un,un,71
livre,livre,21
",",",",p
à,à,81
remuer,remuer,14
les,le,71
coudes,coude,21
/.,/.,P
Frédéric,Frédéric,20
prétendait,prétendre,18
qu',que,83
il,il,51
lui,lui,51
fallait,falloir,18
tout,tout,75
cela,cela,52
pour,pour,81
sa,son,73
peinture,peinture,22
/.,/.,P
il,il,51
travaillait,travailler,18
chez,chez,81
Pellerin,Pellerin,20
/.,/.,P
mais,mais,82
souvent,souvent,60
Pellerin,Pellerin,20
était,être,18
en,en,81
courses,course,22
",",",",p
-,-,p
ayant,avoir,13
coutume,coutume,22
d',de,81
assister,assister,14
à,à,81
tous,tout,75
les,le,71
enterrements,enterrement,21
et,et,82
événements,événement,21
dont,dont,52
les,le,71
journaux,journal,21
devaient,devoir,18
rendre,rendre,14
compte,compte,21
;,;,p
-,-,p
et,et,82
Frédéric,Frédéric,20
passait,passer,18
des,de,81
des,le,71
heures,heure,22
entièrement,entièrement,60
seul,seul,30
dans,dans,81
l',le,71
atelier,atelier,21
/.,/.,P
le,le,71
calme,calme,21
de,de,81
cette,ce,74
grande,grand,30
pièce,pièce,22
",",",",p
où,où,60
l',l',94
on,on,51
n',ne,60
entendait,entendre,18
