11885
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarantième extrait>,<>,<>
mettre,mettre,14
les,le,71
doigts,doigt,21
dans,dans,81
les,le,71
yeux,oeil,21
",",",",p
les,le,52
arrêtait,arrêter,18
",",",",p
en,en,81
jouant,jouer,13
",",",",p
sur,sur,81
son,son,73
regard,regard,21
",",",",p
et,et,82
promenait,promener,18
sur,sur,81
tout,tout,75
son,son,73
visage,visage,21
le,le,71
chatouillement,chatouillement,21
et,et,82
le,le,71
tourment,tourment,21
de,de,81
ces,ce,74
chères,cher,30
petites,petit,30
menottes,menotte,22
qui,qui,52
semblent,sembler,17
chercher,chercher,14
à l'aveuglette,à l'aveuglette,60
la,le,71
face,face,22
d',de,81
une,un,71
mère,mère,22
:,:,p
c',ce,52
était,être,18
comme,comme,83
si,si,83
la,le,71
vie,vie,22
et,et,82
la,le,71
chaleur,chaleur,22
de,de,81
son,son,73
enfant,enfant,21
lui,lui,51
erraient,errer,18
sur,sur,81
la,le,71
figure,figure,22
/.,/.,P
de,de,81
temps,temps,21
en,en,81
temps,temps,21
",",",",p
envoyant,envoyer,13
par-dessus,par-dessus,60
la,le,71
tête,tête,22
de,de,81
la,le,71
petite,petite,22
la,le,71
moitié,moitié,22
de,de,81
son,son,73
sourire,sourire,21
à,à,81
Jupillon,Jupillon,20
",",",",p
elle,il,51
lui,lui,51
criait,crier,18
:,:,p
-,-,p
mais,mais,82
regarde,regarder,17
la,le,52
donc,donc,82
/!,/!,P
puis,puis,60
",",",",p
l',le,71
enfant,enfant,21
s',se,51
endormait,endormir,18
avec,avec,81
cette,ce,74
bouche,bouche,22
ouverte,ouvert,31
qui,qui,52
rit,rire,17
au,à,81
au,le,71
sommeil,sommeil,21
/.,/.,P
Germinie,Germinie,20
se,se,51
penchait,pencher,18
sur,sur,81
son,son,73
souffle,souffle,21
;,;,p
elle,il,51
écoutait,écouter,18
son,son,73
repos,repos,21
/.,/.,P
et,et,82
peu,peu,60
à,à,81
peu,peu,60
bercée,bercé,31
à,à,81
cette,ce,74
respiration,respiration,22
d',de,81
enfant,enfant,21
",",",",p
elle,il,51
s',se,51
oubliait,oublier,18
délicieusement,délicieusement,60
à,à,81
regarder,regarder,14
ce,ce,74
pauvre,pauvre,30
lieu,lieu,21
de,de,81
son,son,73
bonheur,bonheur,21
",",",",p
le,le,71
jardin,jardin,21
agreste,agreste,30
",",",",p
les,le,71
pommiers,pommier,21
aux,à,81
aux,le,71
feuilles,feuille,22
garnies,garni,31
de,de,81
petits,petit,30
escargots,escargot,21
jaunes,jaune,30
",",",",p
aux,à,81
aux,le,71
pommes,pomme,22
rosées,rosé,30
du,de,81
du,le,71
côté,côté,21
du,de,81
du,le,71
midi,midi,21
",",",",p
les,le,71
rames,rame,22
où,où,60
s',se,51
enroulaient,enrouler,18
",",",",p
au,à,81
au,le,71
pied,pied,21
",",",",p
tordues,tordu,31
et,et,82
grillées,grillé,31
",",",",p
les,le,71
tiges,tige,22
de,de,81
pois,pois,21
",",",",p
le,le,71
carré,carré,21
de,de,81
choux,chou,21
",",",",p
les,le,71
quatre,quatre,72
tournesols,tournesol,21
dans,dans,81
le,le,71
petit,petit,30
rond,rond,21
au,à,81
au,le,71
milieu,milieu,21
de,de,81
l',le,71
allée,allée,22
;,;,p
puis,puis,60
",",",",p
tout,tout,60
près,près,81
d',de,81
elle,il,51
",",",",p
au,à,81
au,le,71
bord,bord,21
de,de,81
la,le,71
rivière,rivière,22
",",",",p
les,le,71
places,place,22
d',de,81
herbe,herbe,22
remplies,rempli,31
de,de,81
foirolle,foirolle,92
",",",",p
les,le,71
têtes,tête,22
blanches,blanc,30
des,de,81
des,le,71
orties,ortie,22
contre,contre,81
le,le,71
mur,mur,21
",",",",p
les,le,71
boîtes,boîte,22
de,de,81
laveuses,laveuse,22
et,et,82
les,le,71
bouteilles,bouteille,22
d',de,81
eau,eau,22
de,de,81
lessive,lessive,22
",",",",p
la,le,71
botte,botte,22
de,de,81
paille,paille,22
éparpillée,éparpillé,31
par,par,81
la,le,71
folie,folie,22
d',de,81
un,un,71
jeune,jeune,30
chien,chien,21
sortant,sortant,30
de,de,81
l',le,71
eau,eau,22
/.,/.,P
elle,il,51
regardait,regarder,18
et,et,82
rêvait,rêver,18
/.,/.,P
elle,il,51
songeait,songer,18
au,à,81
au,le,71
passé,passé,21
",",",",p
en,en,81
ayant,avoir,13
son,son,73
avenir,avenir,21
sur,sur,81
les,le,71
genoux,genou,21
/.,/.,P
de,de,81
l',le,71
herbe,herbe,22
",",",",p
des,de,81
des,le,71
arbres,arbre,21
",",",",p
de,de,81
la,le,71
rivière,rivière,22
qui,qui,52
étaient,être,18
là,là,60
",",",",p
elle,il,51
refaisait,refaire,18
",",",",p
avec,avec,81
le,le,71
souvenir,souvenir,21
",",",",p
le,le,71
rustique,rustique,30
jardin,jardin,21
de,de,81
sa,son,73
rustique,rustique,30
enfance,enfance,22
/.,/.,P
elle,il,51
revoyait,revoir,18
les,le,71
deux,deux,72
pierres,pierre,22
descendant,descendre,13
à,à,81
l',le,71
eau,eau,22
où,où,60
sa,son,73
mère,mère,22
",",",",p
avant,avant,81
de,de,81
la,le,52
coucher,coucher,14
",",",",p
l',le,71
été,été,21
",",",",p
lui,lui,51
lavait,laver,18
les,le,71
pieds,pied,21
quand,quand,83
elle,il,51
était,être,18
toute,tout,60
petite,petit,30
/…,/…,P
-,-,p
dites,dit,31
donc,donc,82
",",",",p
père,père,21
Remalard,Remalard,20
",",",",p
dit,dit,31
",",",",p
par,par,81
une,un,52
des,de,81
des,le,71
plus,plus,60
chaudes,chaud,30
journées,journée,22
d',de,81
août,août,21
",",",",p
Jupillon,Jupillon,20
",",",",p
posté,posté,31
sur,sur,81
sa,son,73
planche,planche,22
",",",",p
au,à,81
au,le,71
bonhomme,bonhomme,21
qui,qui,52
le,le,52
regardait,regarder,18
",",",",p
-,-,p
savez,savoir,17
vous,vous,51
que,que,83
ça,ça,52
ne,ne,60
pique,piquer,17
pas,pas,60
pour,pour,81
un,un,71
liard,liard,21
avec,avec,81
le,le,71
ver,ver,21
rouge,rouge,30
/?,/?,P
-,-,p
y,y,52
faudrait,falloir,16
de,de,81
l',le,71
asticot,asticot,21
",",",",p
dit,dit,31
sentencieusement,sentencieusement,60
le,le,71
paysan,paysan,21
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
on,on,51
se,se,51
payera,payer,15
de,de,81
l',le,71
asticot,asticot,21
/!,/!,P
père,père,21
Remalard,Remalard,20
",",",",p
faut,falloir,17
avoir,avoir,14
un,un,71
mou,mou,21
de,de,81
veau,veau,21
jeudi,jeudi,21
",",",",p
vous,vous,51
m',je,51
accrocherez,accrocher,15
ça,ça,52
dans,dans,81
c't,ce,74
arbre,arbre,21
…,…,p
et,et,82
dimanche,dimanche,21
nous,nous,51
verrons,voir,15
bien,bien,60
/.,/.,P
le,le,71
dimanche,dimanche,21
",",",",p
Jupillon,Jupillon,20
fit,faire,19
une,un,71
pêche,pêche,22
miraculeuse,miraculeux,30
",",",",p
et,et,82
Germinie,Germinie,20
entendit,entendre,19
la,le,71
première,premier,72
syllabe,syllabe,22
sortir,sortir,14
de,de,81
la,le,71
bouche,bouche,22
de,de,81
sa,son,73
fille,fille,22
/.,/.,P
<XXII.>,<>,<>
le,le,71
mercredi,mercredi,21
matin,matin,21
",",",",p
en,en,81
descendant,descendre,13
",",",",p
Germinie,Germinie,20
trouva,trouver,19
une,un,71
lettre,lettre,22
pour,pour,81
elle,il,51
/.,/.,P
dans,dans,81
cette,ce,74
lettre,lettre,22
",",",",p
écrite,écrit,31
au,à,81
au,le,71
revers,revers,21
d',de,81
une,un,71
quittance,quittance,22
de,de,81
blanchisseur,blanchisseur,21
",",",",p
la,le,71
femme,femme,22
Remalard,Remalard,20
lui,lui,51
disait,dire,18
que,que,83
son,son,73
enfant,enfant,21
était,être,18
tombée,tomber,12
malade,malade,30
presque,presque,60
aussitôt,aussitôt,60
qu',que,83
elle,il,51
était,être,18
partie,partir,12
;,;,p
que,que,83
depuis,depuis,81
elle,il,51
allait,aller,18
toujours,toujours,60
plus,plus,60
mal,mal,60
;,;,p
qu',que,83
elle,il,51
avait,avoir,18
consulté,consulter,12
le,le,71
docteur,docteur,21
;,;,p
qu',que,83
il,il,51
lui,lui,51
avait,avoir,18
parlé,parler,12
d',de,81
une,un,71
mauvaise,mauvais,30
mouche,mouche,22
qui,qui,52
avait,avoir,18
piqué,piquer,12
la,le,71
petite,petite,22
;,;,p
qu',que,52
elle,il,51
avait,avoir,18
été,être,12
la,le,52
faire,faire,14
voir,voir,14
une,un,71
seconde,second,72
fois,fois,22
;,;,p
qu',que,83
elle,il,51
ne,ne,60
savait,savoir,18
plus,plus,60
que,que,83
faire,faire,14
;,;,p
qu',que,52
elle,il,51
avait,avoir,18
fait,faire,12
faire,faire,14
des,de,81
des,le,71
pèlerinages,pèlerinage,21
pour,pour,81
elle,il,51
/.,/.,P
la,le,71
lettre,lettre,22
finissait,finir,18
:,:,p
“,“,p
si,si,83
vous,vous,51
voyiez,voir,18
comme,comme,83
j',je,51
ai,avoir,17
de,de,81
l',le,71
embarras,embarras,21
pour,pour,81
votre,votre,73
petite,petite,22
…,…,p
si,si,83
vous,vous,51
voyiez,voir,18
comme,comme,83
elle,il,51
est,être,17
gentille,gentil,30
quand,quand,83
elle,il,51
n',ne,60
endure,endurer,17
pas,pas,60
de,de,81
mal,mal,21
/!,/!,P
“,“,p
cette,ce,74
lettre,lettre,22
fit,faire,19
à,à,81
Germinie,Germinie,20
reflet,reflet,21
d',de,81
un,un,71
grand,grand,30
coup,coup,21
qui,qui,52
vous,vous,51
pousse,pousser,17
en,en,81
avant,avant,21
/.,/.,P
elle,il,51
sortit,sortir,19
et,et,82
se,se,51
dirigea,diriger,19
machinalement,machinalement,60
du,de,81
du,le,71
côté,côté,21
du,de,81
du,le,71
chemin,chemin,21
de,de,81
fer,fer,21
qui,qui,52
menait,mener,18
chez,chez,81
sa,son,73
petite,petite,22
/.,/.,P
elle,il,51
était,être,18
en,en,81
cheveux,cheveu,21
et,et,82
en,en,81
pantoufles,pantoufle,22
;,;,p
mais,mais,82
elle,il,51
n',ne,60
y,y,52
songeait,songer,18
pas,pas,60
/.,/.,P
il,il,51
fallait,falloir,18
qu',que,83
elle,il,51
vît,voir,18
son,son,73
enfant,enfant,21
",",",",p
qu',que,83
elle,il,51
le,le,52
vît,voir,18
tout,tout,60
de,de,81
suite,suite,22
/.,/.,P
après,après,81
",",",",p
elle,il,51
reviendrait,revenir,16
/.,/.,P
elle,il,51
pensa,penser,19
un,un,71
moment,moment,21
au,à,81
au,le,71
déjeuner,déjeuner,21
de,de,81
mademoiselle,mademoiselle,22
",",",",p
puis,puis,60
l',le,52
oublia,oublier,19
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
",",",",p
à mi-chemin,à mi-chemin,60
dans,dans,81
la,le,71
rue,rue,22
",",",",p
elle,il,51
vit,vivre,17
l',le,71
heure,heure,22
à,à,81
l',le,71
horloge,horloge,22
d',de,81
un,un,71
bureau,bureau,21
de,de,81
fiacres,fiacre,21
:,:,p
elle,il,51
se,se,51
rappela,rappeler,19
qu',que,83
il,il,51
n',ne,60
y,y,52
avait,avoir,18
pas,pas,60
de,de,81
départ,départ,21
à,à,81
cette,ce,74
heure,heure,22
là,là,60
/.,/.,P
elle,il,51
retourna,retourner,19
sur,sur,81
ses,son,73
pas,pas,21
",",",",p
se,se,51
dit,dire,17
qu',que,83
elle,il,51
allait,aller,18
bâcler,bâcler,14
le,le,71
déjeuner,déjeuner,21
",",",",p
puis,puis,60
qu',que,83
elle,il,51
trouverait,trouver,16
un,un,71
prétexte,prétexte,21
pour,pour,81
être,être,14
libre,libre,30
le,le,71
reste,reste,21
de,de,81
la,le,71
journée,journée,22
/.,/.,P
mais,mais,82
le,le,71
déjeuner,déjeuner,21
servi,servi,31
",",",",p
elle,il,51
ne,ne,60
trouva,trouver,19
rien,rien,52
:,:,p
elle,il,51
avait,avoir,18
la,le,71
tête,tête,22
si,si,60
pleine,plein,30
de,de,81
son,son,73
enfant,enfant,21
qu',que,52
elle,il,51
ne,ne,60
put,pouvoir,19
inventer,inventer,14
un,un,71
mensonge,mensonge,21
;,;,p
son,son,73
imagination,imagination,22
était,être,18
stupide,stupide,30
/.,/.,P
et,et,82
puis,puis,60
",",",",p
si,si,83
elle,il,51
avait,avoir,18
parlé,parler,12
",",",",p
demandé,demander,12
",",",",p
elle,il,51
aurait,avoir,16
éclaté,éclater,12
;,;,p
elle,il,51
se,se,51
sentait,sentir,18
sur,sur,81
les,le,71
lèvres,lèvre,22
:,:,p
c',ce,52
est,être,17
pour,pour,81
voir,voir,14
ma,mon,73
petite,petite,22
/!,/!,P
la,le,71
nuit,nuit,22
",",",",p
elle,il,51
n',ne,60
osa,oser,19
se,se,51
sauver,sauver,14
;,;,p
mademoiselle,mademoiselle,22
avait,avoir,18
été,être,12
un,un,71
peu,peu,60
souffrante,souffrant,30
la,le,71
nuit,nuit,22
précédente,précédent,30
:,:,p
elle,il,51
avait,avoir,18
peur,peur,22
qu',que,83
elle,il,51
n',ne,60
eût,avoir,19
besoin,besoin,21
d',de,81
elle,il,51
/.,/.,P
le,le,71
lendemain,lendemain,21
",",",",p
quand,quand,83
elle,il,51
entra,entrer,19
chez,chez,81
mademoiselle,mademoiselle,22
avec,avec,81
une,un,71
histoire,histoire,22
imaginée,imaginé,31
la,le,71
nuit,nuit,22
",",",",p
toute,tout,60
prête,prêt,30
à,à,81
lui,lui,51
demander,demander,14
à,à,81
sortir,sortir,14
",",",",p
mademoiselle,mademoiselle,22
lui,lui,51
dit,dire,17
",",",",p
en,en,81
lisant,lire,13
la,le,71
lettre,lettre,22
qu',que,83
elle,il,51
lui,lui,51
avait,avoir,18
remontée,remonter,12
de,de,81
chez,chez,81
le,le,71
portier,portier,21
:,:,p
-,-,p
ah,ah,93
!,!,p
c',ce,52
est,être,17
ma,mon,73
vieille,vieille,22
de,de,81
Belleuse,Belleuse,20
qui,qui,52
a,avoir,17
besoin,besoin,21
de,de,81
toi,toi,51
toute,tout,75
la,le,71
journée,journée,22
pour,pour,81
l',le,52
aider,aider,14
à,à,81
ses,son,73
confitures,confiture,22
/…,/…,P
allons,aller,17
",",",",p
mes,mon,73
deux,deux,72
oeufs,oeuf,21
",",",",p
en,en,81
poste,poste,21
",",",",p
et,et,82
décampe,décamper,17
/…,/…,P
hein,hein,93
",",",",p
quoi,quoi,52
",",",",p
ça,ça,52
te,tu,51
chiffonne,chiffonner,17
?,?,p
/.,/.,P
qu',que,52
est,être,17
ce,ce,52
qu',que,52
il,il,51
y,y,52
a,avoir,17
/?,/?,P
-,-,p
moi,moi,51
?,?,p
.,.,p
mais,mais,82
pas,pas,60
du,de,81
du,le,71
tout,tout,21
",",",",p
eut,avoir,19
la,le,71
force,force,22
de,de,81
dire,dire,14
Germinie,Germinie,20
/.,/.,P
tout,tout,75
ce,ce,74
long,long,30
jour,jour,21
",",",",p
elle,il,51
le,le,52
passa,passer,19
au,à,81
au,le,71
feu,feu,21
des,de,81
des,le,71
bassines,bassine,22
",",",",p
au,à,81
au,le,71
ficèlement,ficèlement,92
des,de,81
des,le,71
pots,pot,21
",",",",p
dans,dans,81
la,le,71
torture,torture,22
des,de,81
des,le,71
gens,gens,21
que,que,52
la,le,71
vie,vie,22
cloue,clouer,17
loin,loin,60
du,de,81
du,le,71
mal,mal,21
de,de,81
ceux,celui,52
qu',que,52
ils,ils,51
aiment,aimer,17
/.,/.,P
elle,il,51
eut,avoir,19
le,le,71
déchirement,déchirement,21
des,de,81
des,le,71
malheureux,malheureux,21
qui,qui,52
ne,ne,60
peuvent,pouvoir,17
aller,aller,14
où,où,60
sont,être,17
leurs,leur,73
inquiétudes,inquiétude,22
",",",",p
et,et,82
creusant,creuser,13
jusqu',jusque,81
au,à,81
au,le,71
fond,fond,21
le,le,71
désespoir,désespoir,21
de,de,81
l',le,71
éloignement,éloignement,21
et,et,82
de,de,81
l',le,71
incertitude,incertitude,22
",",",",p
se,se,51
figurent,figurer,17
à,à,81
toute,tout,75
minute,minute,22
qu',que,83
on,on,51
va,aller,17
mourir,mourir,14
sans,sans,81
eux,ils,51
/.,/.,P
en,en,81
ne,ne,60
trouvant,trouver,13
pas,pas,60
de,de,81
lettre,lettre,22
le,le,71
jeudi,jeudi,21
soir,soir,21
",",",",p
pas,pas,60
de,de,81
lettre,lettre,22
le,le,71
vendredi,vendredi,21
matin,matin,21
",",",",p
elle,il,51
se,se,51
rassura,rassurer,19
/.,/.,P
si,si,83
la,le,71
petite,petite,22
allait,aller,18
plus,plus,60
mal,mal,60
",",",",p
la,le,71
nourrice,nourrice,22
lui,lui,51
aurait,avoir,16
écrit,écrire,12
/.,/.,P
la,le,71
petite,petite,22
allait,aller,18
mieux,mieux,60
;,;,p
elle,il,51
se,se,51
la,le,52
figurait,figurer,18
sauvée,sauvé,31
",",",",p
guérie,guéri,31
/.,/.,P
cela,cela,52
manque,manquer,17
toujours,toujours,60
de,de,81
mourir,mourir,14
",",",",p
et,et,82
cela,cela,52
reprend,reprendre,17
si,si,60
vite,vite,60
",",",",p
les,le,71
enfants,enfant,21
/!,/!,P
et,et,82
puis,puis,60
la,le,71
sienne,sien,52
était,être,18
forte,fort,30
/.,/.,P
elle,il,51
se,se,51
décida,décider,19
à,à,81
attendre,attendre,14
",",",",p
à,à,81
patienter,patienter,14
jusqu',jusque,81
au,à,81
au,le,71
dimanche,dimanche,21
dont,dont,52
elle,il,51
n',ne,60
était,être,18
plus,plus,60
séparée,séparer,12
que,que,83
par,par,81
quarante,quarante,72
huit,huit,72
heures,heure,22
",",",",p
trompant,tromper,13
le,le,71
reste,reste,21
de,de,81
ses,son,73
craintes,crainte,22
avec,avec,81
les,le,71
superstitions,superstition,22
qui,qui,52
disent,dire,17
oui,oui,60
à,à,81
l',le,71
espérance,espérance,22
",",",",p
se,se,51
persuadant,persuader,13
que,que,83
sa,son,73
fille,fille,22
était,être,18
“,“,p
réchappée,réchapper,12
",",",",p
“,“,p
parce que,parce que,83
le,le,71
matin,matin,21
la,le,71
première,premier,72
personne,personne,22
qu',que,52
elle,il,51
avait,avoir,18
rencontrée,rencontrer,12
était,être,18
un,un,71
homme,homme,21
",",",",p
parce qu',parce que,83
elle,il,51
avait,avoir,18
vu,voir,12
dans,dans,81
la,le,71
rue,rue,22
un,un,71
cheval,cheval,21
rouge,rouge,30
",",",",p
parce qu',parce que,83
elle,il,51
avait,avoir,18
deviné,deviner,12
qu',que,83
un,un,71
passant,passant,21
tournerait,tourner,16
à,à,81
telle,tel,75
rue,rue,22
",",",",p
parce qu',parce que,83
elle,il,51
avait,avoir,18
remonté,remonter,12
un,un,71
étage,étage,21
en,en,81
tant,tant,60
d',de,81
enjambées,enjambée,22
/.,/.,P
le,le,71
samedi,samedi,21
",",",",p
dans,dans,81
la,le,71
matinée,matinée,22
",",",",p
en,en,81
entrant,entrer,13
chez,chez,81
la,le,71
mère,mère,22
Jupillon,Jupillon,20
",",",",p
elle,il,51
la,le,52
trouva,trouver,19
en,en,81
train,train,21
de,de,81
pleurer,pleurer,14
de,de,81
grosses,gros,30
larmes,larme,22
sur,sur,81
une,un,71
motte,motte,22
de,de,81
beurre,beurre,21
qu',que,83
elle,il,51
recouvrait,recouvrir,18
d',de,81
un,un,71
linge,linge,21
mouillé,mouillé,31
/.,/.,P
-,-,p
ah,ah,93
!,!,p
c',ce,52
est,être,17
vous,vous,51
",",",",p
fit,faire,19
la,le,71
mère,mère,22
Jupillon,Jupillon,20
/.,/.,P
cette,ce,74
pauvre,pauvre,22
charbonnière,charbonnier,30
!,!,p
/…,/…,P
j',je,51
en,en,52
pleure,pleurer,17
",",",",p
tenez,tenir,17
/!,/!,P
elle,il,51
sort,sortir,17
d',de,81
ici,ici,60
/…,/…,P
c',ce,52
est,être,17
que,que,83
vous,vous,51
ne,ne,60
savez,savoir,17
pas,pas,60
/…,/…,P
ils,ils,51
ne,ne,60
peuvent,pouvoir,17
se,se,51
faire,faire,14
la,le,71
figure,figure,22
propre,propre,30
dans,dans,81
leur,leur,73
état,état,21
qu',que,52
avec,avec,81
du,de,81
du,le,71
beurre,beurre,21
/…,/…,P
et,et,82
voilà,voilà,81
que,que,83
son,son,73
amour,amour,21
de,de,81
petite,petit,30
fille,fille,22
/…,/…,P
elle,il,51
est,être,17
à,à,81
la,le,71
mort,mort,22
",",",",p
vous,vous,51
savez,savoir,17
",",",",p
ce,ce,74
chéri,chéri,31
d',de,81
enfant,enfant,21
/…,/…,P
ce,ce,52
que,que,52
c',ce,52
est,être,17
que,que,83
de,de,81
nous,nous,51
/!,/!,P
ah,ah,93
!,!,p
mon,mon,73
dieu,dieu,21
",",",",p
oui,oui,60
/…,/…,P
eh,eh,93
bien,bien,60
!,!,p
elle,il,51
lui,lui,51
a,avoir,17
dit,dire,12
comme,comme,83
ça,ça,52
tout,tout,60
à,à,81
l',le,71
heure,heure,22
:,:,p
maman,maman,22
",",",",p
je,je,51
veux,vouloir,17
que,que,83
tu,tu,51
me,je,51
débarbouilles,débarbouiller,17
au,à,81
au,le,71
beurre,beurre,21
",",",",p
tout,tout,60
de,de,81
suite,suite,22
…,…,p
pour,pour,81
le,le,71
bon,bon,30
dieu,dieu,21
/…,/…,P
hi,hi,93
!,!,p
hi,hi,93
/!,/!,P
et,et,82
la,le,71
mère,mère,22
Jupillon,Jupillon,20
se,se,51
mit,mettre,19
