11677
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-et-unième extrait>,<>,<>
que,que,83
vous,vous,51
ne,ne,60
vinssiez,venir,18
jamais,jamais,60
",",",",p
répondit,répondre,19
Popinot,Popinot,20
d',de,81
un,un,71
air,air,21
respectueux,respectueux,30
/.,/.,P
les,le,71
commis,commis,21
accoururent,accourir,19
voir,voir,14
le,le,71
grand,grand,30
homme,homme,21
de,de,81
la,le,71
parfumerie,parfumerie,22
",",",",p
l',le,71
adjoint,adjoint,21
décoré,décoré,31
",",",",p
l',le,71
associé,associé,21
de,de,81
leur,leur,73
patron,patron,21
/.,/.,P
ces,ce,74
muets,muet,30
hommages,hommage,21
flattèrent,flatter,19
le,le,71
parfumeur,parfumeur,21
/.,/.,P
Birotteau,Birotteau,20
",",",",p
naguère,naguère,60
si,si,60
petit,petit,30
chez,chez,81
les,le,71
Keller,Keller,20
",",",",p
éprouva,éprouver,19
le,le,71
besoin,besoin,21
de,de,81
les,le,52
imiter,imiter,14
;,;,p
il,il,51
se,se,51
caressa,caresser,19
le,le,71
menton,menton,21
",",",",p
sursauta,sursauter,19
vaniteusement,vaniteusement,60
à,à,81
l',le,71
aide,aide,22
de,de,81
ses,son,73
talons,talon,21
",",",",p
en,en,81
disant,dire,13
ses,son,73
banalités,banalité,22
/.,/.,P
-,-,p
eh,eh,93
!,!,p
bien,bien,60
",",",",p
mon,mon,73
ami,ami,21
",",",",p
se,se,51
lève,lever,17
t,t,94
on,on,51
de,de,81
bonne,bon,30
heure,heure,22
",",",",p
lui,lui,51
demanda,demander,19
t,t,94
il,il,51
/.,/.,P
-,-,p
non,non,60
",",",",p
l',l',94
on,on,51
ne,ne,60
se,se,51
couche,coucher,17
pas,pas,60
toujours,toujours,60
",",",",p
dit,dire,19
Popinot,Popinot,20
",",",",p
il,il,51
faut,falloir,17
se,se,51
cramponner,cramponner,14
au,à,81
au,le,71
succès,succès,21
/…,/…,P
eh,eh,93
!,!,p
bien,bien,60
",",",",p
que,que,52
disais,dire,18
je,je,51
?,?,p
mon,mon,73
huile,huile,22
est,être,17
une,un,71
fortune,fortune,22
/.,/.,P
-,-,p
oui,oui,60
",",",",p
monsieur,monsieur,21
",",",",p
mais,mais,82
les,le,71
moyens,moyen,21
d',de,81
exécution,exécution,22
y,y,52
sont,être,17
pour,pour,81
quelque,quelque,75
chose,chose,22
:,:,p
je,je,51
vous,vous,51
ai,avoir,17
bien,bien,60
monté,monter,12
votre,votre,73
diamant,diamant,21
/.,/.,P
-,-,p
au,à,81
au,le,71
fait,fait,21
",",",",p
dit,dire,19
le,le,71
parfumeur,parfumeur,21
",",",",p
où,où,60
en,en,52
sommes,être,17
nous,nous,51
/?,/?,P
y,y,52
a,avoir,17
t,t,94
il,il,51
des,de,81
des,le,71
bénéfices,bénéfice,21
/?,/?,P
au,à,81
au,le,71
bout,bout,21
de,de,81
vingt,vingt,72
jours,jour,21
",",",",p
s',se,51
écria,écrier,19
Popinot,Popinot,20
",",",",p
y,y,52
pensez,penser,17
vous,vous,51
/?,/?,P
l',le,71
ami,ami,21
Gaudissart,Gaudissart,20
n',ne,60
est,être,17
en,en,81
route,route,22
que,que,83
depuis,depuis,81
treize,treize,72
jours,jour,21
",",",",p
et,et,82
a,avoir,17
pris,prendre,12
une,un,71
chaise,chaise,22
de,de,81
poste,poste,21
sans,sans,81
me,je,51
le,le,52
dire,dire,14
/.,/.,P
oh,oh,93
!,!,p
il,il,51
est,être,17
bien,bien,60
dévoué,dévouer,12
",",",",p
nous,nous,51
devons,devoir,17
beaucoup,beaucoup,60
à,à,81
mon,mon,73
oncle,oncle,21
/!,/!,P
les,le,71
journaux,journal,21
",",",",p
dit,dire,19
il,il,51
à,à,81
l',le,71
oreille,oreille,22
de,de,81
Birotteau,Birotteau,20
",",",",p
nous,nous,51
coûteront,coûter,15
douze,douze,72
mille,mille,72
francs,franc,21
/.,/.,P
-,-,p
les,le,71
journaux,journal,21
",",",",p
s',se,51
écria,écrier,19
l',le,71
adjoint,adjoint,21
/.,/.,P
-,-,p
vous,vous,51
ne,ne,60
les,le,52
avez,avoir,17
donc,donc,82
pas,pas,60
lus,lire,12
/?,/?,P
non,non,60
/.,/.,P
-,-,p
vous,vous,51
ne,ne,60
savez,savoir,17
rien,rien,52
alors,alors,60
",",",",p
dit,dire,19
Popinot,Popinot,20
/.,/.,P
-,-,p
vingt,vingt,72
mille,mille,72
francs,franc,21
d',de,81
affiches,affiche,22
",",",",p
cadres,cadre,21
et,et,82
impressions,impression,22
;,;,p
cent,cent,72
mille,mille,72
bouteilles,bouteille,22
achetées,acheté,31
",",",",p
tout,tout,52
est,être,17
sacrifice,sacrifice,21
en,en,81
ce,ce,74
moment,moment,21
/.,/.,P
la,le,71
fabrication,fabrication,22
se,se,51
fait,faire,17
sur,sur,81
une,un,71
grande,grand,30
échelle,échelle,22
/.,/.,P
si,si,83
vous,vous,51
aviez,avoir,18
mis,mettre,12
le,le,71
pied,pied,21
au,à,81
au,le,71
faubourg,faubourg,21
où,où,60
j',je,51
ai,avoir,17
souvent,souvent,60
passé,passer,12
les,le,71
nuits,nuit,22
",",",",p
vous,vous,51
auriez,avoir,16
vu,voir,12
un,un,71
petit,petit,21
casse,casser,17
noisette,noisette,22
de,de,81
mon,mon,73
invention,invention,22
qui,qui,52
n',ne,60
est,être,17
pas,pas,60
piqué,piquer,12
des,de,81
des,le,71
vers,vers,21
/.,/.,P
pour,pour,81
mon,mon,73
compte,compte,21
",",",",p
j',je,51
ai,avoir,17
fait,faire,12
ces,ce,74
cinq,cinq,72
derniers,dernier,30
jours,jour,21
dix,dix,72
mille,mille,72
francs,franc,21
rien,rien,52
qu',que,83
en,en,81
commissions,commission,22
sur,sur,81
les,le,71
huiles,huile,22
de,de,81
droguerie,droguerie,22
/.,/.,P
-,-,p
quelle,quel,75
bonne,bon,30
tête,tête,22
",",",",p
dit,dire,19
Birotteau,Birotteau,20
en,en,81
posant,poser,13
sa,son,73
main,main,22
sur,sur,81
les,le,71
cheveux,cheveu,21
du,de,81
du,le,71
petit,petit,30
Popinot,Popinot,20
et,et,82
les,le,52
remuant,remuer,13
comme,comme,83
si,si,83
Popinot,Popinot,20
était,être,18
un,un,71
bambin,bambin,21
/.,/.,P
je,je,51
l',le,52
ai,avoir,17
deviné,deviner,12
/.,/.,P
plusieurs,plusieurs,75
personnes,personne,22
entrèrent,entrer,19
/.,/.,P
-,-,p
à,à,81
dimanche,dimanche,21
",",",",p
nous,nous,51
dînons,dîner,17
chez,chez,81
ta,ton,73
tante,tante,22
Rangon,Rangon,20
",",",",p
dit,dire,19
Birotteau,Birotteau,20
qui,qui,52
laissa,laisser,19
Popinot,Popinot,20
à,à,81
ses,son,73
affaires,affaire,22
en,en,81
voyant,voir,13
que,que,83
la,le,71
chair,chair,22
fraîche,frais,30
qu',que,52
il,il,51
était,être,18
venu,venir,12
sentir,sentir,14
n',ne,60
était,être,18
pas,pas,60
découpée,découper,12
/.,/.,P
est,être,17
ce,ce,52
extraordinaire,extraordinaire,30
/!,/!,P
un,un,71
commis,commis,21
devient,devenir,17
négociant,négociant,21
en,en,81
vingt,vingt,72
quatre,quatre,72
heures,heure,22
",",",",p
pensait,penser,18
Birotteau,Birotteau,20
qui,qui,52
ne,ne,60
revenait,revenir,18
pas,pas,60
plus,plus,60
du,de,81
du,le,71
bonheur,bonheur,21
et,et,82
de,de,81
l',le,71
aplomb,aplomb,21
de,de,81
Popinot,Popinot,20
que,que,83
du,de,81
du,le,71
luxe,luxe,21
de,de,81
du,de,81
du,le,71
Tillet,Tillet,20
/.,/.,P
Anselme,Anselme,20
vous,vous,51
a,avoir,17
pris,prendre,12
un,un,71
petit,petit,30
air,air,21
pincé,pincé,31
",",",",p
quand,quand,83
je,je,51
lui,lui,51
ai,avoir,17
mis,mettre,12
la,le,71
main,main,22
sur,sur,81
la,le,71
tête,tête,22
",",",",p
comme,comme,83
s',si,83
il,il,51
était,être,18
déjà,déjà,60
François,François,20
Keller,Keller,20
/.,/.,P
Birotteau,Birotteau,20
n',ne,60
avait,avoir,18
pas,pas,60
songé,songer,12
que,que,83
les,le,71
commis,commis,21
le,le,52
regardaient,regarder,18
",",",",p
et,et,82
qu',que,83
un,un,71
maître,maître,21
de,de,81
maison,maison,22
a,avoir,17
sa,son,73
dignité,dignité,22
à,à,81
conserver,conserver,14
chez,chez,81
lui,lui,51
/.,/.,P
là,là,60
",",",",p
comme,comme,83
chez,chez,81
du,de,81
du,le,71
Tillet,Tillet,20
",",",",p
le,le,71
bonhomme,bonhomme,21
avait,avoir,18
fait,faire,12
une,un,71
sottise,sottise,22
par,par,81
bonté,bonté,22
de,de,81
coeur,coeur,21
",",",",p
et,et,82
faute,faute,22
de,de,81
retenir,retenir,14
un,un,71
sentiment,sentiment,21
vrai,vrai,30
",",",",p
bourgeoisement,bourgeoisement,60
exprimé,exprimé,31
",",",",p
César,César,20
aurait,avoir,16
blessé,blesser,12
tout,tout,75
autre,autre,75
homme,homme,21
qu',que,52
Anselme,Anselme,20
/.,/.,P
ce,ce,74
dîner,dîner,21
du,de,81
du,le,71
dimanche,dimanche,21
chez,chez,81
les,le,71
Ragon,Ragon,20
devait,devoir,18
être,être,14
la,le,71
dernière,dernier,30
joie,joie,22
des,de,81
des,le,71
dix,dix,72
neuf,neuf,72
années,année,22
heureuses,heureux,30
du,de,81
du,le,71
ménage,ménage,21
de,de,81
Birotteau,Birotteau,20
",",",",p
joie,joie,22
complète,complet,30
d',de,81
ailleurs,ailleurs,60
/.,/.,P
Ragon,Ragon,20
demeurait,demeurer,18
rue,rue,22
du,de,81
du,le,71
Petit-Bourbon,Petit Bourbon,20
Saint-Sulpice,Saint-Sulpice,20
",",",",p
à,à,81
un,un,71
deuxième,deuxième,72
étage,étage,21
",",",",p
dans,dans,81
une,un,71
antique,antique,30
maison,maison,22
de,de,81
digne,digne,30
apparence,apparence,22
",",",",p
dans,dans,81
un,un,71
vieil,vieux,30
appartement,appartement,21
à,à,81
trumeaux,trumeau,21
où,où,60
dansaient,danser,18
les,le,71
bergères,bergère,22
en,en,81
paniers,panier,21
et,et,82
où,où,60
paissaient,paître,18
les,le,71
moutons,mouton,21
de,de,81
ce,ce,74
dix-huitième,dix-huitième,72
siècle,siècle,21
dont,dont,52
les,le,71
Ragon,Ragon,20
représentaient,représenter,18
si,si,60
bien,bien,60
la,le,71
bourgeoisie,bourgeoisie,22
grave,grave,30
et,et,82
sérieuse,sérieux,30
",",",",p
à,à,81
moeurs,moeurs,22
comiques,comique,30
",",",",p
à,à,81
idées,idée,22
respectueuses,respectueux,30
envers,envers,81
la,le,71
noblesse,noblesse,22
",",",",p
dévouée,dévoué,31
au,à,81
au,le,71
souverain,souverain,21
et,et,82
à,à,81
l',le,71
église,église,22
/.,/.,P
les,le,71
meubles,meuble,21
",",",",p
les,le,71
pendules,pendule,22
",",",",p
le,le,71
linge,linge,21
",",",",p
la,le,71
vaisselle,vaisselle,22
",",",",p
tout,tout,52
était,être,18
patriarcal,patriarcal,30
",",",",p
à,à,81
formes,forme,22
neuves,neuf,30
par,par,81
leur,leur,73
vieillesse,vieillesse,22
même,même,30
/.,/.,P
le,le,71
salon,salon,21
",",",",p
tendu,tendu,31
de,de,81
vieux,vieux,30
damas,damas,21
",",",",p
orné,orné,31
de,de,81
rideaux,rideau,21
en,en,81
brocatelle,brocatelle,22
",",",",p
offrait,offrir,18
des,de,81
des,le,71
duchesses,duchesse,22
",",",",p
des,de,81
des,le,71
bonheurs,bonheur,21
du,de,81
du,le,71
jour,jour,21
",",",",p
un,un,71
superbe,superbe,30
Popinot,Popinot,20
",",",",p
échevin,échevin,21
de,de,81
Sancerre,Sancerre,20
",",",",p
peint,peint,31
par,par,81
Latour,Latour,20
",",",",p
le,le,71
père,père,21
de,de,81
madame,madame,22
Ragon,Ragon,20
",",",",p
un,un,71
bonhomme,bonhomme,21
excellent,excellent,30
en,en,81
peinture,peinture,22
",",",",p
et,et,82
qui,qui,52
souriait,sourire,18
comme,comme,83
un,un,71
parvenu,parvenu,21
dans,dans,81
sa,son,73
gloire,gloire,22
/.,/.,P
au,à,81
au,le,71
logis,logis,21
",",",",p
madame,madame,22
Ragon,Ragon,20
se,se,51
complétait,compléter,18
par,par,81
un,un,71
petit,petit,30
chien,chien,21
anglais,anglais,30
de,de,81
la,le,71
race,race,22
de,de,81
ceux,celui,52
de,de,81
Charles II,Charles II,20
",",",",p
qui,qui,52
faisait,faire,18
un,un,71
merveilleux,merveilleux,30
effet,effet,21
sur,sur,81
son,son,73
petit,petit,30
sofa,sofa,21
dur,dur,30
",",",",p
à,à,81
formes,forme,22
rococo,rococo,21
",",",",p
qui,qui,52
",",",",p
certes,certes,60
",",",",p
n',ne,60
avait,avoir,18
jamais,jamais,60
joué,jouer,12
le,le,71
rôle,rôle,21
du,de,81
du,le,71
sofa,sofa,21
de,de,81
Crébillon,Crébillon,20
/.,/.,P
parmi,parmi,81
toutes,tout,75
leurs,leur,73
vertus,vertu,22
",",",",p
les,le,71
Ragon,Ragon,20
se,se,51
recommandaient,recommander,18
par,par,81
la,le,71
conservation,conservation,22
de,de,81
vieux,vieux,30
vins,vin,21
arrivés,arrivé,31
à,à,81
un,un,71
parfait,parfait,31
dépouillement,dépouillement,21
",",",",p
et,et,82
par,par,81
la,le,71
possession,possession,22
de,de,81
quelques,quelque,75
liqueurs,liqueur,22
de,de,81
madame,madame,22
Anfoux,Anfoux,20
",",",",p
que,que,83
des,de,81
des,le,71
gens,gens,21
assez,assez,60
entêtés,entêté,31
pour,pour,81
aimer,aimer,14
sans,sans,81
espoir,espoir,21
",",",",p
disait,dire,18
on,on,51
",",",",p
la,le,71
belle,beau,30
madame,madame,22
Ragon,Ragon,20
lui,lui,51
avaient,avoir,18
rapportées,rapporter,12
des,de,81
des,le,71
îles,île,22
/.,/.,P
aussi,aussi,60
leurs,leur,73
petits,petit,30
dîners,dîner,21
étaient,être,18
ils,ils,51
prisés,priser,12
/!,/!,P
une,un,71
vieille,vieux,30
cuisinière,cuisinière,22
",",",",p
Jeannette,Jeannette,20
",",",",p
servait,servir,18
les,le,71
deux,deux,72
vieillards,vieillard,21
avec,avec,81
un,un,71
aveugle,aveugle,30
dévouement,dévouement,21
",",",",p
elle,il,51
aurait,avoir,16
volé,voler,12
des,de,81
des,le,71
fruits,fruit,21
pour,pour,81
leur,leur,52
faire,faire,14
des,de,81
des,le,71
confitures,confiture,22
/!,/!,P
loin,loin,60
de,de,81
porter,porter,14
son,son,73
argent,argent,21
aux,à,81
aux,le,71
caisses,caisse,22
d',de,81
épargne,épargne,22
",",",",p
elle,il,51
le,le,52
mettait,mettre,18
sagement,sagement,60
à,à,81
la,le,71
loterie,loterie,22
",",",",p
espérant,espérer,13
apporter,apporter,14
un,un,71
jour,jour,21
le,le,71
gros,gros,30
lot,lot,21
à,à,81
ses,son,73
maîtres,maître,21
/.,/.,P
le,le,71
dimanche,dimanche,21
où,où,60
ses,son,73
maîtres,maître,21
avaient,avoir,18
du,de,81
du,le,71
monde,monde,21
",",",",p
elle,il,51
était,être,18
",",",",p
malgré,malgré,81
ses,son,73
soixante,soixante,72
ans,an,21
",",",",p
à,à,81
la,le,71
cuisine,cuisine,22
pour,pour,81
surveiller,surveiller,14
les,le,71
plats,plat,21
",",",",p
à,à,81
la,le,71
table,table,22
pour,pour,81
servir,servir,14
avec,avec,81
une,un,71
agilité,agilité,22
qui,qui,52
eût,avoir,19
rendu,rendre,12
des,de,81
des,le,71
points,point,21
à,à,81
mademoiselle,mademoiselle,22
Mars,Mars,20
dans,dans,81
son,son,73
rôle,rôle,21
de,de,81
Suzanne,Suzanne,20
du,de,81
du,le,71
mariage,mariage,21
de,de,81
Figaro,Figaro,20
/.,/.,P
les,le,71
invités,invité,21
étaient,être,18
le,le,71
juge,juge,21
Popinot,Popinot,20
",",",",p
l',le,71
oncle,oncle,21
Pillerault,Pillerault,20
",",",",p
Anselme,Anselme,20
",",",",p
les,le,52
trois,trois,72
Birotteau,Birotteau,20
",",",",p
les,le,52
trois,trois,72
Matifat,Matifat,20
et,et,82
l',le,71
abbé,abbé,21
Loraux,Loraux,20
/.,/.,P
madame,madame,22
Matifat,Matifat,20
",",",",p
naguère,naguère,60
coiffée,coiffé,31
en,en,81
turban,turban,21
pour,pour,81
danser,danser,14
",",",",p
vint,venir,19
en,en,81
robe,robe,22
de,de,81
velours,velours,21
bleu,bleu,30
",",",",p
gros,gros,30
bas,bas,21
de,de,81
coton,coton,21
et,et,82
souliers,soulier,21
de,de,81
peau,peau,22
de,de,81
chèvre,chèvre,22
",",",",p
des,de,81
des,le,71
gants,gant,21
de,de,81
chamois,chamois,21
bordés,bordé,31
de,de,81
peluche,peluche,22
verte,vert,30
et,et,82
un,un,71
chapeau,chapeau,21
doublé,doublé,31
de,de,81
rose,rose,21
",",",",p
orné,orné,31
d',de,81
oreilles,oreille,22
d',de,81
ours,ours,21
/.,/.,P
ces,ce,74
dix,dix,72
personnes,personne,22
furent,être,19
réunies,réunir,12
à,à,81
cinq,cinq,72
heures,heure,22
/.,/.,P
les,le,71
vieux,vieux,30
Ragon,Ragon,20
suppliaient,supplier,18
leurs,leur,73
convives,convive,21
d',de,81
être,être,14
exacts,exact,30
/.,/.,P
quand,quand,83
on,on,51
les,le,52
invitait,inviter,18
",",",",p
on,on,51
avait,avoir,18
soin,soin,21
de,de,81
les,le,52
faire,faire,14
dîner,dîner,14
à,à,81
cette,ce,74
heure,heure,22
",",",",p
car,car,82
ces,ce,74
estomacs,estomac,21
de,de,81
soixante,soixante,72
dix,dix,72
ans,an,21
ne,ne,60
se,se,51
pliaient,plier,18
point,point,60
aux,à,81
aux,le,71
nouvelles,nouveau,30
heures,heure,22
prises,pris,31
par,par,81
le,le,71
bon,bon,30
ton,ton,21
/.,/.,P
Césarine,Césarine,20
savait,savoir,18
que,que,83
madame,madame,22
Ragon,Ragon,20
la,le,52
placerait,placer,16
à,à,81
côté,côté,21
d',de,81
Anselme,Anselme,20
:,:,p
toutes,tout,75
les,le,71
femmes,femme,22
",",",",p
même,même,60
les,le,71
dévotes,dévote,22
et,et,82
les,le,71
sottes,sotte,22
",",",",p
s',se,51
entendent,entendre,17
en,en,81
fait,fait,21
d',de,81
amour,amour,21
/.,/.,P
la,le,71
fille,fille,22
du,de,81
du,le,71
parfumeur,parfumeur,21
s',se,51
était,être,18
donc,donc,82
mise,mettre,12
de,de,81
manière,manière,22
à,à,81
tourner,tourner,14
la,le,71
tête,tête,22
à,à,81
Popinot,Popinot,20
/.,/.,P
sa,son,73
mère,mère,22
",",",",p
qui,qui,52
avait,avoir,18
renoncé,renoncer,12
",",",",p
non,non,60
sans,sans,81
douleur,douleur,22
",",",",p
au,à,81
au,le,71
notaire,notaire,21
",",",",p
lequel,lequel,52
jouait,jouer,18
dans,dans,81
sa,son,73
pensée,pensée,22
le,le,71
rôle,rôle,21
d',de,81
un,un,71
prince,prince,21
héréditaire,héréditaire,30
",",",",p
contribua,contribuer,19
",",",",p
non,non,60
sans,sans,81
d',de,81
amères,amer,30
réflexions,réflexion,22
",",",",p
à,à,81
cette,ce,74
toilette,toilette,22
/.,/.,P
Constance,Constance,20
descendit,descendre,19
le,le,71
pudique,pudique,30
fichu,fichu,21
de,de,81
gaze,gaze,22
pour,pour,81
découvrir,découvrir,14
un,un,71
peu,peu,60
les,le,71
épaules,épaule,22
de,de,81
Césarine,Césarine,20
et,et,82
laisser,laisser,14
voir,voir,14
l',le,71
attachement,attachement,21
du,de,81
du,le,71
col,col,21
qui,qui,52
était,être,18
d',de,81
une,un,71
remarquable,remarquable,30
élégance,élégance,22
/.,/.,P
le,le,71
corsage,corsage,21
à,à,81
la,le,71
grecque,grec,30
",",",",p
croisé,croisé,31
de,de,81
gauche,gauche,22
à,à,81
droite,droite,22
",",",",p
à,à,81
cinq,cinq,72
plis,pli,21
",",",",p
pouvait,pouvoir,18
s',se,51
entr'ouvrir,entr'ouvrir,14
et,et,82
montrer,montrer,14
de,de,81
délicieuses,délicieux,30
rondeurs,rondeur,22
/.,/.,P
la,le,71
robe,robe,22
mérinos,mérinos,21
gris,gris,30
de,de,81
plomb,plomb,21
à,à,81
falbalas,falbala,21
bordés,bordé,31
d',de,81
agréments,agrément,21
verts,vert,30
lui,lui,51
dessinait,dessiner,18
nettement,nettement,60
la,le,71
taille,taille,22
qui,qui,52
ne,ne,60
parut,paraître,19
jamais,jamais,60
si,si,60
fine,fin,30
ni,ni,82
si,si,60
souple,souple,30
/.,/.,P
ses,son,73
oreilles,oreille,22
étaient,être,18
ornées,orner,12
de,de,81
pendeloques,pendeloque,22
en,en,81
or,or,21
travaillé,travaillé,31
;,;,p
ses,son,73
cheveux,cheveu,21
relevés,relevé,31
à,à,81
la,le,71
chinoise,chinois,30
permettaient,permettre,18
au,à,81
au,le,71
regard,regard,21
d',de,81
embrasser,embrasser,14
les,le,71
suaves,suave,30
fraîcheurs,fraîcheur,22
d',de,81
une,un,71
peau,peau,22
nuancée,nuancé,31
de,de,81
veines,veine,22
",",",",p
où,où,60
la,le,71
vie,vie,22
la,le,71
plus,plus,60
pure,pur,30
éclatait,éclater,18
aux,à,81
aux,le,71
endroits,endroit,21
mats,mat,30
/.,/.,P
enfin,enfin,60
",",",",p
Césarine,Césarine,20
était,être,18
si,si,60
coquettement,coquettement,60
belle,beau,30
que,que,83
madame,madame,22
Matifat,Matifat,20
ne,ne,60
put,pouvoir,19
s',se,51
empêcher,empêcher,14
de,de,81
l',le,52
avouer,avouer,14
",",",",p
sans,sans,81
s',se,51
apercevoir,apercevoir,14
que,que,83
la,le,71
mère,mère,22
et,et,82
la,le,71
fille,fille,22
avaient,avoir,18
compris,comprendre,12
la,le,71
nécessité,nécessité,22
d',de,81
ensorceler,ensorceler,14
le,le,71
petit,petit,30
Popinot,Popinot,20
/.,/.,P
Birotteau,Birotteau,20
ni,ni,82
sa,son,73
femme,femme,22
",",",",p
ni,ni,82
madame,madame,22
Matifat,Matifat,20
",",",",p
ne,ne,60
troublèrent,troubler,19
la,le,71
douce,doux,30
conversation,conversation,22
que,que,52
les,le,71
deux,deux,72
enfants,enfant,21
enflammés,enflammé,31
par,par,81
l',le,71
amour,amour,21
tinrent,tenir,19
à,à,81
voix,voix,22
basse,bas,30
dans,dans,81
une,un,71
embrasure,embrasure,22
de,de,81
croisée,croisée,22
où,où,60
le,le,71
froid,froid,21
déployait,déployer,18
ses,son,73
bises,bise,22
fenestrales,fenestral,30
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
la,le,71
conversation,conversation,22
des,de,81
des,le,71
