11421
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Vingt-deuxième extrait>,<>,<>
réverbère,réverbère,21
une,un,71
rue,rue,22
inconnue,inconnu,30
",",",",p
une,un,71
maison,maison,22
qui,qui,52
n',ne,60
était,être,18
pas,pas,60
la,le,71
sienne,sien,52
/.,/.,P
“,“,p
où,où,60
diable,diable,21
me,je,51
mènes,mener,17
tu,tu,51
",",",",p
animal,animal,30
?,?,p
s',se,51
écria,écrier,19
t,t,94
il,il,51
/.,/.,P
sommes,être,17
nous,nous,51
donc,donc,82
faubourg,faubourg,21
Saint-Honoré,Saint-Honoré,20
",",",",p
hôtel,hôtel,21
Labinski,Labinski,20
/?,/?,P
pardon,pardon,21
",",",",p
monsieur,monsieur,21
;,;,p
je,je,51
n',ne,60
avais,avoir,18
pas,pas,60
compris,comprendre,12
“,“,p
",",",",p
grommela,grommeler,19
le,le,71
cocher,cocher,21
en,en,81
faisant,faire,13
prendre,prendre,14
à,à,81
sa,son,73
bête,bête,22
la,le,71
direction,direction,22
indiquée,indiqué,31
/.,/.,P
pendant,pendant,81
le,le,71
trajet,trajet,21
",",",",p
le,le,71
comte,comte,21
transfiguré,transfiguré,31
se,se,51
fit,faire,19
plusieurs,plusieurs,75
questions,question,22
auxquelles,à,81
auxquelles,lequel,52
il,il,51
ne,ne,60
pouvait,pouvoir,18
répondre,répondre,14
/.,/.,P
comment,comment,60
sa,son,73
voiture,voiture,22
était,être,18
elle,il,51
partie,partir,12
sans,sans,81
lui,lui,51
",",",",p
puisqu',puisque,83
il,il,51
avait,avoir,18
donné,donner,12
ordre,ordre,21
qu',que,83
on,on,51
l',le,52
attendît,attendre,18
/?,/?,P
comment,comment,60
se,se,51
trouvait,trouver,18
il,il,51
lui-même,lui-même,51
dans,dans,81
la,le,71
voiture,voiture,22
d',de,81
un,un,71
autre,autre,52
/?,/?,P
il,il,51
suppose,supposer,17
qu',que,83
un,un,71
léger,léger,30
mouvement,mouvement,21
de,de,81
fièvre,fièvre,22
troublait,troubler,18
la,le,71
netteté,netteté,22
de,de,81
ses,son,73
perceptions,perception,22
",",",",p
ou,ou,82
que,que,83
peut-être,peut-être,60
le,le,71
docteur,docteur,21
thaumaturge,thaumaturge,30
",",",",p
pour,pour,81
frapper,frapper,14
plus,plus,60
vivement,vivement,60
sa,son,73
crédulité,crédulité,22
",",",",p
lui,lui,51
avait,avoir,18
fait,faire,12
respirer,respirer,14
pendant,pendant,81
son,son,73
sommeil,sommeil,21
quelque,quelque,75
flacon,flacon,21
de,de,81
haschisch,hachich,21
ou,ou,82
de,de,81
toute,tout,75
autre,autre,52
dogue,dogue,21
hallucinatrice,hallucinateur,30
dont,dont,52
une,un,71
nuit,nuit,22
de,de,81
repos,repos,21
dissiperait,dissiper,16
les,le,71
illusions,illusion,22
/.,/.,P
la,le,71
voiture,voiture,22
arriva,arriver,19
à,à,81
l',le,71
hôtel,hôtel,21
Labinski,Labinski,20
;,;,p
le,le,71
suisse,suisse,21
",",",",p
interpellé,interpellé,31
",",",",p
refusa,refuser,19
d',de,81
ouvrir,ouvrir,14
la,le,71
porte,porte,22
",",",",p
disant,dire,13
qu',que,83
il,il,51
n',ne,60
y,y,52
avait,avoir,18
pas,pas,60
de,de,81
réception,réception,22
ce,ce,74
soir,soir,21
là,là,60
",",",",p
que,que,52
monsieur,monsieur,21
était,être,18
rentré,rentrer,12
depuis,depuis,81
plus,plus,60
d',de,81
une,un,71
heure,heure,22
et,et,82
madame,madame,22
retirée,retiré,31
dans,dans,81
ses,son,73
appartements,appartement,21
/.,/.,P
“,“,p
drôle,drôle,21
",",",",p
es,être,17
tu,tu,51
ivre,ivre,30
ou,ou,82
fou,fou,30
?,?,p
dit,dire,19
Olaf,Olaf,20
de,de,81
Saville,Saville,20
en,en,81
repoussant,repousser,13
le,le,71
colosse,colosse,21
qui,qui,52
se,se,51
dressait,dresser,18
gigantesquement,gigantesquement,60
sur,sur,81
le,le,71
seuil,seuil,21
de,de,81
la,le,71
porte,porte,22
entrebaîllée,entrebaîller,31
",",",",p
comme,comme,83
une,un,52
de,de,81
ces,ce,74
statues,statue,22
en,en,81
bronze,bronze,21
qui,qui,52
",",",",p
dans,dans,81
les,le,71
contes,conte,21
arabes,arabe,30
",",",",p
défendent,défendre,17
aux,à,81
aux,le,71
chevaliers,chevalier,21
errants,errant,30
l',le,71
accès,accès,21
des,de,81
des,le,71
châteaux,château,21
enchantés,enchanté,31
/.,/.,P
-,-,p
ivre,ivre,30
ou,ou,82
fou,fou,30
vous-même,vous-même,51
",",",",p
mon,mon,73
petit,petit,30
monsieur,monsieur,21
",",",",p
répliqua,répliquer,19
le,le,71
suisse,suisse,21
",",",",p
qui,qui,52
",",",",p
de,de,81
cramoisi,cramoisi,30
qu',que,83
il,il,51
était,être,18
naturellement,naturellement,60
",",",",p
devint,devenir,19
bleu,bleu,30
de,de,81
colère,colère,22
/.,/.,P
-,-,p
misérable,misérable,30
!,!,p
rugit,rugir,19
Olaf,Olaf,20
de,de,81
Saville,Saville,20
",",",",p
si,si,83
je,je,51
ne,ne,60
me,je,51
respectais,respecter,18
/…,/…,P
-,-,p
taisez,taire,17
vous,vous,51
ou,ou,82
je,je,51
vais,aller,17
vous,vous,51
casser,casser,14
sur,sur,81
mon,mon,73
genou,genou,21
et,et,82
jeter,jeter,14
vos,votre,73
morceaux,morceau,21
sur,sur,81
le,le,71
trottoir,trottoir,21
",",",",p
répliqua,répliquer,19
le,le,71
géant,géant,21
en,en,81
ouvrant,ouvrir,13
une,un,71
main,main,22
plus,plus,60
large,large,30
et,et,82
plus,plus,60
grande,grand,30
que,que,83
la,le,71
colossale,colossal,30
main,main,22
de,de,81
plâtre,plâtre,21
exposée,exposé,31
chez,chez,81
le,le,71
gantier,gantier,21
de,de,81
la,le,71
rue,rue,22
Richelieu,Richelieu,20
;,;,p
il,il,51
ne,ne,60
faut,falloir,17
pas,pas,60
faire,faire,14
le,le,71
méchant,méchant,30
avec,avec,81
moi,moi,51
",",",",p
mon,mon,73
petit,petit,30
jeune,jeune,21
homme,homme,21
",",",",p
parce qu',parce que,83
on,on,51
a,avoir,17
bu,boire,12
une,un,72
ou,ou,82
deux,deux,72
bouteilles,bouteille,22
de,de,81
vin,vin,21
de,de,81
Champagne,Champagne,20
de,de,81
trop,trop,60
/.,/.,P
“,“,p
Olaf,Olaf,20
de,de,81
Saville,Saville,20
",",",",p
exaspéré,exaspéré,31
",",",",p
repoussa,repousser,19
le,le,71
suisse,suisse,21
si,si,60
rudement,rudement,60
",",",",p
qu',que,83
il,il,51
pénétra,pénétrer,19
sous,sous,81
le,le,71
porche,porche,21
/.,/.,P
quelques,quelque,75
valets,valet,21
qui,qui,52
n',ne,60
étaient,être,18
pas,pas,60
couchés,coucher,12
encore,encore,60
accoururent,accourir,19
au,à,81
au,le,71
bruit,bruit,21
de,de,81
l',le,71
altercation,altercation,22
/.,/.,P
“,“,p
je,je,51
te,tu,51
chasse,chasser,17
",",",",p
bête,bête,22
brute,brut,30
",",",",p
brigand,brigand,21
",",",",p
scélérat,scélérat,21
!,!,p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
même,même,60
que,que,83
tu,tu,51
passes,passer,17
la,le,71
nuit,nuit,22
à,à,81
l',le,71
hôtel,hôtel,21
;,;,p
sauve,sauver,17
toi,toi,51
",",",",p
ou,ou,82
je,je,51
te,tu,51
tue,tuer,17
comme,comme,83
un,un,71
chien,chien,21
enragé,enragé,31
/.,/.,P
ne,ne,60
me,je,51
fais,faire,17
pas,pas,60
verser,verser,14
l',le,71
ignoble,ignoble,30
sang,sang,21
d',de,81
un,un,71
laquais,laquais,21
/.,/.,P
“,“,p
et,et,82
le,le,71
comte,comte,21
",",",",p
dépossédé,dépossédé,31
de,de,81
son,son,73
corps,corps,21
",",",",p
s',se,51
élançait,élancer,18
les,le,71
yeux,oeil,21
injectés,injecté,31
de,de,81
rouge,rouge,21
",",",",p
l',le,71
écume,écume,22
aux,à,81
aux,le,71
lèvres,lèvre,22
",",",",p
les,le,52
poins,poindre,17
crispés,crispé,31
",",",",p
vers,vers,81
l',le,71
énorme,énorme,30
suisse,suisse,21
",",",",p
qui,qui,52
",",",",p
rassemblant,rassembler,13
les,le,71
deux,deux,72
mains,main,22
de,de,81
son,son,73
agresseurs,agresseur,21
dans,dans,81
une,un,52
des,de,81
des,le,71
siennes,sien,52
",",",",p
les,le,52
y,y,52
maintint,maintenir,19
presque,presque,60
écrasées,écrasé,31
par,par,81
l',le,71
étau,étau,21
de,de,81
ses,son,73
gros,gros,30
doigts,doigt,21
courts,court,30
",",",",p
charnus,charnu,30
et,et,82
noueux,noueux,30
comme,comme,83
ceux,celui,52
d',de,81
un,un,71
tortionnaire,tortionnaire,21
du,de,81
du,le,71
moyen âge,moyen âge,21
/.,/.,P
“,“,p
voyons,voir,17
",",",",p
du,de,81
du,le,71
calme,calme,21
",",",",p
disait,dire,18
le,le,71
géant,géant,21
",",",",p
assez,assez,60
bonasse,bonasse,30
au,à,81
au,le,71
fond,fond,21
",",",",p
qui,qui,52
ne,ne,60
redoutait,redouter,18
plus,plus,60
rien,rien,52
de,de,81
son,son,73
adversaire,adversaire,21
et,et,82
lui,lui,51
imprimait,imprimer,18
quelques,quelque,75
saccades,saccade,22
pour,pour,81
le,le,52
tenir,tenir,14
en,en,81
respect,respect,21
/.,/.,P
-,-,p
y,y,52
a,avoir,17
t,t,94
il,il,51
du,de,81
du,le,71
bon,bon,30
sens,sens,21
de,de,81
se,se,51
mettre,mettre,14
dans,dans,81
des,de,81
des,le,71
états,état,21
pareils,pareil,30
quand,quand,83
on,on,51
est,être,17
vêtu,vêtir,12
en,en,81
homme,homme,21
du,de,81
du,le,71
monde,monde,21
",",",",p
et,et,82
de,de,81
venir,venir,14
ensuite,ensuite,60
comme,comme,83
un,un,71
perturbateur,perturbateur,21
faire,faire,14
des,de,81
des,le,71
tapages,tapage,21
nocturnes,nocturne,30
dans,dans,81
les,le,71
maisons,maison,22
respectables,respectable,30
/?,/?,P
on,on,51
doit,devoir,17
des,de,81
des,le,71
égards,égard,21
au,à,81
au,le,71
vin,vin,21
",",",",p
et,et,82
il,il,51
doit,devoir,17
être,être,14
fameux,fameux,30
celui,celui,52
qui,qui,52
vous,vous,51
a,avoir,17
si,si,60
bien,bien,60
grisé,griser,12
!,!,p
c',ce,52
est,être,17
pourquoi,pourquoi,60
je,je,51
ne,ne,60
vous,vous,51
assomme,assommer,17
pas,pas,60
",",",",p
et,et,82
je,je,51
me,je,51
contenterai,contenter,15
de,de,81
vous,vous,51
poser,poser,14
délicatement,délicatement,60
dans,dans,81
la,le,71
rue,rue,22
",",",",p
où,où,60
la,le,71
patrouille,patrouille,22
vous,vous,51
ramassera,ramasser,15
si,si,83
vous,vous,51
continuez,continuer,17
vos,votre,73
esclandres,esclandre,22
;,;,p
-,-,p
un,un,71
petit,petit,30
air,air,21
de,de,81
violon,violon,21
vous,vous,51
rafraîchira,rafraîchir,15
les,le,71
idées,idée,22
/.,/.,P
-,-,p
infâmes,infâme,30
",",",",p
s',se,51
écria,écrier,19
Olaf,Olaf,20
de,de,81
Saville,Saville,20
en,en,81
interpellant,interpeller,13
les,le,71
laquais,laquais,21
",",",",p
vous,vous,51
laissez,laisser,17
insulter,insulter,14
par,par,81
cette,ce,74
abjecte,abject,30
canaille,canaille,22
votre,votre,73
maître,maître,21
",",",",p
le,le,71
noble,noble,30
comte,comte,21
Labinski,Labinski,20
/!,/!,P
à,à,81
ce,ce,74
nom,nom,21
",",",",p
la,le,71
valetaille,valetaille,22
poussa,pousser,19
d',de,81
un,un,71
commun,commun,30
accord,accord,21
une,un,71
immense,immense,30
huée,huée,22
;,;,p
un,un,71
éclat,éclat,21
de,de,81
rire,rire,21
énorme,énorme,30
",",",",p
homérique,homérique,30
",",",",p
convulsif,convulsif,30
",",",",p
souleva,soulever,19
toutes,tout,75
ces,ce,74
poitrines,poitrine,22
chamarrées,chamarré,31
de,de,81
galons,galon,21
:,:,p
“,“,p
ce,ce,74
petit,petit,30
monsieur,monsieur,21
qui,qui,52
se,se,51
croit,croire,17
le,le,71
comte,comte,21
Labinski,Labinski,20
!,!,p
ha,ah,93
!,!,p
ha,ah,93
!,!,p
hi,hi,93
!,!,p
hi,hi,93
!,!,p
l',le,71
idée,idée,22
est,être,17
bonne,bon,30
/!,/!,P
une,un,71
sueur,sueur,22
glacée,glacé,31
mouilla,mouiller,19
les,le,71
tempes,tempe,22
d',de,81
Olaf,Olaf,20
de,de,81
Saville,Saville,20
/.,/.,P
une,un,71
pensée,pensée,22
aiguë,aigu,30
lui,lui,51
traversa,traverser,19
la,le,71
cervelle,cervelle,22
comme,comme,83
une,un,71
lame,lame,22
d',de,81
acier,acier,21
",",",",p
et,et,82
il,il,51
sentit,sentir,19
se,se,51
figer,figer,14
la,le,71
moelle,moelle,22
de,de,81
ses,son,73
os,os,21
/.,/.,P
Smarra,Smarra,20
lui,lui,51
avait,avoir,18
il,il,51
mis,mettre,12
son,son,73
genou,genou,21
sur,sur,81
la,le,71
poitrine,poitrine,22
ou,ou,82
vivait,vivre,18
il,il,51
de,de,81
la,le,71
vie,vie,22
réelle,réel,30
/?,/?,P
sa,son,73
raison,raison,22
avait,avoir,18
elle,il,51
sombré,sombrer,12
dans,dans,81
l',le,71
océan,océan,21
sans,sans,81
fond,fond,21
du,de,81
du,le,71
magnétisme,magnétisme,21
",",",",p
ou,ou,82
était,être,18
il,il,51
le,le,71
jouet,jouet,21
de,de,81
quelque,quelque,75
machination,machination,22
diabolique,diabolique,30
/?,/?,P
aucun,aucun,52
de,de,81
ses,son,73
laquais,laquais,21
si,si,60
tremblants,tremblant,30
",",",",p
si,si,60
soumis,soumis,31
",",",",p
si,si,60
prosternés,prosterné,31
devant,devant,81
lui,lui,51
",",",",p
ne,ne,60
le,le,52
reconnaissait,reconnaître,18
/.,/.,P
lui,lui,51
avait,avoir,18
on,on,51
changé,changer,12
son,son,73
corps,corps,21
comme,comme,83
son,son,73
vêtement,vêtement,21
et,et,82
sa,son,73
voiture,voiture,22
/?,/?,P
pour,pour,81
que,que,83
vous,vous,51
soyez,être,17
bien,bien,60
sûr,sûr,30
de,de,81
n',ne,60
être,être,14
pas,pas,60
le,le,71
comte,comte,21
Labinski,Labinski,20
",",",",p
dit,dire,19
un,un,52
des,de,81
des,le,71
plus,plus,60
insolents,insolent,30
de,de,81
la,le,71
bande,bande,22
",",",",p
regardez,regarder,17
là-bas,là-bas,60
",",",",p
le,le,52
voilà,voilà,81
lui-même,lui-même,51
qui,qui,52
descend,descendre,17
le,le,71
perron,perron,21
",",",",p
attiré,attiré,31
par,par,81
le,le,71
bruit,bruit,21
de,de,81
votre,votre,73
algarade,algarade,22
/.,/.,P
“,“,p
le,le,71
captif,captif,21
du,de,81
du,le,71
suisse,suisse,21
tourna,tourner,19
les,le,71
yeux,oeil,21
vers,vers,81
le,le,71
fond,fond,21
de,de,81
la,le,71
cour,cour,22
",",",",p
et,et,82
vit,voir,19
debout,debout,60
sous,sous,81
l',le,71
auvent,auvent,21
de,de,81
la,le,71
marquise,marquise,22
un,un,71
jeune,jeune,30
homme,homme,21
de,de,81
taille,taille,22
élégante,élégant,30
et,et,82
svelte,svelte,30
",",",",p
à,à,81
figure,figure,22
ovale,ovale,30
",",",",p
aux,à,81
aux,le,71
yeux,oeil,21
noirs,noir,30
",",",",p
au,à,81
au,le,71
nez,nez,21
aquilin,aquilin,30
",",",",p
à,à,81
la,le,71
moustache,moustache,22
fine,fin,30
",",",",p
qui,qui,52
n',ne,60
était,être,18
autre,autre,30
que,que,83
lui-même,lui-même,51
",",",",p
ou,ou,82
son,son,73
spectre,spectre,21
modelé,modelé,31
par,par,81
le,le,71
diable,diable,21
",",",",p
avec,avec,81
une,un,71
ressemblance,ressemblance,22
à,à,81
faire,faire,14
illusion,illusion,22
/.,/.,P
le,le,71
suisse,suisse,21
lâcha,lâcher,19
les,le,71
mains,main,22
qu',que,52
il,il,51
tenait,tenir,18
prisonnières,prisonnière,22
/.,/.,P
les,le,71
valets,valet,21
se,se,51
rangèrent,ranger,19
respectueusement,respectueusement,60
contre,contre,81
la,le,71
muraille,muraille,22
",",",",p
le,le,71
regard,regard,21
baissé,baissé,31
",",",",p
les,le,71
mains,main,22
pendantes,pendant,30
",",",",p
dans,dans,81
une,un,71
immobilité,immobilité,22
absolue,absolu,30
",",",",p
comme,comme,83
les,le,71
icoglans,icoglan,92
à,à,81
l',le,71
approche,approche,22
du,de,81
du,le,71
padischah,padischah,92
",",",",p
ils,ils,51
rendaient,rendre,18
à,à,81
ce,ce,74
fantôme,fantôme,21
les,le,71
honneurs,honneur,21
qu',que,52
ils,ils,51
refusaient,refuser,18
au,à,81
au,le,71
comte,comte,21
véritable,véritable,30
/.,/.,P
l',le,71
époux,époux,21
de,de,81
Prascovie,Prascovie,20
",",",",p
quoique,quoique,83
intrépide,intrépide,30
comme,comme,83
un,un,71
Slave,Slave,20
",",",",p
c',ce,52
est,être,17
tout,tout,52
dire,dire,14
",",",",p
ressentit,ressentir,19
un,un,71
effroi,effroi,21
indicible,indicible,30
à,à,81
l',le,71
approche,approche,22
de,de,81
ce,ce,74
Ménechme,Ménechme,20
",",",",p
qui,qui,52
",",",",p
plus,plus,60
terrible,terrible,30
que,que,83
celui,celui,52
du,de,81
du,le,71
théâtre,théâtre,21
",",",",p
se,se,51
mêlait,mêler,18
à,à,81
la,le,71
vie,vie,22
positive,positif,30
et,et,82
rendait,rendre,18
son,son,73
jumeau,jumeau,21
méconnaissable,méconnaissable,30
/.,/.,P
une,un,71
ancienne,ancien,30
légende,légende,22
de,de,81
famille,famille,22
lui,lui,51
revint,revenir,19
en,en,81
mémoire,mémoire,22
et,et,82
augmenta,augmenter,19
encore,encore,60
sa,son,73
terreur,terreur,22
/.,/.,P
chaque,chaque,75
fois,fois,22
qu',que,83
un,un,71
Labinski,Labinski,20
devait,devoir,18
mourir,mourir,14
",",",",p
il,il,51
en,en,52
était,être,18
averti,avertir,12
par,par,81
l',le,71
apparition,apparition,22
d',de,81
un,un,71
fantôme,fantôme,21
absolument,absolument,60
pareil,pareil,30
à,à,81
lui,lui,51
/.,/.,P
parmi,parmi,81
les,le,71
nations,nation,22
du,de,81
du,le,71
nord,nord,21
",",",",p
voir,voir,14
son,son,73
double,double,30
",",",",p
même,même,60
en,en,81
rêve,rêve,21
",",",",p
a,avoir,17
toujours,toujours,60
passé,passer,12
pour,pour,81
un,un,71
présage,présage,21
fatal,fatal,30
",",",",p
et,et,82
l',le,71
intrépide,intrépide,30
guerrier,guerrier,30
du,de,81
du,le,71
Caucase,Caucase,20
",",",",p
à,à,81
l',le,71
aspect,aspect,21
de,de,81
cette,ce,74
vision,vision,22
extérieure,extérieur,30
de,de,81
son,son,73
moi,moi,51
",",",",p
fut,être,19
saisi,saisir,12
d',de,81
une,un,71
insurmontable,insurmontable,30
horreur,horreur,22
superstitieuse,superstitieux,30
;,;,p
lui,lui,51
qui,qui,52
eût,avoir,19
plongé,plonger,12
son,son,73
bras,bras,21
dans,dans,81
la,le,71
gueule,gueule,22
des,de,81
des,le,71
canons,canon,21
prêts,prêt,30
à,à,81
tirer,tirer,14
;,;,p
il,il,51
recula,reculer,19
devant,devant,81
lui-même,lui-même,51
/.,/.,P
Octave,Octave,20
Labinski,Labinski,20
s',se,51
avança,avancer,19
vers,vers,81
son,son,73
ancienne,ancien,30
forme,forme,22
",",",",p
où,où,60
se,se,51
débattait,débattre,18
",",",",p
s',se,51
indignait,indigner,18
et,et,82
frissonnait,frissonner,18
l',le,71
âme,âme,22
du,de,81
du,le,71
comte,comte,21
",",",",p
et,et,82
lui,lui,51
dit,dire,19
d',de,81
un,un,71
ton,ton,21
de,de,81
politesse,politesse,22
hautaine,hautain,30
et,et,82
glaciale,glacial,30
:,:,p
“,“,p
monsieur,monsieur,21
",",",",p
cessez,cesser,17
de,de,81
vous,vous,51
compromettre,compromettre,14
avec,avec,81
ces,ce,74
valets,valet,21
.,.,p
monsieur,monsieur,21
le,le,71
comte,comte,21
Labinski,Labinski,20
",",",",p
si,si,83
vous,vous,51
voulez,vouloir,17
lui,lui,51
parler,parler,14
",",",",p
est,être,17
visible,visible,30
de,de,81
midi,midi,21
à,à,81
deux,deux,72
heures,heure,22
/.,/.,P
madame,madame,22
la,le,71
comtesse,comtesse,22
reçoit,recevoir,17
le,le,71
jeudi,jeudi,21
les,le,71
personnes,personne,22
qui,qui,52
ont,avoir,17
eu,avoir,12
l',le,71
honneur,honneur,21
de,de,81
lui,lui,51
être,être,14
présentées,présenter,12
/.,/.,P
“,“,p
cette,ce,74
phrase,phrase,22
débitée,débité,31
lentement,lentement,60
et,et,82
en,en,81
donnant,donner,13
de,de,81
la,le,71
valeur,valeur,22
à,à,81
chaque,chaque,75
syllabe,syllabe,22
",",",",p
le,le,71
faux,faux,30
comte,comte,21
se,se,51
retira,retirer,19
d',de,81
un,un,71
pas,pas,21
tranquille,tranquille,30
",",",",p
et,et,82
les,le,71
portes,porte,22
se,se,51
refermèrent,refermer,19
sur,sur,81
lui,lui,51
/.,/.,P
on,on,51
porta,porter,19
dans,dans,81
la,le,71
voiture,voiture,22
Olaf,Olaf,20
de,de,81
Saville,Saville,20
évanoui,évanoui,31
/.,/.,P
lorsqu',lorsque,83
il,il,51
reprit,reprendre,19
ses,son,73
sens,sens,21
",",",",p
il,il,51
était,être,18
couché,coucher,12
sur,sur,81
un,un,71
lit,lit,21
qui,qui,52
n',ne,60
avait,avoir,18
pas,pas,60
la,le,71
forme,forme,22
du,de,81
du,le,71
sien,sien,52
",",",",p
dans,dans,81
une,un,71
chambre,chambre,22
où,où,60
il,il,51
ne,ne,60
se,se,51
rappelait,rappeler,18
pas,pas,60
être,être,14
jamais,jamais,60
entré,entrer,12
;,;,p
près,près,81
de,de,81
lui,lui,51
se,se,51
tenait,tenir,18
un,un,71
domestique,domestique,21
étranger,étranger,30
qui,qui,52
lui,lui,51
soulevait,soulever,18
la,le,71
tête,tête,22
et,et,82
lui,lui,51
faisait,faire,18
respirer,respirer,14
un,un,71
flacon,flacon,21
d',de,81
éther,éther,21
/.,/.,P
“,“,p
monsieur,monsieur,21
se,se,51
sent,sentir,17
il,il,51
mieux,mieux,60
?,?,p
demanda,demander,19
Jean,Jean,20
au,à,81
au,le,71
comte,comte,21
",",",",p
qu',que,83
il,il,51
prenait,prendre,18
pour,pour,81
son,son,73
maître,maître,21
/.,/.,P
-,-,p
oui,oui,60
",",",",p
répondit,répondre,19
Olaf,Olaf,20
de,de,81
Saville,Saville,20
;,;,p
ce,ce,52
n',ne,60
était,être,18
qu',que,83
une,un,71
faiblesse,faiblesse,22
passagère,passager,30
/.,/.,P
-,-,p
puis,puis,60
je,je,51
me,je,51
retirer,retirer,14
ou,ou,82
faut,falloir,17
il,il,51
que,que,83
je,je,51
veille,veiller,17
monsieur,monsieur,21
/?,/?,P
non,non,60
",",",",p
laissez,laisser,17
moi,moi,51
seul,seul,30
;,;,p
mais,mais,82
",",",",p
avant,avant,81
de,de,81
vous,vous,51
retirer,retirer,14
",",",",p
allumez,allumer,17
les,le,71
torchères,torchère,22
près,près,81
de,de,81
la,le,71
glace,glace,22
/.,/.,P
-,-,p
monsieur,monsieur,21
n',ne,60
a,avoir,17
pas,pas,60
peur,peur,22
que,que,83
cette,ce,74
vive,vif,30
clarté,clarté,22
ne,ne,60
l',le,52
empêche,empêcher,17
de,de,81
dormir,dormir,14
/?,/?,P
nullement,nullement,60
;,;,p
d',de,81
ailleurs,ailleurs,60
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
sommeil,sommeil,21
encore,encore,60
/.,/.,P
-,-,p
je,je,51
ne,ne,60
me,je,51
coucherai,coucher,15
pas,pas,60
",",",",p
et,et,82
si,si,83
monsieur,monsieur,21
a,avoir,17
besoin,besoin,21
de,de,81
quelque,quelque,75
chose,chose,22
",",",",p
j',je,51
accourrai,accourir,15
au,à,81
au,le,71
premier,premier,72
coup,coup,21
de,de,81
sonnette,sonnette,22
“,“,p
",",",",p
