11813
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixantième extrait>,<>,<>
couchait,coucher,18
avec,avec,81
Nana,Nana,20
n',ne,60
avait,avoir,18
rien,rien,52
de,de,81
gai,gai,30
/.,/.,P
entre,entre,81
le,le,71
lit,lit,21
de,de,81
la,le,71
petite,petite,22
et,et,82
le,le,71
sien,sien,52
",",",",p
se,se,51
trouvait,trouver,18
juste,juste,60
la,le,71
place,place,22
de,de,81
deux,deux,72
chaises,chaise,22
/.,/.,P
le,le,71
papier,papier,21
des,de,81
des,le,71
murs,mur,21
",",",",p
un,un,71
vieux,vieux,30
papier,papier,21
gris,gris,30
déteint,déteint,31
",",",",p
pendait,pendre,18
en,en,81
lambeaux,lambeau,21
/.,/.,P
la,le,71
lucarne,lucarne,22
ronde,rond,30
",",",",p
près,près,81
du,de,81
du,le,71
plafond,plafond,21
",",",",p
laissait,laisser,18
tomber,tomber,14
un,un,71
jour,jour,21
louche,louche,30
et,et,82
pâle,pâle,30
de,de,81
cave,cave,22
/.,/.,P
on,on,51
se,se,51
faisait,faire,18
joliment,joliment,60
vieux,vieux,30
là dedans,là-dedans,60
",",",",p
surtout,surtout,60
une,un,71
personne,personne,22
qui,qui,52
ne,ne,60
pouvait,pouvoir,18
pas,pas,60
respirer,respirer,14
/.,/.,P
la,le,71
nuit,nuit,22
encore,encore,60
",",",",p
lorsque,lorsque,83
l',le,71
insomnie,insomnie,22
la,le,52
prenait,prendre,18
",",",",p
elle,il,51
écoutait,écouter,18
dormir,dormir,14
la,le,71
petite,petite,22
",",",",p
et,et,82
c',ce,52
était,être,18
une,un,71
distraction,distraction,22
/.,/.,P
mais,mais,82
",",",",p
dans,dans,81
le,le,71
jour,jour,21
",",",",p
comme,comme,83
on,on,51
ne,ne,60
lui,lui,51
tenait,tenir,18
pas,pas,60
compagnie,compagnie,22
du,de,81
du,le,71
matin,matin,21
au,à,81
au,le,71
soir,soir,21
",",",",p
elle,il,51
grognait,grogner,18
",",",",p
elle,il,51
pleurait,pleurer,18
",",",",p
elle,il,51
répétait,répéter,18
toute,tout,60
seule,seul,30
pendant,pendant,81
des,de,81
des,le,71
heures,heure,22
",",",",p
en,en,81
roulant,rouler,13
sa,son,73
tête,tête,22
sur,sur,81
l',le,71
oreiller,oreiller,21
:,:,p
-,-,p
mon,mon,73
dieu,dieu,21
!,!,p
que,que,52
je,je,51
suis,être,17
malheureuse,malheureux,30
!,!,p
mon,mon,73
dieu,dieu,21
que,que,52
je,je,51
suis,être,17
malheureuse,malheureux,30
!,!,p
en,en,81
prison,prison,22
",",",",p
oui,oui,60
",",",",p
c',ce,52
est,être,17
en,en,81
prison,prison,22
qu',que,83
ils,ils,51
me,je,51
feront,faire,15
mourir,mourir,14
/!,/!,P
et,et,82
dès,dès,81
qu',que,83
une,un,71
visite,visite,22
lui,lui,51
arrivait,arriver,18
",",",",p
Virginie,Virginie,20
ou,ou,82
madame,madame,22
Boche,Boche,20
",",",",p
pour,pour,81
lui,lui,51
demander,demander,14
comment,comment,60
allait,aller,18
la,le,71
santé,santé,22
",",",",p
elle,il,51
ne,ne,60
répondait,répondre,18
pas,pas,60
",",",",p
elle,il,51
entamait,entamer,18
tout,tout,60
de,de,81
suite,suite,22
le,le,71
chapitre,chapitre,21
de,de,81
ses,son,73
plaintes,plainte,22
/.,/.,P
-,-,p
ah,ah,93
!,!,p
il,il,51
est,être,17
cher,cher,30
",",",",p
le,le,71
pain,pain,21
que,que,52
je,je,51
mange,manger,17
ici,ici,60
/!,/!,P
non,non,60
",",",",p
je,je,51
ne,ne,60
souffrirais,souffrir,16
pas,pas,60
autant,autant,60
chez,chez,81
des,de,81
des,le,71
étrangers,étranger,21
!,!,p
tenez,tenir,17
",",",",p
j',je,51
ai,avoir,17
voulu,vouloir,12
une,un,71
tasse,tasse,22
de,de,81
tisane,tisane,22
",",",",p
eh,eh,93
bien,bien,60
!,!,p
on,on,51
m',je,51
en,en,52
a,avoir,17
apporté,apporter,12
plein,plein,30
un,un,71
pot,pot,21
à,à,81
eau,eau,22
",",",",p
une,un,71
manière,manière,22
de,de,81
me,je,51
reprocher,reprocher,14
d',de,81
en,en,52
trop,trop,60
boire,boire,14
/…,/…,P
c',ce,52
est,être,17
comme,comme,83
Nana,Nana,20
",",",",p
cette,ce,74
enfant,enfant,21
que,que,52
j',je,51
ai,avoir,17
élevée,élever,12
",",",",p
elle,il,51
se,se,51
sauve,sauver,17
nu-pieds,nu-pieds,30
",",",",p
le,le,71
matin,matin,21
",",",",p
et,et,82
je,je,51
ne,ne,60
la,le,52
revois,revoir,17
plus,plus,60
/.,/.,P
on,on,51
croirait,croire,16
que,que,83
je,je,51
sens,sentir,17
mauvais,mauvais,30
/.,/.,P
pourtant,pourtant,60
",",",",p
la,le,71
nuit,nuit,22
",",",",p
elle,il,51
dort,dormir,17
joliment,joliment,60
",",",",p
elle,il,51
ne,ne,60
se,se,51
réveillerait,réveiller,16
pas,pas,60
une,un,71
seule,seul,30
fois,fois,22
pour,pour,81
me,je,51
demander,demander,14
si,si,83
je,je,51
souffre,souffrir,17
/…,/…,P
enfin,enfin,60
",",",",p
je,je,51
les,le,52
embarrasse,embarrasser,17
",",",",p
ils,ils,51
attendent,attendre,17
que,que,83
je,je,51
crève,crever,17
/.,/.,P
oh,oh,93
!,!,p
ce,ce,52
sera,être,15
bientôt,bientôt,60
fait,faire,12
/.,/.,P
je,je,51
n',ne,60
ai,avoir,17
plus,plus,60
de,de,81
fils,fils,21
",",",",p
cette,ce,74
coquine,coquine,22
de,de,81
blanchisseuse,blanchisseuse,22
me,je,51
l',le,52
a,avoir,17
pris,prendre,12
/.,/.,P
elle,il,51
me,je,51
battrait,battre,16
",",",",p
elle,il,51
m',je,51
achèverait,achever,16
",",",",p
si,si,83
elle,il,51
n',ne,60
avait,avoir,18
pas,pas,60
peur,peur,22
de,de,81
la,le,71
justice,justice,22
/.,/.,P
Gervaise,Gervaise,20
",",",",p
en,en,81
effet,effet,21
",",",",p
se,se,51
montrait,montrer,18
un,un,71
peu,peu,60
rude,rude,30
par,par,81
moments,moment,21
/.,/.,P
la,le,71
baraque,baraque,22
tournait,tourner,18
mal,mal,60
",",",",p
tout,tout,75
le,le,71
monde,monde,21
s',se,51
y,y,52
aigrissait,aigrir,18
et,et,82
s',se,51
envoyait,envoyer,18
promener,promener,14
au,à,81
au,le,71
premier,premier,72
mot,mot,21
/.,/.,P
Coupeau,Coupeau,20
",",",",p
un,un,71
matin,matin,21
qu',que,52
il,il,51
avait,avoir,18
les,le,71
cheveux,cheveu,21
malades,malade,30
",",",",p
s',se,51
était,être,18
écrié,écrier,12
:,:,p
“,“,p
la,le,71
vieille,vieille,22
dit,dire,17
toujours,toujours,60
qu',que,83
elle,il,51
va,aller,17
mourir,mourir,14
",",",",p
et,et,82
elle,il,51
ne,ne,60
meurt,mourir,17
jamais,jamais,60
!,!,p
parole,parole,22
qui,qui,52
avait,avoir,18
frappé,frapper,12
maman,maman,22
Coupeau,Coupeau,20
au,à,81
au,le,71
coeur,coeur,21
/.,/.,P
on,on,51
lui,lui,51
reprochait,reprocher,18
ce,ce,52
qu',que,52
elle,il,51
coûtait,coûter,18
",",",",p
on,on,51
disait,dire,18
tranquillement,tranquillement,60
que,que,83
",",",",p
si,si,83
elle,il,51
n',ne,60
était,être,18
plus,plus,60
là,là,60
",",",",p
il,il,51
y,y,52
aurait,avoir,16
une,un,71
grosse,gros,30
économie,économie,22
/.,/.,P
à,à,81
la,le,71
vérité,vérité,22
",",",",p
elle,il,51
ne,ne,60
se,se,51
conduisait,conduire,18
pas,pas,60
non,non,60
plus,plus,60
comme,comme,83
elle,il,51
aurait,avoir,16
dû,devoir,12
/.,/.,P
ainsi,ainsi,60
",",",",p
quand,quand,83
elle,il,51
voyait,voir,18
sa,son,73
fille,fille,22
aînée,aîné,30
",",",",p
madame,madame,22
Lerat,Lerat,20
",",",",p
elle,il,51
pleurait,pleurer,18
misère,misère,22
",",",",p
accusait,accuser,18
son,son,73
fils,fils,21
et,et,82
sa,son,73
belle-fille,belle-fille,22
de,de,81
la,le,52
laisser,laisser,14
mourir,mourir,14
de,de,81
faim,faim,22
",",",",p
tout,tout,75
ça,ça,52
pour,pour,81
lui,lui,51
tirer,tirer,14
une,un,71
pièce,pièce,22
de,de,81
vingt,vingt,72
sous,sou,21
",",",",p
qu',que,52
elle,il,51
dépensait,dépenser,18
en,en,81
gourmandises,gourmandise,22
/.,/.,P
elle,il,51
faisait,faire,18
aussi,aussi,60
des,de,81
des,le,71
cancans,cancan,21
abominables,abominable,30
avec,avec,81
les,le,71
Lorilleux,Lorilleux,20
",",",",p
en,en,81
leur,leur,52
racontant,raconter,13
à,à,81
quoi,quoi,52
passaient,passer,18
leurs,leur,73
dix,dix,72
francs,franc,21
",",",",p
aux,à,81
aux,le,71
fantaisies,fantaisie,22
de,de,81
la,le,71
blanchisseuse,blanchisseuse,22
",",",",p
des,de,81
des,le,71
bonnets,bonnet,21
neufs,neuf,30
",",",",p
des,de,81
des,le,71
gâteaux,gâteau,21
mangés,mangé,31
dans,dans,81
les,le,71
coins,coin,21
",",",",p
des,de,81
des,le,71
choses,chose,22
plus,plus,60
sales,sale,30
même,même,60
qu',que,83
on,on,51
n',ne,60
osait,oser,18
pas,pas,60
dire,dire,14
/.,/.,P
à,à,81
deux,deux,72
ou,ou,82
trois,trois,72
reprises,reprise,22
",",",",p
elle,il,51
faillit,faillir,19
faire,faire,14
battre,battre,14
toute,tout,75
la,le,71
famille,famille,22
/.,/.,P
tantôt,tantôt,60
elle,il,51
était,être,18
avec,avec,81
les,le,71
uns,un,52
",",",",p
tantôt,tantôt,60
elle,il,51
était,être,18
avec,avec,81
les,le,71
autres,autre,52
;,;,p
enfin,enfin,60
",",",",p
ça,ça,52
devenait,devenir,18
un,un,71
vrai,vrai,30
gâchis,gâchis,21
/.,/.,P
au,à,81
au,le,71
plus,plus,60
fort,fort,30
de,de,81
sa,son,73
crise,crise,22
",",",",p
cet,ce,74
hiver,hiver,21
là,là,60
",",",",p
une,un,71
après-midi,après-midi,21
que,que,52
madame,madame,22
Lorilleux,Lorilleux,20
et,et,82
madame,madame,22
Lerat,Lerat,20
s',se,51
étaient,être,18
rencontrées,rencontrer,12
devant,devant,81
son,son,73
lit,lit,21
",",",",p
maman,maman,22
Coupeau,Coupeau,20
cligna,cligner,19
les,le,71
yeux,oeil,21
",",",",p
pour,pour,81
leur,leur,52
dire,dire,14
de,de,81
se,se,51
pencher,pencher,14
/.,/.,P
elle,il,51
pouvait,pouvoir,18
à,à,81
peine,peine,22
parler,parler,14
/.,/.,P
elle,il,51
souffla,souffler,19
",",",",p
à,à,81
voix,voix,22
basse,bas,30
:,:,p
-,-,p
c',ce,52
est,être,17
du,de,81
du,le,71
propre,propre,21
!,!,p
je,je,51
les,le,52
ai,avoir,17
entendus,entendre,12
cette,ce,74
nuit,nuit,22
/.,/.,P
oui,oui,60
",",",",p
oui,oui,60
",",",",p
la,le,71
Banban,Banban,20
et,et,82
le,le,71
chapelier,chapelier,21
/…,/…,P
et,et,82
ils,ils,51
menaient,mener,18
un,un,71
train,train,21
/!,/!,P
Coupeau,Coupeau,20
est,être,17
joli,joli,30
/.,/.,P
c',ce,52
est,être,17
du,de,81
du,le,71
propre,propre,21
/!,/!,P
elle,il,51
raconta,raconter,19
",",",",p
par,par,81
phrases,phrase,22
courtes,court,30
",",",",p
toussant,tousser,13
et,et,82
étouffant,étouffer,13
",",",",p
que,que,83
son,son,73
fils,fils,21
avait,avoir,18
dû,devoir,12
rentrer,rentrer,14
ivre,ivre,30
mort,mort,31
",",",",p
la,le,71
veille,veille,22
/.,/.,P
alors,alors,60
",",",",p
comme,comme,83
elle,il,51
ne,ne,60
dormait,dormir,18
pas,pas,60
",",",",p
elle,il,51
s',se,51
était,être,18
très,très,60
bien,bien,60
rendu,rendre,12
compte,compte,21
de,de,81
tous,tout,75
les,le,71
bruits,bruit,21
",",",",p
les,le,71
pieds,pied,21
nus,nu,30
de,de,81
la,le,71
Banban,Banban,20
trottant,trotter,13
sur,sur,81
le,le,71
carreau,carreau,21
",",",",p
la,le,71
voix,voix,22
sifflante,sifflant,30
du,de,81
du,le,71
chapelier,chapelier,21
qui,qui,52
l',le,52
appelait,appeler,18
",",",",p
la,le,71
porte,porte,22
de,de,81
communication,communication,22
poussée,poussé,31
doucement,doucement,60
",",",",p
et,et,82
le,le,71
reste,reste,21
/.,/.,P
ça,ça,52
devait,devoir,18
avoir,avoir,14
duré,durer,12
jusqu',jusque,81
au,à,81
au,le,71
jour,jour,21
",",",",p
elle,il,51
ne,ne,60
savait,savoir,18
pas,pas,60
l',le,71
heure,heure,22
au,à,81
au,le,71
juste,juste,21
",",",",p
parce que,parce que,83
",",",",p
malgré,malgré,81
ses,son,73
efforts,effort,21
",",",",p
elle,il,51
avait,avoir,18
fini,finir,12
par,par,81
s',se,51
assoupir,assoupir,14
/.,/.,P
-,-,p
ce,ce,52
qu',que,52
il,il,51
y,y,52
a,avoir,17
de,de,81
plus,plus,60
dégoûtant,dégoûtant,30
",",",",p
c',ce,52
est,être,17
que,que,83
Nana,Nana,20
aurait,avoir,16
pu,pouvoir,12
entendre,entendre,14
",",",",p
continua,continuer,19
t,t,94
elle,il,51
/.,/.,P
justement,justement,60
",",",",p
elle,il,51
a,avoir,17
été,être,12
agitée,agiter,12
toute,tout,75
la,le,71
nuit,nuit,22
",",",",p
elle,il,51
qui,qui,52
d',de,81
habitude,habitude,22
dort,dormir,17
à,à,81
poings,poing,21
fermés,fermé,31
;,;,p
elle,il,51
sautait,sauter,18
",",",",p
elle,il,51
se,se,51
retournait,retourner,18
",",",",p
comme,comme,83
s',si,83
il,il,51
y,y,52
avait,avoir,18
eu,avoir,12
de,de,81
la,le,71
braise,braise,22
dans,dans,81
son,son,73
lit,lit,21
/.,/.,P
les,le,71
deux,deux,72
femmes,femme,22
ne,ne,60
parurent,paraître,19
pas,pas,60
surprises,surprise,22
/.,/.,P
-,-,p
pardi,pardi,93
!,!,p
murmura,murmurer,19
madame,madame,22
Lorilleux,Lorilleux,20
",",",",p
ça,ça,52
doit,devoir,17
avoir,avoir,14
commencé,commencer,12
le,le,71
premier,premier,72
jour,jour,21
/…,/…,P
du,de,81
du,le,71
moment,moment,21
où,où,60
ça,ça,52
plaît,plaire,17
à,à,81
Coupeau,Coupeau,20
",",",",p
nous,nous,51
n',ne,60
avons,avoir,17
pas,pas,60
à,à,81
nous,nous,51
en,en,52
mêler,mêler,14
/!,/!,P
n',ne,60
importe,importer,17
!,!,p
ce,ce,52
n',ne,60
est,être,17
guère,guère,60
honorable,honorable,30
pour,pour,81
la,le,71
famille,famille,22
/.,/.,P
-,-,p
moi,moi,51
",",",",p
si,si,83
j',je,51
étais,être,18
là,là,60
",",",",p
expliqua,expliquer,19
madame,madame,22
Lerat,Lerat,20
en,en,81
pinçant,pincer,13
les,le,71
lèvres,lèvre,22
",",",",p
je,je,51
lui,lui,51
ferais,faire,16
une,un,71
peur,peur,22
",",",",p
je,je,51
lui,lui,51
crierais,crier,16
quelque,quelque,75
chose,chose,22
",",",",p
n',ne,60
importe,importer,17
quoi,quoi,52
:,:,p
je,je,51
te,tu,51
vois,voir,17
!,!,p
ou,ou,82
bien,bien,60
:,:,p
v',vous,51
là,là,60
les,le,71
gendarmes,gendarme,21
!,!,p
la,le,71
domestique,domestique,22
d',de,81
un,un,71
médecin,médecin,21
m',je,51
a,avoir,17
dit,dire,12
que,que,83
son,son,73
maître,maître,21
lui,lui,51
avait,avoir,18
dit,dire,12
que,que,83
ça,ça,52
pouvait,pouvoir,18
tuer,tuer,14
raide,raide,30
une,un,71
femme,femme,22
",",",",p
dans,dans,81
un,un,71
certain,certain,75
moment,moment,21
/.,/.,P
et,et,82
si,si,83
elle,il,51
restait,rester,18
sur,sur,81
la,le,71
place,place,22
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
?,?,p
ce,ce,52
serait,être,16
bien,bien,60
fait,faire,12
",",",",p
elle,il,51
se,se,51
trouverait,trouver,16
punie,puni,31
par,par,81
où,où,60
elle,il,51
aurait,avoir,16
péché,pécher,12
/.,/.,P
tout,tout,75
le,le,71
quartier,quartier,21
sut,savoir,19
bientôt,bientôt,60
que,que,83
",",",",p
chaque,chaque,75
nuit,nuit,22
",",",",p
Gervaise,Gervaise,20
allait,aller,18
retrouver,retrouver,14
Lantier,Lantier,20
/.,/.,P
madame,madame,22
Lorilleux,Lorilleux,20
",",",",p
devant,devant,81
les,le,71
voisines,voisine,22
",",",",p
avait,avoir,18
une,un,71
indignation,indignation,22
bruyante,bruyant,30
;,;,p
elle,il,51
plaignait,plaindre,18
son,son,73
frère,frère,21
",",",",p
ce,ce,74
jeanjean,jeanjean,21
que,que,52
sa,son,73
femme,femme,22
peignait,peindre,18
en,en,81
jaune,jaune,30
de,de,81
la,le,71
tête,tête,22
aux,à,81
aux,le,71
pieds,pied,21
;,;,p
et,et,82
",",",",p
à,à,81
l',le,52
entendre,entendre,14
",",",",p
si,si,83
elle,il,51
entrait,entrer,18
encore,encore,60
dans,dans,81
un,un,71
pareil,pareil,30
bazar,bazar,21
",",",",p
c',ce,52
était,être,18
uniquement,uniquement,60
pour,pour,81
sa,son,73
pauvre,pauvre,30
mère,mère,22
",",",",p
qui,qui,52
se,se,51
trouvait,trouver,18
forcée,forcé,31
de,de,81
vivre,vivre,14
au,à,81
au,le,71
milieu,milieu,21
de,de,81
ces,ce,74
abominations,abomination,22
/.,/.,P
alors,alors,60
",",",",p
le,le,71
quartier,quartier,21
tomba,tomber,19
sur,sur,81
Gervaise,Gervaise,20
/.,/.,P
ça,ça,52
devait,devoir,18
être,être,14
elle,il,51
qui,qui,52
avait,avoir,18
débauché,débaucher,12
le,le,71
chapelier,chapelier,21
/.,/.,P
on,on,51
voyait,voir,18
ça,ça,52
dans,dans,81
ses,son,73
yeux,oeil,21
/.,/.,P
oui,oui,60
",",",",p
malgré,malgré,81
les,le,71
vilains,vilain,30
bruits,bruit,21
",",",",p
ce,ce,74
sacré,sacré,21
sournois,sournois,30
de,de,81
Lantier,Lantier,20
restait,rester,18
gobé,gobé,31
",",",",p
parce qu',parce que,83
il,il,51
continuait,continuer,18
ses,son,73
airs,air,21
d',de,81
homme,homme,21
comme,comme,83
il,il,51
faut,falloir,17
avec,avec,81
tout,tout,75
le,le,71
monde,monde,21
",",",",p
marchant,marcher,13
sur,sur,81
les,le,71
trottoirs,trottoir,21
en,en,81
lisant,lire,13
le,le,71
journal,journal,21
",",",",p
prévenant,prévenant,30
et,et,82
galant,galant,30
auprès,auprès,60
des,de,81
des,le,71
dames,dame,22
",",",",p
ayant,avoir,13
toujours,toujours,60
à,à,81
donner,donner,14
des,de,81
des,le,71
pastilles,pastille,22
et,et,82
des,de,81
des,le,71
fleurs,fleur,22
/.,/.,P
mon,mon,73
dieu,dieu,21
!,!,p
lui,lui,51
",",",",p
faisait,faire,18
son,son,73
métier,métier,21
de,de,81
coq,coq,21
;,;,p
un,un,71
homme,homme,21
est,être,17
un,un,71
homme,homme,21
",",",",p
on,on,51
ne,ne,60
peut,pouvoir,17
pas,pas,60
lui,lui,51
demander,demander,14
de,de,81
résister,résister,14
aux,à,81
aux,le,71
femmes,femme,22
qui,qui,52
se,se,51
jettent,jeter,17
à,à,81
son,son,73
cou,cou,21
/.,/.,P
mais,mais,82
elle,il,51
",",",",p
n',ne,60
avait,avoir,18
pas,pas,60
d',de,81
excuse,excuse,22
;,;,p
elle,il,51
déshonorait,déshonorer,18
la,le,71
rue,rue,22
de,de,81
la,le,71
Goutte-d'Or,Goutte d'Or,20
/.,/.,P
et,et,82
les,le,71
Lorilleux,Lorilleux,20
",",",",p
comme,comme,83
parrain,parrain,21
et,et,82
marraine,marraine,22
",",",",p
attiraient,attirer,18
Nana,Nana,20
chez,chez,81
eux,ils,51
pour,pour,81
avoir,avoir,14
des,de,81
des,le,71
détails,détail,21
/.,/.,P
quand,quand,83
ils,ils,51
la,le,52
questionnaient,questionner,18
d',de,81
une,un,71
façon,façon,22
détournée,détourné,31
",",",",p
la,le,71
petite,petite,22
prenait,prendre,18
son,son,73
air,air,21
bêta,bêta,30
",",",",p
répondait,répondre,18
en,en,81
éteignant,éteindre,13
la,le,71
flamme,flamme,22
de,de,81
ses,son,73
yeux,oeil,21
sous,sous,81
ses,son,73
longues,long,30
paupières,paupière,22
molles,mou,30
/.,/.,P
au,à,81
au,le,71
milieu,milieu,21
de,de,81
cette,ce,74
indignation,indignation,22
publique,public,30
",",",",p
Gervaise,Gervaise,20
vivait,vivre,18
tranquille,tranquille,30
",",",",p
lasse,las,30
et,et,82
un,un,71
peu,peu,60
endormie,endormi,31
/.,/.,P
dans,dans,81
les,le,71
commencements,commencement,21
",",",",p
elle,il,51
s',se,51
était,être,18
trouvée,trouver,12
bien,bien,60
coupable,coupable,30
",",",",p
bien,bien,60
sale,sale,30
",",",",p
et,et,82
elle,il,51
avait,avoir,18
eu,avoir,12
un,un,71
dégoût,dégoût,21
d',de,81
elle-même,lui-même,51
/.,/.,P
quand,quand,83
elle,il,51
sortait,sortir,18
de,de,81
la,le,71
chambre,chambre,22
de,de,81
Lantier,Lantier,20
",",",",p
elle,il,51
se,se,51
lavait,laver,18
les,le,71
mains,main,22
",",",",p
elle,il,51
mouillait,mouiller,18
un,un,71
torchon,torchon,21
et,et,82
se,se,51
frottait,frotter,18
les,le,71
épaules,épaule,22
à,à,81
les,le,52
écorcher,écorcher,14
",",",",p
comme,comme,83
pour,pour,81
enlever,enlever,14
son,son,73
ordure,ordure,22
/.,/.,P
si,si,83
Coupeau,Coupeau,20
cherchait,chercher,18
alors,alors,60
à,à,81
plaisanter,plaisanter,14
",",",",p
elle,il,51
se,se,51
fâchait,fâcher,18
",",",",p
courait,courir,18
en,en,81
grelottant,grelotter,13
s',se,51
habiller,habiller,14
au,à,81
au,le,71
fond,fond,21
de,de,81
la,le,71
boutique,boutique,22
;,;,p
et,et,82
elle,il,51
ne,ne,60
tolérait,tolérer,18
pas,pas,60
davantage,davantage,60
que,que,83
le,le,71
chapelier,chapelier,21
la,le,52
touchât,toucher,18
",",",",p
lorsque,lorsque,83
son,son,73
mari,mari,21
venait,venir,18
de,de,81
l',le,52
embrasser,embrasser,14
/.,/.,P
elle,il,51
aurait,avoir,16
voulu,vouloir,12
changer,changer,14
de,de,81
peau,peau,22
en,en,81
changeant,changer,13
d',de,81
homme,homme,21
/.,/.,P
mais,mais,82
",",",",p
lentement,lentement,60
",",",",p
elle,il,51
s',se,51
accoutumait,accoutumer,18
/.,/.,P
c',ce,52
était,être,18
trop,trop,60
fatigant,fatigant,30
de,de,81
se,se,51
débarbouiller,débarbouiller,14
chaque,chaque,75
fois,fois,22
/.,/.,P
ses,son,73
paresses,paresse,22
l',le,52
amollissaient,amollir,18
",",",",p
son,son,73
besoin,besoin,21
d',de,81
être,être,14
heureuse,heureux,30
lui,lui,51
faisait,faire,18
tirer,tirer,14
tout,tout,75
le,le,71
bonheur,bonheur,21
possible,possible,30
de,de,81
ses,son,73
embêtements,embêtement,21
/.,/.,P
elle,il,51
était,être,18
complaisante,complaisant,30
pour,pour,81
elle,il,51
et,et,82
pour,pour,81
les,le,71
autres,autre,52
",",",",p
tâchait,tâcher,18
uniquement,uniquement,60
d',de,81
arranger,arranger,14
les,le,71
choses,chose,22
de,de,81
façon,façon,22
à,à,81
ce,ce,52
que,que,52
personne,personne,52
n',ne,60
eût,avoir,19
trop,trop,60
d',de,81
ennui,ennui,21
/.,/.,P
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
?,?,p
pourvu,pourvu,81
que,que,83
son,son,73
mari,mari,21
et,et,82
son,son,73
amant,amant,21
fussent,être,18
contents,content,30
",",",",p
que,que,83
la,le,71
maison,maison,22
marchât,marcher,18
son,son,73
petit,petit,30
train-train,train-train,21
régulier,régulier,30
",",",",p
qu',que,83
on,on,51
rigolât,rigoler,18
du,de,81
du,le,71
matin,matin,21
au,à,81
au,le,71
soir,soir,21
",",",",p
tous,tout,52
gras,gras,30
",",",",p
tous,tout,52
satisfaits,satisfait,31
de,de,81
la,le,71
vie,vie,22
et,et,82
se,se,51
la,le,52
coulant,couler,13
douce,doux,30
",",",",p
il,il,51
n',ne,60
y,y,52
avait,avoir,18
vraiment,vraiment,60
pas,pas,60
de,de,81
quoi,quoi,52
se,se,51
plaindre,plaindre,14
/.,/.,P
puis,puis,60
",",",",p
après,après,81
tout,tout,52
",",",",p
elle,il,51
ne,ne,60
devait,devoir,18
pas,pas,60
tant,tant,60
faire,faire,14
de,de,81
mal,mal,21
",",",",p
puisque,puisque,83
ça,ça,52
s',se,51
arrangeait,arranger,18
si,si,60
bien,bien,60
",",",",p
à,à,81
la,le,71
satisfaction,satisfaction,22
d',de,81
un,un,52
chacun,chacun,52
;,;,p
on,on,51
est,être,17
puni,punir,12
d',de,81
ordinaire,ordinaire,21
",",",",p
quand,quand,83
on,on,51
fait,faire,17
le,le,71
mal,mal,21
/.,/.,P
alors,alors,60
",",",",p
son,son,73
dévergondage,dévergondage,21
avait,avoir,18
tourné,tourner,12
à,à,81
l',le,71
habitude,habitude,22
/.,/.,P
maintenant,maintenant,60
",",",",p
c',ce,52
était,être,18
réglé,régler,12
comme,comme,83
le,le,71
boire,boire,21
et,et,82
le,le,71
manger,manger,21
;,;,p
chaque,chaque,75
fois,fois,22
que,que,83
Coupeau,Coupeau,20
rentrait,rentrer,18
soûl,soûl,30
",",",",p
elle,il,51
passait,passer,18
chez,chez,81
Lantier,Lantier,20
",",",",p
ce,ce,52
qui,qui,52
