11362
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatorzième extrait>,<>,<>
de,de,81
désespoir,désespoir,21
qui,qui,52
suivit,suivre,19
cet,ce,74
exposé,exposé,21
de,de,81
la,le,71
situation,situation,22
",",",",p
chez,chez,81
une,un,71
femme,femme,22
aussi,aussi,60
peu,peu,60
raisonnable,raisonnable,30
",",",",p
aussi,aussi,60
esclave,esclave,30
de,de,81
la,le,71
sensation,sensation,22
présente,présent,30
",",",",p
et,et,82
",",",",p
sans,sans,81
se,se,51
l',le,52
avouer,avouer,14
",",",",p
éperdument,éperdument,60
amoureuse,amoureux,30
du,de,81
du,le,71
jeune,jeune,30
prisonnier,prisonnier,21
/?,/?,P
ce,ce,52
furent,être,19
des,de,81
des,le,71
cris,cri,21
inarticulés,inarticulé,30
",",",",p
des,de,81
des,le,71
transports,transport,21
de,de,81
rage,rage,22
",",",",p
des,de,81
des,le,71
mouvements,mouvement,21
convulsifs,convulsif,30
",",",",p
mais,mais,82
pas,pas,60
une,un,71
larme,larme,22
/.,/.,P
elle,il,51
renvoyait,renvoyer,18
ses,son,73
femmes,femme,22
pour,pour,81
les,le,52
cacher,cacher,14
",",",",p
elle,il,51
pensait,penser,18
qu',que,83
elle,il,51
allait,aller,18
éclater,éclater,14
en,en,81
sanglots,sanglot,21
dès,dès,81
qu',que,83
elle,il,51
se,se,51
trouverait,trouver,16
seule,seul,30
;,;,p
mais,mais,82
les,le,71
larmes,larme,22
",",",",p
ce,ce,74
premier,premier,72
soulagement,soulagement,21
des,de,81
des,le,71
grandes,grand,30
douleurs,douleur,22
",",",",p
lui,lui,51
manquèrent,manquer,19
tout,tout,60
à,à,81
fait,fait,21
/.,/.,P
la,le,71
colère,colère,22
",",",",p
l',le,71
indignation,indignation,22
",",",",p
le,le,71
sentiment,sentiment,21
d',de,81
infériorité,infériorité,22
vis-à-vis,vis-à-vis,60
du,de,81
du,le,71
prince,prince,21
",",",",p
dominaient,dominer,18
trop,trop,60
cette,ce,74
âme,âme,22
altière,altier,30
/.,/.,P
-,-,p
suis,être,17
je,je,51
assez,assez,60
humiliée,humilier,12
!,!,p
s',se,51
écriait,écrier,18
elle,il,51
à,à,81
chaque,chaque,75
instant,instant,21
;,;,p
on,on,51
m',je,51
outrage,outrager,17
",",",",p
et,et,82
",",",",p
bien,bien,60
plus,plus,60
",",",",p
on,on,51
expose,exposer,17
la,le,71
vie,vie,22
de,de,81
Fabrice,Fabrice,20
!,!,p
et,et,82
je,je,51
ne,ne,60
me,je,51
vengerai,venger,15
pas,pas,60
/!,/!,P
halte,halte,22
là,là,60
",",",",p
mon,mon,73
prince,prince,21
!,!,p
vous,vous,51
me,je,51
tuez,tuer,17
",",",",p
soit,soit,82
",",",",p
vous,vous,51
en,en,52
avez,avoir,17
le,le,71
pouvoir,pouvoir,21
;,;,p
mais,mais,82
ensuite,ensuite,60
moi,moi,51
j',je,51
aurai,avoir,15
votre,votre,73
vie,vie,22
/.,/.,P
hélas,hélas,60
!,!,p
pauvre,pauvre,30
Fabrice,Fabrice,20
",",",",p
à,à,81
quoi,quoi,52
cela,cela,52
te,tu,51
servira,servir,15
t,t,94
il,il,51
/?,/?,P
quelle,quel,75
différence,différence,22
avec,avec,81
ce,ce,74
jour,jour,21
où,où,60
je,je,51
voulus,vouloir,19
quitter,quitter,14
Parme,Parme,20
!,!,p
et,et,82
pourtant,pourtant,60
alors,alors,60
je,je,51
me,je,51
croyais,croire,18
malheureuse,malheureux,30
…,…,p
quel,quel,75
aveuglement,aveuglement,21
/!,/!,P
j',je,51
allais,aller,18
briser,briser,14
toutes,tout,75
les,le,71
habitudes,habitude,22
d',de,81
une,un,71
vie,vie,22
agréable,agréable,30
:,:,p
hélas,hélas,60
!,!,p
sans,sans,81
le,le,52
savoir,savoir,14
",",",",p
je,je,51
touchais,toucher,18
à,à,81
un,un,71
événement,événement,21
qui,qui,52
allait,aller,18
à,à,81
jamais,jamais,60
décider,décider,14
de,de,81
mon,mon,73
sort,sort,21
/.,/.,P
si,si,83
",",",",p
par,par,81
ses,son,73
infâmes,infâme,30
habitudes,habitude,22
de,de,81
plate,plat,30
courtisanerie,courtisanerie,22
",",",",p
le,le,71
comte,comte,21
n',ne,60
eût,avoir,19
supprimé,supprimer,12
le,le,71
mot,mot,21
procédure,procédure,22
injuste,injuste,30
dans,dans,81
ce,ce,74
fatal,fatal,30
billet,billet,21
que,que,52
m',je,51
accordait,accorder,18
la,le,71
vanité,vanité,22
du,de,81
du,le,71
prince,prince,21
",",",",p
nous,nous,51
étions,être,18
sauvés,sauver,12
/.,/.,P
j',je,51
avais,avoir,18
eu,avoir,12
le,le,71
bonheur,bonheur,21
plus,plus,60
que,que,83
l',le,71
adresse,adresse,22
",",",",p
il,il,51
faut,falloir,17
en,en,52
convenir,convenir,14
",",",",p
de,de,81
mettre,mettre,14
en,en,81
jeu,jeu,21
son,son,73
amour-propre,amour-propre,21
au,à,81
au,le,71
sujet,sujet,21
de,de,81
sa,son,73
chère,cher,30
ville,ville,22
de,de,81
Parme,Parme,20
/.,/.,P
alors,alors,60
je,je,51
menaçais,menacer,18
de,de,81
partir,partir,14
",",",",p
alors,alors,60
j',je,51
étais,être,18
libre,libre,30
/!,/!,P
grand,grand,30
dieu,dieu,21
!,!,p
suis,être,17
je,je,51
assez,assez,60
esclave,esclave,30
/!,/!,P
maintenant,maintenant,60
me,je,51
voici,voici,81
clouée,cloué,31
dans,dans,81
ce,ce,74
cloaque,cloaque,21
infâme,infâme,30
",",",",p
et,et,82
Fabrice,Fabrice,20
enchaîné,enchaîné,31
dans,dans,81
la,le,71
citadelle,citadelle,22
",",",",p
dans,dans,81
cette,ce,74
citadelle,citadelle,22
qui,qui,52
pour,pour,81
tant,tant,60
de,de,81
gens,gens,21
distingués,distingué,31
a,avoir,17
été,être,12
l',le,71
antichambre,antichambre,22
de,de,81
la,le,71
mort,mort,22
!,!,p
et,et,82
je,je,51
ne,ne,60
puis,pouvoir,17
plus,plus,60
tenir,tenir,14
ce,ce,74
tigre,tigre,21
en,en,81
respect,respect,21
par,par,81
la,le,71
crainte,crainte,22
de,de,81
me,je,51
voir,voir,14
quitter,quitter,14
son,son,73
repaire,repaire,21
/!,/!,P
il,il,51
a,avoir,17
trop,trop,60
d',de,81
esprit,esprit,21
pour,pour,81
ne,ne,60
pas,pas,60
sentir,sentir,14
que,que,83
je,je,51
ne,ne,60
m',je,51
éloignerai,éloigner,15
jamais,jamais,60
de,de,81
la,le,71
tour,tour,22
infâme,infâme,30
où,où,60
mon,mon,73
coeur,coeur,21
est,être,17
enchaîné,enchaîner,12
/.,/.,P
maintenant,maintenant,60
la,le,71
vanité,vanité,22
piquée,piqué,31
de,de,81
cet,ce,74
homme,homme,21
peut,pouvoir,17
lui,lui,51
suggérer,suggérer,14
les,le,71
idées,idée,22
les,le,71
plus,plus,60
singulières,singulier,30
;,;,p
leur,leur,73
cruauté,cruauté,22
bizarre,bizarre,30
ne,ne,60
ferait,faire,16
que,que,83
piquer,piquer,14
au,à,81
au,le,71
jeu,jeu,21
son,son,73
étonnante,étonnant,30
vanité,vanité,22
/.,/.,P
s',si,83
il,il,51
revient,revenir,17
à,à,81
ses,son,73
anciens,ancien,30
propos,propos,21
de,de,81
fade,fade,30
galanterie,galanterie,22
",",",",p
s',si,83
il,il,51
me,je,51
dit,dire,19
:,:,p
agréez,agréer,17
les,le,71
hommages,hommage,21
de,de,81
votre,votre,73
esclave,esclave,21
",",",",p
ou,ou,82
Fabrice,Fabrice,20
périt,périr,17
:,:,p
eh,eh,93
bien,bien,60
!,!,p
la,le,71
vieille,vieux,30
histoire,histoire,22
de,de,81
Judith,Judith,20
/…,/…,P
oui,oui,60
",",",",p
mais,mais,82
si,si,83
ce,ce,52
n',ne,60
est,être,17
qu',que,83
un,un,71
suicide,suicide,21
pour,pour,81
moi,moi,51
",",",",p
c',ce,52
est,être,17
un,un,71
assassin,assassin,21
pour,pour,81
Fabrice,Fabrice,20
;,;,p
le,le,71
benêt,benêt,21
de,de,81
successeur,successeur,21
",",",",p
notre,notre,73
prince,prince,21
royal,royal,30
",",",",p
et,et,82
l',le,71
infâme,infâme,30
bourreau,bourreau,21
Rassi,Rassi,20
font,faire,17
pendre,pendre,14
Fabrice,Fabrice,20
comme,comme,83
mon,mon,73
complice,complice,21
/.,/.,P
la,le,71
duchesse,duchesse,22
jeta,jeter,19
des,de,81
des,le,71
cris,cri,21
:,:,p
cette,ce,74
alternative,alternative,22
dont,dont,52
elle,il,51
ne,ne,60
voyait,voir,18
aucun,aucun,75
moyen,moyen,21
de,de,81
sortir,sortir,14
torturait,torturer,18
ce,ce,74
coeur,coeur,21
malheureux,malheureux,30
/.,/.,P
sa,son,73
tête,tête,22
troublée,troublé,31
ne,ne,60
voyait,voir,18
aucune,aucun,75
autre,autre,75
probabilité,probabilité,22
dans,dans,81
l',le,71
avenir,avenir,21
/.,/.,P
pendant,pendant,81
dix,dix,72
minutes,minute,22
elle,il,51
s',se,51
agita,agiter,19
comme,comme,83
une,un,71
insensée,insensé,30
;,;,p
enfin,enfin,60
un,un,71
sommeil,sommeil,21
d',de,81
accablement,accablement,21
remplaça,remplacer,19
pour,pour,81
quelques,quelque,75
instants,instant,21
cet,ce,74
état,état,21
horrible,horrible,30
",",",",p
la,le,71
vie,vie,22
était,être,18
épuisée,épuiser,12
/.,/.,P
quelques,quelque,75
minutes,minute,22
après,après,81
",",",",p
elle,il,51
se,se,51
réveilla,réveiller,19
en,en,81
sursaut,sursaut,21
",",",",p
et,et,82
se,se,51
trouva,trouver,19
assise,assis,31
sur,sur,81
son,son,73
lit,lit,21
;,;,p
il,il,51
lui,lui,51
semblait,sembler,18
qu',que,83
en,en,81
sa,son,73
présence,présence,22
le,le,71
prince,prince,21
voulait,vouloir,18
faire,faire,14
couper,couper,14
la,le,71
tête,tête,22
à,à,81
Fabrice,Fabrice,20
/.,/.,P
quels,quel,75
yeux,oeil,21
égarés,égaré,31
la,le,71
duchesse,duchesse,22
ne,ne,60
jeta,jeter,19
t,t,94
elle,il,51
pas,pas,60
autour,autour,60
d',de,81
elle,il,51
/!,/!,P
quand,quand,83
enfin,enfin,60
elle,il,51
se,se,51
fut,être,19
convaincue,convaincre,12
qu',que,83
elle,il,51
n',ne,60
avait,avoir,18
sous,sous,81
les,le,71
yeux,oeil,21
ni,ni,82
le,le,71
prince,prince,21
ni,ni,82
Fabrice,Fabrice,20
",",",",p
elle,il,51
retomba,retomber,19
sur,sur,81
son,son,73
lit,lit,21
",",",",p
et,et,82
fut,être,19
sur,sur,81
le,le,71
point,point,21
de,de,81
s',se,51
évanouir,évanouir,14
/.,/.,P
sa,son,73
faiblesse,faiblesse,22
physique,physique,30
était,être,18
telle,tel,75
qu',que,83
elle,il,51
ne,ne,60
se,se,51
sentait,sentir,18
pas,pas,60
la,le,71
force,force,22
de,de,81
changer,changer,14
de,de,81
position,position,22
/.,/.,P
grand,grand,30
dieu,dieu,21
!,!,p
si,si,83
je,je,51
pouvais,pouvoir,18
mourir,mourir,14
!,!,p
se,se,51
dit,dire,19
elle,il,51
/…,/…,P
mais,mais,82
quelle,quel,75
lâcheté,lâcheté,22
!,!,p
moi,moi,51
abandonner,abandonner,14
Fabrice,Fabrice,20
dans,dans,81
le,le,71
malheur,malheur,21
/!,/!,P
je,je,51
m',je,51
égare,égarer,17
/…,/…,P
voyons,voir,17
",",",",p
revenons,revenir,17
au,à,81
au,le,71
vrai,vrai,30
;,;,p
envisageons,envisager,17
de,de,81
sang-froid,sang-froid,21
l',le,71
exécrable,exécrable,30
position,position,22
où,où,60
je,je,51
me,je,51
suis,être,17
plongée,plonger,12
comme,comme,83
à,à,81
plaisir,plaisir,21
/.,/.,P
quelle,quel,75
funeste,funeste,30
étourderie,étourderie,22
!,!,p
venir,venir,14
habiter,habiter,14
la,le,71
cour,cour,22
d',de,81
un,un,71
prince,prince,21
absolu,absolu,30
!,!,p
un,un,71
tyran,tyran,21
qui,qui,52
connaît,connaître,17
toutes,tout,75
ses,son,73
victimes,victime,22
!,!,p
chacun,chacun,52
de,de,81
leurs,leur,73
regards,regard,21
lui,lui,51
semble,sembler,17
une,un,71
bravade,bravade,22
pour,pour,81
son,son,73
pouvoir,pouvoir,21
/.,/.,P
hélas,hélas,60
!,!,p
c',ce,52
est,être,17
ce,ce,52
que,que,52
ni,ni,82
le,le,71
comte,comte,21
ni,ni,82
moi,moi,51
nous,nous,51
ne,ne,60
vîmes,voir,19
lorsque,lorsque,83
je,je,51
quittai,quitter,19
Milan,Milan,20
:,:,p
je,je,51
pensais,penser,18
aux,à,81
aux,le,71
grâces,grâce,22
d',de,81
une,un,71
cour,cour,22
aimable,aimable,30
;,;,p
quelque,quelque,75
chose,chose,22
d',de,81
inférieur,inférieur,30
",",",",p
il,il,51
est,être,17
vrai,vrai,30
",",",",p
mais,mais,82
quelque,quelque,75
chose,chose,22
dans,dans,81
le,le,71
genre,genre,21
des,de,81
des,le,71
beaux,beau,30
jours,jour,21
du,de,81
du,le,71
prince,prince,21
Eugène,Eugène,20
/!,/!,P
de,de,81
loin,loin,60
nous,nous,51
ne,ne,60
nous,nous,51
faisions,faire,18
pas,pas,60
d',de,81
idée,idée,22
de,de,81
ce,ce,52
que,que,52
c',ce,52
est,être,17
que,que,83
l',le,71
autorité,autorité,22
d',de,81
un,un,71
despote,despote,21
qui,qui,52
connaît,connaître,17
de,de,81
vue,vue,22
tous,tout,75
ses,son,73
sujets,sujet,21
/.,/.,P
la,le,71
forme,forme,22
extérieure,extérieur,30
du,de,81
du,le,71
despotisme,despotisme,21
est,être,17
la,le,71
même,même,52
que,que,83
celle,celui,52
des,de,81
des,le,71
autres,autre,75
gouvernements,gouvernement,21
:,:,p
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
juges,juge,21
",",",",p
par,par,81
exemple,exemple,21
",",",",p
mais,mais,82
ce,ce,52
sont,être,17
des,de,81
des,le,71
Rassi,Rassi,20
;,;,p
le,le,71
monstre,monstre,21
",",",",p
il,il,51
ne,ne,60
trouverait,trouver,16
rien,rien,52
d',de,81
extraordinaire,extraordinaire,30
à,à,81
faire,faire,14
pendre,pendre,14
son,son,73
père,père,21
si,si,83
le,le,71
prince,prince,21
le,le,52
lui,lui,51
ordonnait,ordonner,18
…,…,p
il,il,51
appellerait,appeler,16
cela,cela,52
son,son,73
devoir,devoir,21
/…,/…,P
séduire,séduire,14
Rassi,Rassi,20
!,!,p
malheureuse,malheureux,30
que,que,83
je,je,51
suis,être,17
!,!,p
je,je,51
n',ne,60
en,en,52
possède,posséder,17
aucun,aucun,75
moyen,moyen,21
/.,/.,P
que,que,52
puis,pouvoir,17
je,je,51
lui,lui,51
offrir,offrir,14
?,?,p
cent,cent,72
mille,mille,72
francs,franc,21
peut-être,peut-être,60
!,!,p
et,et,82
l',l',94
on,on,51
prétend,prétendre,17
que,que,83
",",",",p
lors,lors,60
du,de,81
du,le,71
dernier,dernier,30
coup,coup,21
de,de,81
poignard,poignard,21
auquel,à,81
auquel,lequel,52
la,le,71
colère,colère,22
du,de,81
du,le,71
ciel,ciel,21
envers,envers,81
ce,ce,74
malheureux,malheureux,30
pays,pays,21
l',le,52
a,avoir,17
fait,faire,12
échapper,échapper,14
",",",",p
le,le,71
prince,prince,21
lui,lui,51
a,avoir,17
envoyé,envoyer,12
dix,dix,72
mille,mille,72
sequins,sequin,21
d',de,81
or,or,21
dans,dans,81
une,un,71
cassette,cassette,22
/!,/!,P
d',de,81
ailleurs,ailleurs,60
quelle,quel,75
somme,somme,22
d',de,81
argent,argent,21
pourrait,pouvoir,16
le,le,52
séduire,séduire,14
/?,/?,P
cette,ce,74
âme,âme,22
de,de,81
boue,boue,22
",",",",p
qui,qui,52
n',ne,60
a,avoir,17
jamais,jamais,60
vu,voir,12
que,que,83
du,de,81
du,le,71
mépris,mépris,21
dans,dans,81
les,le,71
regards,regard,21
des,de,81
des,le,71
hommes,homme,21
",",",",p
a,avoir,17
le,le,71
plaisir,plaisir,21
ici,ici,60
d',de,81
y,y,52
voir,voir,14
maintenant,maintenant,60
de,de,81
la,le,71
crainte,crainte,22
",",",",p
et,et,82
même,même,60
du,de,81
du,le,71
respect,respect,21
;,;,p
il,il,51
peut,pouvoir,17
devenir,devenir,14
ministre,ministre,21
de,de,81
la,le,71
police,police,22
",",",",p
et,et,82
pourquoi,pourquoi,60
pas,pas,60
/?,/?,P
alors,alors,60
les,le,71
trois,trois,72
quarts,quart,21
des,de,81
des,le,71
habitants,habitant,21
du,de,81
du,le,71
pays,pays,21
seront,être,15
ses,son,73
bas,bas,30
courtisans,courtisan,21
",",",",p
et,et,82
trembleront,trembler,15
devant,devant,81
lui,lui,51
",",",",p
aussi,aussi,60
servilement,servilement,60
que,que,83
lui-même,lui-même,51
tremble,trembler,17
devant,devant,81
le,le,71
souverain,souverain,21
/.,/.,P
puisque,puisque,83
je,je,51
ne,ne,60
peux,pouvoir,17
fuir,fuir,14
ce,ce,74
lieu,lieu,21
détesté,détesté,31
",",",",p
il,il,51
faut,falloir,17
que,que,83
j',je,51
y,y,52
sois,être,17
utile,utile,30
à,à,81
Fabrice,Fabrice,20
:,:,p
vivre,vivre,14
seule,seul,30
",",",",p
solitaire,solitaire,30
",",",",p
désespérée,désespéré,31
!,!,p
que,que,52
puis,pouvoir,17
je,je,51
alors,alors,60
pour,pour,81
Fabrice,Fabrice,20
/?,/?,P
allons,aller,17
",",",",p
marche,marcher,17
",",",",p
malheureuse,malheureux,30
femme,femme,22
",",",",p
fais,faire,17
ton,ton,73
devoir,devoir,21
;,;,p
va,aller,17
dans,dans,81
le,le,71
monde,monde,21
",",",",p
feins,feindre,17
de,de,81
ne,ne,60
plus,plus,60
penser,penser,14
à,à,81
Fabrice,Fabrice,20
/…,/…,P
feindre,feindre,14
de,de,81
t',tu,51
oublier,oublier,14
",",",",p
cher,cher,30
ange,ange,21
/!,/!,P
à,à,81
ce,ce,74
mot,mot,21
",",",",p
la,le,71
duchesse,duchesse,22
fondit,fondre,19
en,en,81
larmes,larme,22
;,;,p
enfin,enfin,60
",",",",p
elle,il,51
pouvait,pouvoir,18
pleurer,pleurer,14
/.,/.,P
après,après,81
une,un,71
heure,heure,22
accordée,accordé,31
à,à,81
la,le,71
faiblesse,faiblesse,22
humaine,humain,30
",",",",p
elle,il,51
vit,vivre,17
avec,avec,81
un,un,71
peu,peu,60
de,de,81
consolation,consolation,22
que,que,83
ses,son,73
idées,idée,22
commençaient,commencer,18
à,à,81
s',se,51
éclaircir,éclaicir,14
/.,/.,P
avoir,avoir,14
le,le,71
tapis,tapis,21
magique,magique,30
",",",",p
se,se,51
dit,dire,19
elle,il,51
",",",",p
enlever,enlever,14
Fabrice,Fabrice,20
de,de,81
la,le,71
citadelle,citadelle,22
",",",",p
et,et,82
me,je,51
réfugier,réfugier,14
avec,avec,81
lui,lui,51
dans,dans,81
quelque,quelque,75
pays,pays,21
heureux,heureux,30
",",",",p
où,où,60
nous,nous,51
ne,ne,60
puissions,pouvoir,17
être,être,14
poursuivis,poursuivre,12
",",",",p
Paris,Paris,20
par,par,81
exemple,exemple,21
/.,/.,P
nous,nous,51
y,y,52
vivrions,vivre,16
d'abord,d'abord,60
avec,avec,81
les,le,71
douze,douze,72
cents,cent,72
francs,franc,21
que,que,52
l',le,71
homme,homme,21
d',de,81
affaires,affaire,22
de,de,81
son,son,73
père,père,21
me,je,51
fait,faire,17
passer,passer,14
avec,avec,81
une,un,71
exactitude,exactitude,22
si,si,60
plaisante,plaisant,30
/.,/.,P
je,je,51
pourrais,pouvoir,16
bien,bien,60
ramasser,ramasser,14
cent,cent,72
mille,mille,72
francs,franc,21
des,de,81
des,le,71
débris,débris,21
de,de,81
ma,mon,73
fortune,fortune,22
/!,/!,P
l',le,71
imagination,imagination,22
de,de,81
la,le,71
duchesse,duchesse,22
passait,passer,18
en,en,81
revue,revue,22
avec,avec,81
des,de,81
des,le,71
moments,moment,21
d',de,81
inexprimables,inexprimable,30
délices,délice,21
tous,tout,75
les,le,71
détails,détail,21
de,de,81
la,le,71
vie,vie,22
qu',que,52
elle,il,51
mènerait,mener,16
à,à,81
trois,trois,72
cents,cent,72
lieues,lieue,22
de,de,81
Parme,Parme,20
/.,/.,P
là,là,60
",",",",p
se,se,51
disait,dire,18
elle,il,51
",",",",p
il,il,51
pourrait,pouvoir,16
entrer,entrer,14
au,à,81
au,le,71
service,service,21
sous,sous,81
un,un,71
nom,nom,21
supposé,supposé,31
/…,/…,P
placé,placé,31
dans,dans,81
un,un,71
régiment,régiment,21
de,de,81
ces,ce,74
braves,brave,30
Français,Français,20
",",",",p
bientôt,bientôt,60
le,le,71
jeune,jeune,30
Valserra,Valserra,20
aurait,avoir,16
une,un,71
réputation,réputation,22
;,;,p
enfin,enfin,60
il,il,51
serait,être,16
heureux,heureux,30
/.,/.,P
ces,ce,74
images,image,22
fortunées,fortuné,30
rappelèrent,rappeler,19
une,un,71
seconde,second,72
fois,fois,22
les,le,71
larmes,larme,22
",",",",p
mais,mais,82
celles-ci,celui-ci,52
étaient,être,18
de,de,81
douces,doux,30
larmes,larme,22
/.,/.,P
le,le,71
bonheur,bonheur,21
existait,exister,18
donc,donc,82
encore,encore,60
quelque,quelque,75
part,part,22
/!,/!,P
cet,ce,74
état,état,21
dura,durer,19
longtemps,longtemps,60
;,;,p
la,le,71
pauvre,pauvre,30
femme,femme,22
avait,avoir,18
horreur,horreur,22
de,de,81
revenir,revenir,14
à,à,81
la,le,71
contemplation,contemplation,22
de,de,81
l',le,71
affreuse,affreux,30
réalité,réalité,22
/.,/.,P
enfin,enfin,60
",",",",p
comme,comme,83
l',le,71
aube,aube,22
du,de,81
du,le,71
jour,jour,21
commençait,commencer,18
à,à,81
marquer,marquer,14
d',de,81
une,un,71
ligne,ligne,22
blanche,blanc,30
le,le,71
sommet,sommet,21
des,de,81
des,le,71
arbres,arbre,21
de,de,81
son,son,73
jardin,jardin,21
",",",",p
elle,il,51
se,se,51
fit,faire,19
violence,violence,22
/.,/.,P
dans,dans,81
quelques,quelque,75
heures,heure,22
",",",",p
se,se,51
dit,dire,19
elle,il,51
",",",",p
je,je,51
serai,être,16
sur,sur,81
le,le,71
champ,champ,21
de,de,81
bataille,bataille,22
;,;,p
il,il,51
sera,être,15
question,question,22
d',de,81
agir,agir,14
",",",",p
et,et,82
s',si,83
il,il,51
m',je,51
arrive,arriver,17
quelque,quelque,75
chose,chose,22
d',de,81
irritant,irritant,30
",",",",p
si,si,83
le,le,71
prince,prince,21
s',se,51
avise,aviser,17
de,de,81
m',je,51
adresser,adresser,14
quelque,quelque,75
mot,mot,21
relatif,relatif,30
à,à,81
Fabrice,Fabrice,20
",",",",p
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
assurée,assurer,12
de,de,81
pouvoir,pouvoir,14
garder,garder,14
tout,tout,75
mon,mon,73
sang-froid,sang-froid,21
/.,/.,P
il,il,51
faut,falloir,17
donc,donc,82
ici,ici,60
et,et,82
sans,sans,81
délai,délai,21
prendre,prendre,14
des,de,81
des,le,71
résolutions,résolution,22
/.,/.,P
si,si,83
je,je,51
suis,être,17
déclarée,déclarer,12
criminelle,criminelle,22
d',de,81
Etat,état,21
",",",",p
Rassi,Rassi,20
fait,faire,17
saisir,saisir,14
tout,tout,52
ce,ce,52
qui,qui,52
se,se,51
trouve,trouver,17
dans,dans,81
ce,ce,74
palais,palais,21
;,;,p
le,le,71
premier,premier,72
de,de,81
ce,ce,74
mois,mois,21
",",",",p
le,le,71
comte,comte,21
et,et,82
moi,moi,51
nous,nous,51
avons,avoir,17
brûlé,brûler,12
",",",",p
suivant,suivre,13
l',le,71
usage,usage,21
",",",",p
tous,tout,75
les,le,71
papiers,papier,21
dont,dont,52
la,le,71
police,police,22
pourrait,pouvoir,16
abuser,abuser,14
",",",",p
et,et,82
il,il,51
est,être,17
le,le,71
ministre,ministre,21
de,de,81
la,le,71
police,police,22
",",",",p
voilà,voilà,81
le,le,71
plaisant,plaisant,30
/.,/.,P
j',je,51
ai,avoir,17
trois,trois,72
diamants,diamant,21
de,de,81
quelque,quelque,75
prix,prix,21
:,:,p
