11960
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatrième extrait>,<>,<>
dans,dans,81
les,le,71
crayons,crayon,21
",",",",p
que,que,83
le,le,71
diamant,diamant,21
n',ne,60
est,être,17
que,que,83
du,de,81
du,le,71
carbone,carbone,21
/.,/.,P
ce,ce,52
qui,qui,52
les,le,52
ébahit,ébahir,19
par-dessus,par-dessus,60
tout,tout,52
",",",",p
c',ce,52
est,être,17
que,que,83
la,le,71
terre,terre,22
comme,comme,83
élément,élément,21
n',ne,60
existe,exister,17
pas,pas,60
/.,/.,P
ils,ils,51
saisirent,saisir,19
la,le,71
manoeuvre,manoeuvre,22
du,de,81
du,le,71
chalumeau,chalumeau,21
",",",",p
l',le,71
or,or,21
",",",",p
l',le,71
argent,argent,21
",",",",p
la,le,71
lessive,lessive,22
du,de,81
du,le,71
linge,linge,21
",",",",p
l',le,71
étamage,étamage,21
des,de,81
des,le,71
casseroles,casserole,22
;,;,p
puis,puis,60
sans,sans,81
le,le,71
moindre,moindre,30
scrupule,scrupule,21
",",",",p
Bouvard,Bouvard,20
et,et,82
Pécuchet,Pécuchet,20
se,se,51
lancèrent,lancer,19
dans,dans,81
la,le,71
chimie,chimie,22
organique,organique,30
/.,/.,P
quelle,quel,75
merveille,merveille,22
que,que,52
de,de,81
retrouver,retrouver,14
chez,chez,81
les,le,71
êtres,être,21
vivants,vivant,30
les,le,71
mêmes,même,75
substances,substance,22
qui,qui,52
composent,composer,17
les,le,71
minéraux,minéral,21
/.,/.,P
néanmoins,néanmoins,60
",",",",p
ils,ils,51
éprouvaient,éprouver,18
une,un,71
sorte,sorte,22
d',de,81
humiliation,humiliation,22
à,à,81
l',le,71
idée,idée,22
que,que,83
leur,leur,73
individu,individu,21
contenait,contenir,18
du,de,81
du,le,71
phosphore,phosphore,21
comme,comme,83
les,le,71
allumettes,allumette,22
",",",",p
de,de,81
l',le,71
albumine,albumine,22
comme,comme,83
les,le,71
blancs,blanc,21
d',de,81
oeufs,oeuf,21
",",",",p
du,de,81
du,le,71
gaz,gaz,21
hydrogène,hydrogène,21
comme,comme,83
les,le,71
réverbères,réverbère,21
/.,/.,P
après,après,81
les,le,71
couleurs,couleur,22
et,et,82
les,le,71
corps,corps,21
gras,gras,30
",",",",p
ce,ce,52
fut,être,19
le,le,71
tour,tour,21
de,de,81
la,le,71
fermentation,fermentation,22
/.,/.,P
elle,il,51
les,le,52
conduisit,conduire,19
aux,à,81
aux,le,71
acides,acide,21
-,-,p
et,et,82
la,le,71
loi,loi,22
des,de,81
des,le,71
équivalents,équivalent,21
les,le,52
embarrassa,embarrasser,19
encore,encore,60
une,un,71
fois,fois,22
/.,/.,P
ils,ils,51
tâchèrent,tâcher,19
de,de,81
l',le,52
élucider,élucider,14
avec,avec,81
la,le,71
théorie,théorie,22
des,de,81
des,le,71
atomes,atome,21
",",",",p
ce,ce,52
qui,qui,52
acheva,achever,19
de,de,81
les,le,52
perdre,perdre,14
/.,/.,P
pour,pour,81
entendre,entendre,14
tout,tout,75
cela,cela,52
",",",",p
selon,selon,81
Bouvard,Bouvard,20
",",",",p
il,il,51
aurait,avoir,16
fallu,falloir,12
des,de,81
des,le,71
instruments,instrument,21
/.,/.,P
la,le,71
dépense,dépense,22
était,être,18
considérable,considérable,30
;,;,p
et,et,82
ils,ils,51
en,en,52
avaient,avoir,18
trop,trop,60
fait,faire,12
/.,/.,P
mais,mais,82
le,le,71
docteur,docteur,21
Vaucorbeil,Vaucorbeil,20
pouvait,pouvoir,18
",",",",p
sans,sans,81
doute,doute,21
",",",",p
les,le,52
éclairer,éclairer,14
/.,/.,P
ils,ils,51
se,se,51
présentèrent,présenter,19
au,à,81
au,le,71
moment,moment,21
de,de,81
ses,son,73
consultations,consultation,22
/.,/.,P
-,-,p
“,“,p
messieurs,monsieur,21
",",",",p
je,je,51
vous,vous,51
écoute,écouter,17
!,!,p
quel,quel,52
est,être,17
votre,votre,73
mal,mal,21
/?,/?,P
Pécuchet,Pécuchet,20
répliqua,répliquer,19
qu',que,83
ils,ils,51
n',ne,60
étaient,être,18
pas,pas,60
malades,malade,30
",",",",p
et,et,82
ayant,avoir,13
exposé,exposer,12
le,le,71
but,but,21
de,de,81
leur,leur,73
visite,visite,22
:,:,p
-,-,p
“,“,p
nous,nous,51
désirons,désirer,17
connaître,connaître,14
premièrement,premièrement,60
l',le,71
atomicité,atomicité,22
supérieure,supérieur,30
/.,/.,P
“,“,p
le,le,71
médecin,médecin,21
rougit,rougir,19
beaucoup,beaucoup,60
",",",",p
puis,puis,60
les,le,52
blâma,blâmer,19
de,de,81
vouloir,vouloir,14
apprendre,apprendre,14
la,le,71
chimie,chimie,22
/.,/.,P
-,-,p
“,“,p
je,je,51
ne,ne,60
nie,nier,17
pas,pas,60
son,son,73
importance,importance,22
",",",",p
soyez,être,17
en,en,52
sûrs,sûr,30
!,!,p
mais,mais,82
actuellement,actuellement,60
",",",",p
on,on,51
la,le,52
fourre,fourrer,17
partout,partout,60
/!,/!,P
elle,il,51
exerce,exercer,17
sur,sur,81
la,le,71
médecine,médecine,22
une,un,71
action,action,22
déplorable,déplorable,30
/.,/.,P
“,“,p
et,et,82
l',le,71
autorité,autorité,22
de,de,81
sa,son,73
parole,parole,22
se,se,51
renforçait,renforcer,18
au,à,81
au,le,71
spectacle,spectacle,21
des,de,81
des,le,71
choses,chose,22
environnantes,environnant,30
/.,/.,P
du,de,81
du,le,71
diachylum,diachylum,21
et,et,82
des,de,81
des,le,71
bandes,bande,22
traînaient,traîner,18
sur,sur,81
la,le,71
cheminée,cheminée,22
/.,/.,P
la,le,52
boite,boiter,17
chirurgicale,chirurgical,30
posait,poser,18
au,à,81
au,le,71
milieu,milieu,21
du,de,81
du,le,71
bureau,bureau,21
/.,/.,P
des,de,81
des,le,71
sondes,sonde,22
emplissaient,emplir,18
une,un,71
cuvette,cuvette,22
dans,dans,81
un,un,71
coin,coin,21
-,-,p
et,et,82
il,il,51
y,y,52
avait,avoir,18
contre,contre,81
le,le,71
mur,mur,21
",",",",p
la,le,71
représentation,représentation,22
d',de,81
un,un,71
écorché,écorché,21
/.,/.,P
Pécuchet,Pécuchet,20
en,en,52
fit,faire,19
compliment,compliment,21
au,à,81
au,le,71
docteur,docteur,21
/.,/.,P
-,-,p
“,“,p
ce,ce,52
doit,devoir,17
être,être,14
une,un,71
belle,beau,30
étude,étude,22
que,que,52
l',le,71
anatomie,anatomie,22
/?,/?,P
monsieur,monsieur,21
Vaucorbeil,Vaucorbeil,20
s',se,51
étendit,étendre,19
sur,sur,81
le,le,71
charme,charme,21
qu',que,52
il,il,51
éprouvait,éprouver,18
autrefois,autrefois,60
dans,dans,81
les,le,71
dissections,dissection,22
;,;,p
-,-,p
et,et,82
Bouvard,Bouvard,20
demanda,demander,19
quels,quel,52
sont,être,17
les,le,71
rapports,rapport,21
entre,entre,81
l',le,71
intérieur,intérieur,21
de,de,81
la,le,71
femme,femme,22
et,et,82
celui,celui,52
de,de,81
l',le,71
homme,homme,21
/.,/.,P
afin,afin,81
de,de,81
le,le,52
satisfaire,satisfaire,14
",",",",p
le,le,71
médecin,médecin,21
tira,tirer,19
de,de,81
sa,son,73
bibliothèque,bibliothèque,22
un,un,71
recueil,recueil,21
de,de,81
planches,planche,22
anatomiques,anatomique,30
/.,/.,P
-,-,p
“,“,p
emportez,emporter,17
les,le,52
/!,/!,P
vous,vous,51
les,le,52
regarderez,regarder,15
chez,chez,81
vous,vous,51
plus,plus,60
à,à,81
votre,votre,73
aise,aise,22
/!,/!,P
le,le,71
squelette,squelette,21
les,le,52
étonna,étonner,19
par,par,81
la,le,71
proéminence,proéminence,22
de,de,81
sa,son,73
mâchoire,mâchoire,22
",",",",p
les,le,71
trous,trou,21
de,de,81
ses,son,73
yeux,oeil,21
",",",",p
la,le,71
longueur,longueur,22
effrayante,effrayant,30
de,de,81
ses,son,73
mains,main,22
/.,/.,P
-,-,p
un,un,71
ouvrage,ouvrage,21
explicatif,explicatif,30
leur,leur,52
manquait,manquer,18
;,;,p
ils,ils,51
retournèrent,retourner,19
chez,chez,81
monsieur,monsieur,21
Vaucorbeil,Vaucorbeil,20
",",",",p
et,et,82
grâce,grâce,22
au,à,81
au,le,71
manuel,manuel,21
d',de,81
Alexandre,Alexandre,20
Lauth,Lauth,20
ils,ils,51
apprirent,apprendre,19
les,le,71
divisions,division,22
de,de,81
la,le,71
charpente,charpente,22
",",",",p
en,en,81
s',se,51
ébahissant,ébahir,13
de,de,81
l',le,71
épine,épine,22
dorsale,dorsal,30
",",",",p
seize,seize,72
fois,fois,22
plus,plus,60
forte,fort,30
",",",",p
dit,dire,19
on,on,51
",",",",p
que,que,83
si,si,83
le,le,71
créateur,créateur,21
l',le,52
eût,avoir,19
fait,faire,12
droite,droit,30
/.,/.,P
-,-,p
pourquoi,pourquoi,60
seize,seize,72
fois,fois,22
",",",",p
précisément,précisément,60
/?,/?,P
les,le,71
métacarpiens,métacarpien,30
désolèrent,désoler,19
Bouvard,Bouvard,20
;,;,p
-,-,p
Pécuchet,Pécuchet,20
acharné,acharné,31
sur,sur,81
le,le,71
crâne,crâne,21
",",",",p
perdit,perdre,19
courage,courage,21
devant,devant,81
le,le,71
sphénoïde,sphénoïde,21
",",",",p
bien,bien,60
qu',que,83
il,il,51
ressemble,ressembler,17
à,à,81
une,un,71
“,“,p
selle,selle,22
turque,turc,30
",",",",p
ou,ou,82
turquesque,turquesque,30
“,“,p
/.,/.,P
quant,quand,83
aux,à,81
aux,le,71
articulations,articulation,22
",",",",p
trop,trop,60
de,de,81
ligaments,ligament,21
les,le,52
cachaient,cacher,18
-,-,p
et,et,82
ils,ils,51
attaquèrent,attaquer,19
les,le,71
muscles,muscle,21
/.,/.,P
mais,mais,82
les,le,71
insertions,insertion,22
n',ne,60
étaient,être,18
pas,pas,60
commodes,commode,30
à,à,81
découvrir,découvrir,14
-,-,p
et,et,82
parvenus,parvenu,31
aux,à,81
aux,le,71
gouttières,gouttière,22
vertébrales,vertébral,30
",",",",p
ils,ils,51
y,y,52
renoncèrent,renoncer,19
complètement,complètement,60
/.,/.,P
Pécuchet,Pécuchet,20
dit,dire,19
",",",",p
alors,alors,60
:,:,p
-,-,p
“,“,p
si,si,83
nous,nous,51
reprenions,reprendre,17
la,le,71
chimie,chimie,22
?,?,p
ne,ne,60
serait,être,16
ce,ce,52
que,que,83
pour,pour,81
utiliser,utiliser,14
le,le,71
laboratoire,laboratoire,21
/!,/!,P
Bouvard,Bouvard,20
protesta,protester,19
;,;,p
et,et,82
il,il,51
crut,croire,19
se,se,51
rappeler,rappeler,14
que,que,83
l',l',94
on,on,51
fabriquait,fabriquer,18
à,à,81
l',le,71
usage,usage,21
des,de,81
des,le,71
pays,pays,21
chauds,chaud,30
des,de,81
des,le,71
cadavres,cadavre,21
postiches,postiche,21
/.,/.,P
Barberou,Barberou,20
",",",",p
auquel,à,81
auquel,lequel,52
il,il,51
écrivit,écrire,19
",",",",p
lui,lui,51
donna,donner,19
là-dessus,là-dessus,60
des,de,81
des,le,71
renseignements,renseignement,21
/.,/.,P
-,-,p
pour,pour,81
dix,dix,72
francs,franc,21
par,par,81
mois,mois,21
",",",",p
on,on,51
pouvait,pouvoir,18
avoir,avoir,14
un,un,52
des,de,81
des,le,71
bonshommes,bonhomme,21
de,de,81
monsieur,monsieur,21
Auzoux,Auzoux,20
-,-,p
et,et,82
la,le,71
semaine,semaine,22
suivante,suivant,30
",",",",p
le,le,71
messager,messager,21
de,de,81
Falaise,Falaise,20
déposa,déposer,19
devant,devant,81
leur,leur,73
grille,grille,22
une,un,71
caisse,caisse,22
oblongue,oblong,30
/.,/.,P
ils,ils,51
la,le,52
transportèrent,transporter,19
dans,dans,81
le,le,71
fournil,fournil,21
",",",",p
pleins,plein,21
d',de,81
émotion,émotion,22
/.,/.,P
quand,quand,83
les,le,71
planches,planche,22
furent,être,19
déclouées,déclouer,12
",",",",p
la,le,71
paille,paille,22
tomba,tomber,19
",",",",p
les,le,71
papiers,papier,21
de,de,81
soie,soie,22
glissèrent,glisser,19
",",",",p
le,le,71
mannequin,mannequin,21
apparut,apparaître,19
/.,/.,P
il,il,51
était,être,18
couleur,couleur,22
de,de,81
brique,brique,22
",",",",p
sans,sans,81
chevelure,chevelure,22
",",",",p
sans,sans,81
peau,peau,22
",",",",p
avec,avec,81
d',de,81
innombrables,innombrable,30
filets,filet,21
bleus,bleu,30
",",",",p
rouges,rouge,30
et,et,82
blancs,blanc,30
le,le,52
bariolant,barioler,13
/.,/.,P
cela,cela,52
ne,ne,60
ressemblait,ressembler,18
point,point,60
à,à,81
un,un,71
cadavre,cadavre,21
",",",",p
mais,mais,82
à,à,81
une,un,71
espèce,espèce,22
de,de,81
joujou,joujou,21
",",",",p
fort,fort,60
vilain,vilain,30
",",",",p
très,très,60
propre,propre,30
et,et,82
qui,qui,52
sentait,sentir,18
le,le,71
vernis,vernis,21
/.,/.,P
puis,puis,60
ils,ils,51
enlevèrent,enlever,19
le,le,71
thorax,thorax,21
;,;,p
et,et,82
ils,ils,51
aperçurent,apercevoir,19
les,le,71
deux,deux,72
poumons,poumon,21
pareils,pareil,30
à,à,81
deux,deux,72
éponges,éponge,22
",",",",p
le,le,71
coeur,coeur,21
tel,tel,75
qu',que,83
un,un,71
gros,gros,30
oeuf,oeuf,21
",",",",p
un,un,71
peu,peu,60
de,de,81
côté,côté,21
par derrière,par-derrière,60
",",",",p
le,le,71
diaphragme,diaphragme,21
",",",",p
les,le,71
reins,rein,21
",",",",p
tout,tout,75
le,le,71
paquet,paquet,21
des,de,81
des,le,71
entrailles,entraille,22
/.,/.,P
-,-,p
“,“,p
à,à,81
la,le,71
besogne,besogne,22
!,!,p
dit,dire,19
Pécuchet,Pécuchet,20
/.,/.,P
la,le,71
journée,journée,22
et,et,82
le,le,71
soir,soir,21
y,y,52
passèrent,passer,19
/.,/.,P
ils,ils,51
avaient,avoir,18
mis,mettre,12
des,de,81
des,le,71
blouses,blouse,22
",",",",p
comme,comme,83
font,faire,17
les,le,71
carabins,carabin,21
dans,dans,81
les,le,71
amphithéâtres,amphithéâtre,21
",",",",p
et,et,82
à,à,81
la,le,71
lueur,lueur,22
de,de,81
trois,trois,72
chandelles,chandelle,22
",",",",p
ils,ils,51
travaillaient,travailler,18
leurs,leur,73
morceaux,morceau,21
de,de,81
carton,carton,21
",",",",p
quand,quand,83
un,un,71
coup,coup,21
de,de,81
poing,poing,21
heurta,heurter,19
la,le,71
porte,porte,22
/.,/.,P
-,-,p
“,“,p
ouvrez,ouvrir,17
/!,/!,P
c',ce,52
était,être,18
monsieur,monsieur,21
Foureau,Foureau,20
",",",",p
suivi,suivi,21
du,de,81
du,le,71
garde champêtre,garde champêtre,21
/.,/.,P
les,le,71
maîtres,maître,21
de,de,81
Germaine,Germaine,20
s',se,51
étaient,être,18
plu,plaire,12
à,à,81
lui,lui,51
montrer,montrer,14
le,le,71
bonhomme,bonhomme,21
/.,/.,P
elle,il,51
avait,avoir,18
couru,courir,12
de,de,81
suite,suite,22
chez,chez,81
l',le,71
épicière,épicière,22
",",",",p
pour,pour,81
conter,conter,14
la,le,71
chose,chose,22
;,;,p
et,et,82
tout,tout,75
le,le,71
village,village,21
croyait,croire,18
maintenant,maintenant,60
qu',que,83
ils,ils,51
recélaient,receler,18
dans,dans,81
leur,leur,73
maison,maison,22
un,un,71
véritable,véritable,30
mort,mort,21
/.,/.,P
Foureau,Foureau,20
",",",",p
cédant,céder,13
à,à,81
la,le,71
rumeur,rumeur,22
publique,public,30
",",",",p
venait,venir,18
s',se,51
assurer,assurer,14
du,de,81
du,le,71
fait,fait,21
/.,/.,P
des,de,81
des,le,71
curieux,curieux,21
se,se,51
tenaient,tenir,18
dans,dans,81
la,le,71
cour,cour,22
/.,/.,P
le,le,71
mannequin,mannequin,21
",",",",p
quand,quand,83
il,il,51
entra,entrer,19
",",",",p
reposait,reposer,18
sur,sur,81
le,le,71
flanc,flanc,21
;,;,p
et,et,82
les,le,71
muscles,muscle,21
de,de,81
la,le,71
face,face,22
étant,être,13
décrochés,décrocher,12
",",",",p
l',le,71
oeil,oeil,21
faisait,faire,18
une,un,71
saillie,saillie,22
monstrueuse,monstrueux,30
",",",",p
avait,avoir,18
quelque,quelque,75
chose,chose,22
d',de,81
effrayant,effrayant,30
/.,/.,P
-,-,p
“,“,p
qui,qui,52
vous,vous,51
amène,amener,17
?,?,p
dit,dire,19
Pécuchet,Pécuchet,20
/.,/.,P
Foureau,Foureau,20
balbutia,balbutier,19
:,:,p
-,-,p
“,“,p
rien,rien,52
!,!,p
rien,rien,52
du,de,81
du,le,71
tout,tout,21
!,!,p
et,et,82
prenant,prendre,13
une,un,52
des,de,81
des,le,71
pièces,pièce,22
sur,sur,81
la,le,71
table,table,22
:,:,p
-,-,p
“,“,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
c',ce,52
est,être,17
/?,/?,P
le,le,71
buccinateur,buccinateur,21
!,!,p
répondit,répondre,19
Bouvard,Bouvard,20
/.,/.,P
Foureau,Foureau,20
se,se,51
tut,taire,19
-,-,p
mais,mais,82
souriait,sourire,18
d',de,81
une,un,71
façon,façon,22
narquoise,narquois,30
",",",",p
jaloux,jaloux,30
de,de,81
ce,ce,52
qu',que,52
ils,ils,51
avaient,avoir,18
un,un,71
divertissement,divertissement,21
au-dessus,au-dessus,60
de,de,81
sa,son,73
compétence,compétence,22
/.,/.,P
les,le,71
deux,deux,72
anatomistes,anatomiste,21
feignaient,feindre,18
de,de,81
poursuivre,poursuivre,14
leurs,leur,73
investigations,investigation,22
/.,/.,P
les,le,71
gens,gens,21
qui,qui,52
s',se,51
ennuyaient,ennuyer,18
sur,sur,81
le,le,71
seuil,seuil,21
avaient,avoir,18
pénétré,pénétrer,12
dans,dans,81
le,le,71
fournil,fournil,21
-,-,p
et,et,82
comme,comme,83
on,on,51
se,se,51
poussait,pousser,18
un,un,71
peu,peu,60
",",",",p
la,le,71
table,table,22
trembla,trembler,19
/.,/.,P
-,-,p
“,“,p
ah,ah,93
!,!,p
c',ce,52
est,être,17
trop,trop,60
fort,fort,30
!,!,p
s',se,51
écria,écrier,19
Pécuchet,Pécuchet,20
/.,/.,P
“,“,p
débarrassez,débarrasser,17
nous,nous,51
du,de,81
du,le,71
public,public,21
/!,/!,P
le,le,71
garde champêtre,garde champêtre,21
fit,faire,19
partir,partir,14
les,le,71
curieux,curieux,21
/.,/.,P
-,-,p
“,“,p
très,très,60
bien,bien,60
!,!,p
dit,dire,19
Bouvard,Bouvard,20
!,!,p
nous,nous,51
n',ne,60
avons,avoir,17
besoin,besoin,21
de,de,81
personne,personne,52
/!,/!,P
Foureau,Foureau,20
comprit,comprendre,19
l',le,71
allusion,allusion,22
;,;,p
et,et,82
lui,lui,51
demanda,demander,19
s',si,83
ils,ils,51
avaient,avoir,18
le,le,71
droit,droit,21
",",",",p
n',ne,60
étant,être,13
pas,pas,60
médecins,médecin,21
",",",",p
de,de,81
détenir,détenir,14
un,un,71
objet,objet,21
pareil,pareil,30
/?,/?,P
il,il,51
allait,aller,18
",",",",p
du,de,81
du,le,71
reste,reste,21
",",",",p
en,en,52
écrire,écrire,14
au,à,81
au,le,71
préfet,préfet,21
/.,/.,P
-,-,p
quel,quel,75
pays,pays,21
!,!,p
on,on,51
n',ne,60
était,être,18
pas,pas,60
plus,plus,60
inepte,inepte,30
",",",",p
sauvage,sauvage,30
et,et,82
rétrograde,rétrograde,30
/!,/!,P
la,le,71
comparaison,comparaison,22
qu',que,52
ils,ils,51
firent,faire,19
d',de,81
eux-mêmes,eux-mêmes,51
avec,avec,81
les,le,71
autres,autre,52
les,le,52
consola,consoler,19
/.,/.,P
-,-,p
ils,ils,51
ambitionnaient,ambitionner,18
de,de,81
souffrir,souffrir,14
pour,pour,81
la,le,71
science,science,22
/.,/.,P
le,le,71
docteur,docteur,21
aussi,aussi,60
vint,venir,19
les,le,52
voir,voir,14
/.,/.,P
il,il,51
dénigra,dénigrer,19
le,le,71
mannequin,mannequin,21
comme,comme,83
trop,trop,60
éloigné,éloigné,31
de,de,81
la,le,71
nature,nature,22
;,;,p
mais,mais,82
profita,profiter,19
de,de,81
la,le,71
circonstance,circonstance,22
pour,pour,81
faire,faire,14
une,un,71
leçon,leçon,22
/.,/.,P
Bouvard,Bouvard,20
et,et,82
Pécuchet,Pécuchet,20
furent,être,19
charmés,charmer,12
;,;,p
et,et,82
sur,sur,81
leur,leur,73
désir,désir,21
",",",",p
monsieur,monsieur,21
Vaucorbeil,Vaucorbeil,20
leur,leur,52
prêta,prêter,19
plusieurs,plusieurs,75
volumes,volume,21
de,de,81
sa,son,73
bibliothèque,bibliothèque,22
",",",",p
affirmant,affirmer,13
toutefois,toutefois,60
qu',que,83
ils,ils,51
n',ne,60
iraient,aller,16
pas,pas,60
jusqu',jusque,81
au,à,81
au,le,71
bout,bout,21
/.,/.,P
ils,ils,51
prirent,prendre,19
en,en,81
note,note,22
dans,dans,81
le,le,71
dictionnaire,dictionnaire,21
des,de,81
des,le,71
sciences,science,22
médicales,médical,30
",",",",p
les,le,71
exemples,exemple,21
d',de,81
accouchement,accouchement,21
",",",",p
de,de,81
longévité,longévité,22
",",",",p
d',de,81
obésité,obésité,22
et,et,82
de,de,81
constipation,constipation,22
extraordinaires,extraordinaire,30
/.,/.,P
que,que,52
n',ne,60
avaient,avoir,18
ils,ils,51
connu,connaître,12
le,le,71
fameux,fameux,30
Canadien,Canadien,20
de,de,81
Beaumont,Beaumont,20
",",",",p
les,le,71
polyphages,polyphage,30
Tarare,Tarare,20
et,et,82
Bijoux,Bijoux,20
",",",",p
la,le,71
femme,femme,22
hydropique,hydropique,30
du,de,81
du,le,71
département,département,21
de,de,81
l',le,71
Eure,Eure,20
",",",",p
le,le,71
Piémontais,Piémontais,20
qui,qui,52
allait,aller,18
à,à,81
la,le,71
garde-robe,garde-robe,22
tous,tout,75
les,le,71
vingt,vingt,72
jours,jour,21
",",",",p
Simorre,Simorre,20
de,de,81
Mirepoix,Mirepoix,20
mort,mort,31
ossifié,ossifié,31
",",",",p
et,et,82
cet,ce,74
ancien,ancien,30
maire,maire,21
d',de,81
Angoulême,Angoulême,20
",",",",p
dont,dont,52
le,le,71
nez,nez,21
pesait,peser,18
trois,trois,72
livres,livre,21
/!,/!,P
le,le,71
cerveau,cerveau,21
leur,leur,52
inspira,inspirer,19
des,de,81
des,le,71
réflexions,réflexion,22
philosophiques,philosophique,30
/.,/.,P
ils,ils,51
distinguaient,distinguer,18
fort,fort,60
bien,bien,60
dans,dans,81
l',le,71
intérieur,intérieur,21
",",",",p
le,le,71
septum,septum,92
lucidum,lucidum,92
composé,composé,21
de,de,81
deux,deux,72
lamelles,lamelle,22
et,et,82
la,le,71
glande,glande,22
pinéale,pinéal,30
",",",",p
qui,qui,52
ressemble,ressembler,17
à,à,81
un,un,71
petit,petit,30
pois,pois,21
rouge,rouge,30
/.,/.,P
mais,mais,82
il,il,51
y,y,52
avait,avoir,18
des,de,81
des,le,71
pédoncules,pédoncule,22
et,et,82
des,de,81
des,le,71
ventricules,ventricule,21
",",",",p
des,de,81
des,le,71
arcs,arc,21
",",",",p
des,de,81
des,le,71
piliers,pilier,21
",",",",p
des,de,81
des,le,71
étages,étage,21
",",",",p
des,de,81
des,le,71
ganglions,ganglion,21
",",",",p
et,et,82
des,de,81
des,le,71
fibres,fibre,22
de,de,81
toutes,tout,75
les,le,71
sortes,sorte,22
",",",",p
et,et,82
le,le,71
foramen,foramen,21
de,de,81
Pacchioni,Pacchioni,20
",",",",p
et,et,82
le,le,71
corps,corps,21
de,de,81
Pacini,Pacini,20
",",",",p
bref,bref,60
un,un,71
amas,amas,21
inextricable,inextricable,30
",",",",p
de,de,81
quoi,quoi,52
user,user,14
leur,leur,73
existence,existence,22
/.,/.,P
quelquefois,quelquefois,60
dans,dans,81
un,un,71
vertige,vertige,21
",",",",p
ils,ils,51
démontaient,démonter,18
complètement,complètement,60
le,le,71
cadavre,cadavre,21
",",",",p
puis,puis,60
se,se,51
trouvaient,trouver,18
embarrassés,embarrassé,31
pour,pour,81
remettre,remettre,14
en,en,81
place,place,22
les,le,71
morceaux,morceau,21
/.,/.,P
cette,ce,74
besogne,besogne,22
était,être,18
rude,rude,30
",",",",p
après,après,81
le,le,71
déjeuner,déjeuner,21
surtout,surtout,60
!,!,p
et,et,82
ils,ils,51
ne,ne,60
tardaient,tarder,18
pas,pas,60
à,à,81
s',se,51
endormir,endormir,14
",",",",p
Bouvard,Bouvard,20
le,le,71
menton,menton,21
baissé,baissé,31
",",",",p
