11698
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Cinquante-sixième extrait>,<>,<> 
la,le,71
rue,rue,22
elle-même,lui-même,51
",",",",p
aux,à,81
aux,le,71
trottoirs,trottoir,21
de,de,81
bitume,bitume,21
",",",",p
frémissait,frémir,18
sourdement,sourdement,60
",",",",p
rongée,rongé,31
par,par,81
des,de,81
des,le,71
racines,racine,22
/.,/.,P
il,il,51
pensait,penser,18
",",",",p
secoué,secoué,31
par,par,81
les,le,71
cahots,cahot,21
du,de,81
du,le,71
fiacre,fiacre,21
:,:,p
“,“,p
enfin,enfin,60
",",",",p
je,je,51
vais,aller,17
goûter,goûter,14
un,un,71
peu,peu,60
de,de,81
calme,calme,21
/.,/.,P
je,je,51
vais,aller,17
regarder,regarder,14
naître,naître,14
le,le,71
printemps,printemps,21
dans,dans,81
la,le,71
forêt,forêt,22
encore,encore,60
déserte,désert,30
/.,/.,P
“,“,p
le,le,71
trajet,trajet,21
lui,lui,51
parut,paraître,19
long,long,60
/.,/.,P
il,il,51
était,être,18
courbaturé,courbaturer,12
après,après,81
ces,ce,74
quelques,quelque,75
heures,heure,22
d',de,81
insomnie,insomnie,22
à,à,81
pleurer,pleurer,14
sur,sur,81
lui,lui,51
",",",",p
comme,comme,83
s',si,83
il,il,51
eût,avoir,19
passé,passer,12
dix,dix,72
nuits,nuit,22
près,près,81
d',de,81
un,un,71
mourant,mourant,21
/.,/.,P
en,en,81
arrivant,arriver,13
dans,dans,81
la,le,71
ville,ville,22
de,de,81
Fontainebleau,Fontainebleau,20
",",",",p
il,il,51
se,se,51
rendit,rendre,19
chez,chez,81
un,un,71
notaire,notaire,21
pour,pour,81
savoir,savoir,14
s',si,83
il,il,51
n',ne,60
y,y,52
avait,avoir,18
point,point,60
quelque,quelque,75
chalet,chalet,21
à,à,81
louer,louer,14
meublé,meublé,31
aux,à,81
aux,le,71
abords,abord,21
de,de,81
la,le,71
forêt,forêt,22
/.,/.,P
on,on,51
lui,lui,51
en,en,52
indiqua,indiquer,19
plusieurs,plusieurs,75
/.,/.,P
celui,celui,52
dont,dont,52
la,le,71
photographie,photographie,22
le,le,52
séduisit,séduire,19
le,le,71
plus,plus,60
venait,venir,18
d',de,81
être,être,14
quitté,quitter,12
par,par,81
deux,deux,72
jeunes,jeune,30
gens,gens,21
",",",",p
homme,homme,21
et,et,82
femme,femme,22
",",",",p
qui,qui,52
étaient,être,18
restés,rester,12
presque,presque,60
tout,tout,75
l',le,71
hiver,hiver,21
dans,dans,81
le,le,71
village,village,21
de,de,81
Montigny-sur-Loing,Montigny-sur-Loing,20
le,le,71
notaire,notaire,21
",",",",p
homme,homme,21
grave,graver,17
pourtant,pourtant,60
",",",",p
souriait,sourire,18
/.,/.,P
il,il,51
devait,devoir,18
flairer,flairer,14
là,là,60
une,un,71
histoire,histoire,22
d',de,81
amour,amour,21
/.,/.,P
il,il,51
demanda,demander,19
:,:,p
-,-,p
vous,vous,51
êtes,être,17
seul,seul,30
",",",",p
monsieur,monsieur,21
/?,/?,P
je,je,51
suis,être,17
seul,seul,30
/.,/.,P
-,-,p
même,même,60
sans,sans,81
domestiques,domestique,21
/?,/?,P
même,même,60
sans,sans,81
domestiques,domestique,21
/.,/.,P
j',je,51
ai,avoir,17
laissé,laisser,12
les,le,71
miens,mien,52
à,à,81
Paris,Paris,20
/.,/.,P
je,je,51
veux,vouloir,17
prendre,prendre,14
des,de,81
des,le,71
gens,gens,21
du,de,81
du,le,71
pays,pays,21
/.,/.,P
je,je,51
viens,venir,17
ici,ici,60
pour,pour,81
travailler,travailler,14
dans,dans,81
un,un,71
isolement,isolement,21
absolu,absolu,30
/.,/.,P
-,-,p
oh,oh,93
!,!,p
vous,vous,51
l',le,52
aurez,avoir,15
",",",",p
à,à,81
cette,ce,74
époque,époque,22
de,de,81
l',le,71
année,année,22
/.,/.,P
quelques,quelque,75
minutes,minute,22
plus,plus,60
tard,tard,60
",",",",p
un,un,71
landau,landau,21
découvert,découvert,31
emportait,emporter,18
Mariolle,Mariolle,20
et,et,82
ses,son,73
malles,malle,22
vers,vers,81
Montigny,Montigny,20
/.,/.,P
la,le,71
forêt,forêt,22
s',se,51
éveillait,éveiller,18
/.,/.,P
au,à,81
au,le,71
pied,pied,21
des,de,81
des,le,71
grands,grand,30
arbres,arbre,21
",",",",p
dont,dont,52
les,le,71
têtes,tête,22
se,se,51
couvraient,couvrir,18
d',de,81
une,un,71
ombre,ombre,22
légère,léger,30
de,de,81
feuillage,feuillage,21
",",",",p
les,le,71
taillis,taillis,21
étaient,être,18
plus,plus,60
touffus,touffu,30
/.,/.,P
les,le,71
bouleaux,bouleau,21
hâtifs,hâtif,30
",",",",p
aux,à,81
aux,le,71
membres,membre,21
d',de,81
argent,argent,21
",",",",p
semblaient,sembler,18
seuls,seul,30
habillés,habillé,31
déjà,déjà,60
pour,pour,81
l',le,71
été,été,21
",",",",p
tandis que,tandis que,83
les,le,71
chênes,chêne,21
immenses,immense,30
montraient,montrer,18
seulement,seulement,60
",",",",p
au,à,81
au,le,71
bout,bout,21
de,de,81
leurs,leur,73
branches,branche,22
",",",",p
de,de,81
légères,léger,30
taches,tache,22
vertes,vert,30
tremblotantes,tremblotant,30
/.,/.,P
les,le,71
hêtres,hêtre,21
",",",",p
ouvrant,ouvrir,13
plus,plus,60
vite,vite,60
leurs,leur,73
bourgeons,bourgeon,21
pointus,pointu,30
",",",",p
laissaient,laisser,18
tomber,tomber,14
leurs,leur,73
dernières,dernier,30
feuilles,feuille,22
mortes,mort,31
de,de,81
l',le,71
autre,autre,75
année,année,22
/.,/.,P
le,le,71
long,long,21
de,de,81
la,le,71
route,route,22
",",",",p
l',le,71
herbe,herbe,22
",",",",p
que,que,52
ne,ne,60
couvrait,couvrir,18
point,point,60
encore,encore,60
l',le,71
ombre,ombre,22
impénétrable,impénétrable,30
des,de,81
des,le,71
cimes,cime,22
",",",",p
était,être,18
drue,dru,30
",",",",p
luisante,luisant,30
",",",",p
vernie,verni,31
de,de,81
sève,sève,22
nouvelle,nouveau,30
;,;,p
et,et,82
cette,ce,74
odeur,odeur,22
de,de,81
pousses,pousse,22
naissantes,naissant,30
",",",",p
déjà,déjà,60
perçue,perçu,31
par,par,81
Mariolle,Mariolle,20
dans,dans,81
l',le,71
avenue,avenue,22
des,de,81
des,le,71
Champs-Elysées,Champs-Elysées,20
",",",",p
l',le,52
enveloppait,envelopper,18
maintenant,maintenant,60
",",",",p
le,le,52
noyait,noyer,18
dans,dans,81
un,un,71
immense,immense,30
bain,bain,21
de,de,81
vie,vie,22
végétale,végétal,30
germant,germer,13
sous,sous,81
le,le,71
premier,premier,72
soleil,soleil,21
/.,/.,P
il,il,51
respirait,respirer,18
par,par,81
grandes,grand,30
haleines,haleine,22
",",",",p
comme,comme,83
un,un,71
libéré,libéré,31
qui,qui,52
sort,sortir,17
de,de,81
prison,prison,22
",",",",p
et,et,82
",",",",p
avec,avec,81
la,le,71
sensation,sensation,22
d',de,81
un,un,71
homme,homme,21
dont,dont,52
on,on,51
vient,venir,17
de,de,81
rompre,rompre,14
les,le,71
liens,lien,21
",",",",p
il,il,51
étendit,étendre,19
mollement,mollement,60
ses,son,73
deux,deux,72
bras,bras,21
sur,sur,81
les,le,71
deux,deux,72
côtés,côté,21
du,de,81
du,le,71
landau,landau,21
",",",",p
laissant,laisser,13
pendre,pendre,14
ses,son,73
mains,main,22
au-dessus,au-dessus,60
des,de,81
des,le,71
deux,deux,72
roues,roue,22
/.,/.,P
c',ce,52
était,être,18
bon,bon,30
d',de,81
aspirer,aspirer,14
ce,ce,74
grand,grand,30
air,air,21
libre,libre,30
et,et,82
pur,pur,30
;,;,p
mais,mais,82
comme,comme,83
il,il,51
en,en,52
devrait,devoir,16
boire,boire,14
",",",",p
et,et,82
boire,boire,14
encore,encore,60
",",",",p
longtemps,longtemps,60
",",",",p
longtemps,longtemps,60
",",",",p
de,de,81
cet,ce,74
air,air,21
",",",",p
pour,pour,81
en,en,52
être,être,14
imprégné,imprégner,12
jusqu',jusque,81
à,à,81
souffrir,souffrir,14
un,un,71
peu,peu,60
moins,moins,60
",",",",p
pour,pour,81
qu',que,83
à,à,81
travers,travers,21
ses,son,73
poumons,poumon,21
il,il,51
sentît,sentir,18
enfin,enfin,60
ce,ce,74
souffle,souffle,21
frais,frais,30
glisser,glisser,14
aussi,aussi,60
sur,sur,81
la,le,71
plaie,plaie,22
vive,vif,30
de,de,81
son,son,73
coeur,coeur,21
",",",",p
et,et,82
la,le,52
calmer,calmer,14
/!,/!,P
il,il,51
traversa,traverser,19
Marlotte,Marlotte,20
",",",",p
où,où,60
le,le,52
cocher,cocher,14
lui,lui,51
montra,montrer,19
l',le,71
hôtel,hôtel,21
Corot,Corot,20
",",",",p
qu',que,83
on,on,51
venait,venir,18
d',de,81
ouvrir,ouvrir,14
et,et,82
dont,dont,52
on,on,51
vantait,vanter,18
l',le,71
originalité,originalité,22
/.,/.,P
puis,puis,60
suivit,suivre,19
une,un,71
route,route,22
entre,entre,81
la,le,71
forêt,forêt,22
à,à,81
gauche,gauche,22
et,et,82
",",",",p
à,à,81
droite,droite,22
",",",",p
une,un,71
grande,grand,30
plaine,plaine,22
avec,avec,81
des,de,81
des,le,71
arbres,arbre,21
par,par,81
places,place,22
et,et,82
des,de,81
des,le,71
coteaux,coteau,21
à,à,81
l',le,71
horizon,horizon,21
/.,/.,P
puis,puis,60
on,on,51
pénétra,pénétrer,19
dans,dans,81
une,un,71
longue,long,30
rue,rue,22
de,de,81
village,village,21
",",",",p
une,un,71
rue,rue,22
blanche,blanc,30
",",",",p
aveuglante,aveuglant,30
",",",",p
entre,entre,81
deux,deux,72
lignes,ligne,22
interminables,interminable,30
de,de,81
petites,petit,30
maisons,maison,22
couvertes,couvert,31
en,en,81
tuiles,tuile,22
/.,/.,P
par,par,81
places,place,22
",",",",p
un,un,71
énorme,énorme,30
lilas,lilas,21
fleuri,fleuri,31
jaillissait,jaillir,18
au-dessus,au-dessus,60
d',de,81
un,un,71
mur,mur,21
/.,/.,P
cette,ce,74
rue,rue,22
suivait,suivre,18
un,un,71
étroit,étroit,30
vallon,vallon,21
qui,qui,52
descendait,descendre,18
au,à,81
au,le,71
petit,petit,60
cours,cours,21
d',de,81
eau,eau,22
/.,/.,P
quand,quand,83
Mariolle,Mariolle,20
l',le,52
aperçut,apercevoir,19
",",",",p
il,il,51
eut,avoir,19
un,un,71
ravissement,ravissement,21
/.,/.,P
c',ce,52
était,être,18
un,un,71
fleuve,fleuve,21
mince,mince,30
",",",",p
rapide,rapide,30
",",",",p
agité,agité,31
et,et,82
tournoyant,tournoyant,30
",",",",p
qui,qui,52
lavait,laver,18
sur,sur,81
une,un,52
de,de,81
ses,son,73
rives,rive,22
le,le,71
pied,pied,21
même,même,30
des,de,81
des,le,71
maisons,maison,22
et,et,82
les,le,71
murs,mur,21
des,de,81
des,le,71
jardins,jardin,21
",",",",p
tandis que,tandis que,83
",",",",p
sur,sur,81
l',le,71
autre,autre,52
",",",",p
il,il,51
baignait,baigner,18
des,de,81
des,le,71
prairies,prairie,22
",",",",p
où,où,60
des,de,81
des,le,71
arbres,arbre,21
légers,léger,30
égrenaient,égrener,18
leurs,leur,73
frêles,frêle,30
feuillages,feuillage,21
à,à,81
peine,peine,22
ouverts,ouvert,31
/.,/.,P
Mariolle,Mariolle,20
trouva,trouver,19
tout,tout,60
de,de,81
suite,suite,22
la,le,71
demeure,demeure,22
indiquée,indiqué,31
",",",",p
et,et,82
en,en,52
fut,être,19
charmé,charmer,12
/.,/.,P
c',ce,52
était,être,18
une,un,71
vieille,vieux,30
maison,maison,22
restaurée,restauré,31
par,par,81
un,un,71
peintre,peintre,21
qui,qui,52
passa,passer,19
là,là,60
cinq,cinq,72
ans,an,21
",",",",p
puis,puis,60
s',se,51
en,en,52
lassa,lasser,19
",",",",p
et,et,82
la,le,52
mit,mettre,19
à,à,81
louer,louer,14
/.,/.,P
elle,il,51
était,être,18
tout,tout,52
au,à,81
au,le,71
bord,bord,21
de,de,81
l',le,71
eau,eau,22
",",",",p
séparée,séparé,31
seulement,seulement,60
du,de,81
du,le,71
courant,courant,21
par,par,81
un,un,52
jolie,joli,30
jardin,jardin,21
que,que,52
terminait,terminer,18
une,un,71
terrasse,terrasse,22
à,à,81
tilleuls,tilleul,21
/.,/.,P
le,le,71
Loing,Loing,20
",",",",p
qui,qui,52
venait,venir,18
de,de,81
tomber,tomber,14
d',de,81
un,un,71
barrage,barrage,21
par,par,81
une,un,71
chute,chute,22
haute,haut,30
d',de,81
un,un,71
pied,pied,21
ou,ou,82
deux,deux,72
",",",",p
filait,filer,18
le,le,71
long,long,21
de,de,81
cette,ce,74
terrasse,terrasse,22
",",",",p
en,en,81
déroulant,dérouler,13
de,de,81
grands,grand,30
remous,remous,21
/.,/.,P
par,par,81
les,le,71
fenêtres,fenêtre,22
de,de,81
la,le,71
façade,façade,22
on,on,51
apercevait,apercevoir,18
",",",",p
de,de,81
l',le,71
autre,autre,75
côté,côté,21
",",",",p
les,le,71
prés,pré,21
/.,/.,P
-,-,p
je,je,51
me,je,51
guérirai,guérir,15
ici,ici,60
",",",",p
pensa,penser,19
Mariolle,Mariolle,20
/.,/.,P
tout,tout,52
avait,avoir,18
été,être,12
convenu,convenir,12
avec,avec,81
le,le,71
notaire,notaire,21
pour,pour,81
le,le,71
cas,cas,21
où,où,60
cette,ce,74
maison,maison,22
lui,lui,51
plairait,plaire,16
/.,/.,P
le,le,71
cocher,cocher,21
porta,porter,19
la,le,71
réponse,réponse,22
/.,/.,P
il,il,51
fallut,falloir,19
alors,alors,60
s',se,51
occuper,occuper,14
de,de,81
l',le,71
installation,installation,22
",",",",p
qui,qui,52
fut,être,19
rapide,rapide,30
",",",",p
le,le,71
secrétaire,secrétaire,21
de,de,81
la,le,71
mairie,mairie,22
ayant,avoir,13
fourni,fournir,12
deux,deux,72
femmes,femme,22
",",",",p
l',le,71
une,un,52
pour,pour,81
la,le,71
nourriture,nourriture,22
",",",",p
l',le,71
autre,autre,52
pour,pour,81
faire,faire,14
la,le,71
chambre,chambre,22
et,et,82
prendre,prendre,14
soin,soin,21
du,de,81
du,le,71
linge,linge,21
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
en,en,81
bas,bas,21
un,un,71
salon,salon,21
",",",",p
une,un,71
salle,salle,22
à,à,81
manger,manger,14
",",",",p
la,le,71
cuisine,cuisine,22
et,et,82
deux,deux,72
petites,petit,30
pièces,pièce,22
;,;,p
au,à,81
au,le,71
premier,premier,72
",",",",p
une,un,71
belle,beau,30
chambre,chambre,22
et,et,82
une,un,71
sorte,sorte,22
de,de,81
grand,grand,30
cabinet,cabinet,21
que,que,52
l',le,71
artiste,artiste,21
propriétaire,propriétaire,30
avait,avoir,18
disposé,disposer,12
en,en,81
atelier,atelier,21
/.,/.,P
tout,tout,75
cela,cela,52
installé,installé,31
avec,avec,81
amour,amour,21
",",",",p
comme,comme,83
on,on,51
installe,installer,17
quand,quand,83
on,on,51
s',se,51
éprend,éprendre,17
d',de,81
un,un,71
pays,pays,21
et,et,82
d',de,81
un,un,71
logis,logis,21
/.,/.,P
c',ce,52
était,être,18
maintenant,maintenant,60
un,un,71
peu,peu,60
défraîchi,défraîchir,12
",",",",p
un,un,71
peu,peu,60
dérangé,dérangé,31
",",",",p
avec,avec,81
l',le,71
air,air,21
veuf,veuf,21
et,et,82
délaissé,délaissé,31
des,de,81
des,le,71
demeures,demeure,22
dont,dont,52
le,le,71
maître,maître,21
est,être,17
parti,partir,12
/.,/.,P
on,on,51
sentait,sentir,18
pourtant,pourtant,60
que,que,83
cette,ce,74
petite,petit,30
maison,maison,22
venait,venir,18
d',de,81
être,être,14
habitée,habiter,12
/.,/.,P
une,un,71
douce,doux,30
odeur,odeur,22
de,de,81
verveine,verveine,22
y,y,52
flottait,flotter,18
encore,encore,60
/.,/.,P
Mariolle,Mariolle,20
pensa,penser,19
:,:,p
“,“,p
tiens,tenir,17
",",",",p
de,de,81
la,le,71
verveine,verveine,22
",",",",p
parfum,parfum,21
simple,simple,30
/.,/.,P
la,le,71
femme,femme,22
d',de,81
avant,avant,81
moi,moi,51
ne,ne,60
devait,devoir,18
pas,pas,60
être,être,14
une,un,71
compliquée,compliqué,31
/…,/…,P
heureux,heureux,30
homme,homme,21
/!,/!,P
le,le,71
soir,soir,21
venait,venir,18
",",",",p
toutes,tout,75
ses,son,73
affaires,affaire,22
ayant,avoir,13
fait,faire,12
glisser,glisser,14
la,le,71
journée,journée,22
/.,/.,P
il,il,51
s',se,51
assit,asseoir,19
près,près,81
d',de,81
une,un,71
fenêtre,fenêtre,22
ouverte,ouvert,31
",",",",p
buvant,boire,13
la,le,71
fraîcheur,fraîcheur,22
humide,humide,30
et,et,82
douce,doux,30
des,de,81
des,le,71
herbages,herbage,21
mouillés,mouillé,31
et,et,82
regardant,regarder,13
le,le,71
soleil,soleil,21
couchant,couchant,30
faire,faire,14
de,de,81
grandes,grand,30
ombres,ombre,22
sur,sur,81
les,le,71
prés,pré,21
/.,/.,P
les,le,71
deux,deux,72
servantes,servante,22
parlaient,parler,18
en,en,81
préparant,préparer,13
le,le,71
dîner,dîner,21
",",",",p
et,et,82
leurs,leur,73
voix,voix,22
paysannes,paysan,30
montaient,monter,18
sourdement,sourdement,60
par,par,81
l',le,71
escalier,escalier,21
",",",",p
tandis que,tandis que,83
",",",",p
par,par,81
la,le,71
fenêtre,fenêtre,22
",",",",p
entraient,entrer,18
des,de,81
des,le,71
meuglements,meuglement,21
de,de,81
vache,vache,22
",",",",p
des,de,81
des,le,71
aboiements,aboiement,21
de,de,81
chien,chien,21
",",",",p
des,de,81
des,le,71
appels,appel,21
d',de,81
homme,homme,21
ramenant,ramener,13
des,de,81
des,le,71
bêtes,bête,22
ou,ou,82
causant,causer,13
avec,avec,81
un,un,71
camarade,camarade,21
à,à,81
travers,travers,21
la,le,71
rivière,rivière,22
/.,/.,P
cela,cela,52
était,être,18
vraiment,vraiment,60
calme,calme,30
et,et,82
reposant,reposant,30
/.,/.,P
Mariolle,Mariolle,20
se,se,51
demandait,demander,18
pour,pour,81
la,le,71
millième,millième,72
fois,fois,22
depuis,depuis,81
le,le,71
matin,matin,21
:,:,p
“,“,p
qu',que,83
a,avoir,17
t,t,94
elle,il,51
pensé,penser,12
en,en,81
recevant,recevoir,13
ma,mon,73
lettre,lettre,22
?,?,p
/…,/…,P
que,que,52
va,aller,17
t,t,94
elle,il,51
faire,faire,14
?,?,p
/…,/…,P
“,“,p
puis,puis,60
il,il,51
se,se,51
dit,dire,19
:,:,p
“,“,p
que,que,52
fait,faire,17
elle,il,51
en,en,81
ce,ce,74
moment,moment,21
/?,/?,P
il,il,51
regarda,regarder,19
l',le,71
heure,heure,22
à,à,81
sa,son,73
montre,montre,22
:,:,p
-,-,p
six,six,72
heures,heure,22
et,et,82
demie,demi,30
/.,/.,P
-,-,p
“,“,p
elle,il,51
est,être,17
rentrée,rentrer,12
",",",",p
elle,il,51
reçoit,recevoir,17
/.,/.,P
“,“,p
il,il,51
eut,avoir,19
la,le,71
vision,vision,22
du,de,81
du,le,71
salon,salon,21
et,et,82
de,de,81
la,le,71
jeune,jeune,30
femme,femme,22
causant,causer,13
avec,avec,81
la,le,71
princesse,princesse,22
de,de,81
Malten,Malten,20
",",",",p
madame,madame,22
de,de,81
Frémines,Frémines,20
",",",",p
Massival,Massival,20
et,et,82
le,le,71
comte,comte,21
de,de,81
Bernhaus,Bernhaus,20
/.,/.,P
son,son,73
âme,âme,22
soudait,souder,18
tressaillit,tressaillir,19
d',de,81
une,un,71
espèce,espèce,22
de,de,81
colère,colère,22
/.,/.,P
il,il,51
aurait,avoir,16
voulu,vouloir,12
être,être,14
là-bas,là-bas,60
/.,/.,P
c',ce,52
était,être,18
l',le,71
heure,heure,22
où,où,60
presque,presque,60
chaque,chaque,75
jour,jour,21
il,il,51
entrait,entrer,18
chez,chez,81
elle,il,51
/.,/.,P
et,et,82
il,il,51
sentait,sentir,18
en,en,81
lui,lui,51
un,un,71
malaise,malaise,21
",",",",p
non,non,60
pas,pas,60
un,un,71
regret,regret,21
",",",",p
car,car,82
sa,son,73
volonté,volonté,22
était,être,18
ferme,ferme,30
",",",",p
mais,mais,82
une,un,71
sorte,sorte,22
de,de,81
souffrance,souffrance,22
physique,physique,30
pareille,pareil,30
à,à,81
celle,celui,52
d',de,81
un,un,71
malade,malade,21
à,à,81
qui,qui,52
on,on,51
refuse,refuser,17
la,le,71
piqûre,piqûre,22
de,de,81
morphine,morphine,22
au,à,81
au,le,71
moment,moment,21
accoutumé,accoutumé,31
/.,/.,P
il,il,51
ne,ne,60
voyait,voir,18
plus,plus,60
les,le,71
prairies,prairie,22
",",",",p
ni,ni,82
le,le,71
soleil,soleil,21
disparaissant,disparaître,13
derrière,derrière,81
les,le,71
collines,colline,22
de,de,81
l',le,71
horizon,horizon,21
/.,/.,P
il,il,51
ne,ne,60
voyait,voir,18
qu',que,83
elle,il,51
",",",",p
au,à,81
au,le,71
milieu,milieu,21
d',de,81
amis,ami,21
",",",",p
elle,il,51
en,en,81
proie,proie,22
à,à,81
ces,ce,74
soucis,souci,21
mondains,mondain,30
qui,qui,52
la,le,52
lui,lui,51
avaient,avoir,18
volée,voler,12
:,:,p
“,“,p
n',ne,60
y,y,52
pensons,penser,17
plus,plus,60
!,!,p
se,se,51
dit,dire,19
il,il,51
/.,/.,P
il,il,51
se,se,51
leva,lever,19
",",",",p
descendit,descendre,19
au,à,81
au,le,71
jardin,jardin,21
",",",",p
marcha,marcher,19
jusqu',jusque,81
à,à,81
la,le,71
terrasse,terrasse,22
/.,/.,P
la,le,71
fraîcheur,fraîcheur,22
de,de,81
l',le,71
eau,eau,22
secouée,secoué,31
par,par,81
le,le,71
barrage,barrage,21
montait,monter,18
en,en,81
brumes,brume,22
de,de,81
la,le,71
rivière,rivière,22
;,;,p
et,et,82
cette,ce,74
froide,froid,30
sensation,sensation,22
",",",",p
glaçant,glacer,13
son,son,73
coeur,coeur,21
déjà,déjà,60
si,si,60
triste,triste,30
",",",",p
le,le,52
fit,faire,19
revenir,revenir,14
sur,sur,81
ses,son,73
pas,pas,21
/.,/.,P
son,son,73
couvert,couvert,21
était,être,18
mis,mettre,12
dans,dans,81
la,le,71
salle,salle,22
à,à,81
manger,manger,14
/.,/.,P
il,il,51
dîna,dîner,19
vite,vite,60
;,;,p
puis,puis,60
",",",",p
n',ne,60
ayant,avoir,13
rien,rien,52
à,à,81
faire,faire,14
",",",",p
sentant,sentir,13
grandir,grandir,14
dans,dans,81
son,son,73
corps,corps,21
et,et,82
grandir,grandir,14
dans,dans,81
son,son,73
âme,âme,22
ce,ce,74
malaise,malaise,21
dont,dont,52
il,il,51
avait,avoir,18
subi,subir,12
tout,tout,60
à,à,81
l',le,71
heure,heure,22
l',le,71
atteinte,atteinte,22
",",",",p
il,il,51
se,se,51
coucha,coucher,19
",",",",p
et,et,82
