11335
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente et unième extrait>,<>,<>
le,le,71
poison,poison,21
",",",",p
soyez,être,17
en,en,52
sûr,sûr,30
",",",",p
et,et,82
il,il,51
ne,ne,60
me,je,51
pardonnerait,pardonner,16
pas,pas,60
cette,ce,74
idée,idée,22
d',de,81
avoir,avoir,14
trois,trois,72
ou,ou,82
quatre,quatre,72
petits,petit,30
chiens,chien,21
/.,/.,P
il,il,51
y,y,52
eut,avoir,19
une,un,71
nouvelle,nouveau,30
sérénade,sérénade,22
/.,/.,P
maintenant,maintenant,60
Grillo,Grillo,20
répondait,répondre,18
à,à,81
toutes,tout,75
les,le,71
questions,question,22
de,de,81
Fabrice,Fabrice,20
;,;,p
il,il,51
s',se,51
était,être,18
bien,bien,60
promis,promettre,12
toutefois,toutefois,60
d',de,81
être,être,14
prudent,prudent,30
",",",",p
et,et,82
de,de,81
ne,ne,60
point,point,60
trahir,trahir,14
mademoiselle,mademoiselle,22
Clélia,Clélia,20
",",",",p
qui,qui,52
",",",",p
selon,selon,81
lui,lui,51
",",",",p
tout,tout,60
en,en,81
étant,être,13
sur,sur,81
le,le,71
point,point,21
d',de,81
épouser,épouser,14
le,le,71
marquis,marquis,21
Crescenzi,Crescenzi,20
",",",",p
l',le,71
homme,homme,21
le,le,71
plus,plus,60
riche,riche,30
des,de,81
des,le,71
états,état,21
de,de,81
Parme,Parme,20
",",",",p
n',ne,60
en,en,52
faisait,faire,18
pas,pas,60
moins,moins,60
l',le,71
amour,amour,21
",",",",p
autant,autant,60
que,que,83
les,le,71
murs,mur,21
de,de,81
la,le,71
prison,prison,22
le,le,52
permettaient,permettre,18
",",",",p
avec,avec,81
l',le,71
aimable,aimable,30
monsignore,monsignore,21
del,del,92
Dongo,Dongo,20
/.,/.,P
il,il,51
répondait,répondre,18
aux,à,81
aux,le,71
dernières,dernier,30
questions,question,22
de,de,81
celui-ci,celui-ci,52
sur,sur,81
la,le,71
sérénade,sérénade,22
",",",",p
lorsqu',lorsque,83
il,il,51
eut,avoir,19
l',le,71
étourderie,étourderie,22
d',de,81
ajouter,ajouter,14
:,:,p
on,on,51
pense,penser,17
qu',que,83
il,il,51
l',le,52
épousera,épouser,15
bientôt,bientôt,60
/.,/.,P
on,on,51
peut,pouvoir,17
juger,juger,14
de,de,81
l',le,71
effet,effet,21
de,de,81
ce,ce,74
simple,simple,30
mot,mot,21
sur,sur,81
Fabrice,Fabrice,20
/.,/.,P
la,le,71
nuit,nuit,22
il,il,51
ne,ne,60
répondit,répondre,19
aux,à,81
aux,le,71
signaux,signal,21
de,de,81
la,le,71
lampe,lampe,22
que,que,83
pour,pour,81
annoncer,annoncer,14
qu',que,83
il,il,51
était,être,18
malade,malade,30
/.,/.,P
le,le,71
lendemain,lendemain,21
matin,matin,21
",",",",p
dès,dès,81
les,le,71
dix,dix,72
heures,heure,22
",",",",p
Clélia,Clélia,20
ayant,avoir,13
paru,paraître,12
à,à,81
la,le,71
volière,volière,22
",",",",p
il,il,51
lui,lui,51
demanda,demander,19
",",",",p
avec,avec,81
un,un,71
ton,ton,21
de,de,81
politesse,politesse,22
cérémonieuse,cérémonieux,30
bien,bien,60
nouveau,nouveau,30
entre,entre,81
eux,ils,51
",",",",p
pourquoi,pourquoi,60
elle,il,51
ne,ne,60
lui,lui,51
avait,avoir,18
pas,pas,60
dit,dire,12
tout,tout,60
simplement,simplement,60
qu',que,83
elle,il,51
aimait,aimer,18
le,le,71
marquis,marquis,21
Crescenzi,Crescenzi,20
",",",",p
et,et,82
qu',que,83
elle,il,51
était,être,18
sur,sur,81
le,le,71
point,point,21
de,de,81
l',le,52
épouser,épouser,14
/.,/.,P
-,-,p
c',ce,52
est,être,17
que,que,83
rien,rien,52
de,de,81
tout,tout,75
cela,cela,52
n',ne,60
est,être,17
vrai,vrai,30
",",",",p
répondit,répondre,19
Clélia,Clélia,20
avec,avec,81
impatience,impatience,22
/.,/.,P
il,il,51
est,être,17
véritable,véritable,30
aussi,aussi,60
que,que,83
le,le,71
reste,reste,21
de,de,81
sa,son,73
réponse,réponse,22
fut,être,19
moins,moins,60
net,net,60
:,:,p
Fabrice,Fabrice,20
le,le,52
lui,lui,51
fit,faire,19
remarquer,remarquer,14
et,et,82
profita,profiter,19
de,de,81
l',le,71
occasion,occasion,22
pour,pour,81
renouveler,renouveler,14
la,le,71
demande,demande,22
d',de,81
une,un,71
entrevue,entrevue,22
/.,/.,P
Clélia,Clélia,20
",",",",p
qui,qui,52
voyait,voir,18
sa,son,73
bonne,bon,30
foi,foi,22
mise,mis,31
en,en,81
doute,doute,21
l',le,52
accorda,accorder,19
presque,presque,60
aussitôt,aussitôt,60
",",",",p
tout,tout,60
en,en,81
lui,lui,51
faisant,faire,13
observer,observer,14
qu',que,83
elle,il,51
se,se,51
déshonorait,déshonorer,18
à,à,81
jamais,jamais,60
aux,à,81
aux,le,71
yeux,oeil,21
de,de,81
Grillo,Grillo,20
/.,/.,P
le,le,71
soir,soir,21
",",",",p
quand,quand,83
la,le,71
nuit,nuit,22
fut,être,19
faite,faire,12
",",",",p
elle,il,51
parut,paraître,19
",",",",p
accompagnée,accompagné,31
de,de,81
sa,son,73
femme,femme,22
de,de,81
chambre,chambre,22
",",",",p
dans,dans,81
la,le,71
chapelle,chapelle,22
de,de,81
marbre,marbre,21
noir,noir,30
;,;,p
elle,il,51
s',se,51
arrêta,arrêter,19
au,à,81
au,le,71
milieu,milieu,21
",",",",p
à,à,81
côté,côté,21
de,de,81
la,le,71
lampe,lampe,22
de,de,81
veille,veille,22
;,;,p
la,le,71
femme,femme,22
de,de,81
chambre,chambre,22
et,et,82
Grillo,Grillo,20
retournèrent,retourner,19
à,à,81
trente,trente,72
pas,pas,21
auprès,auprès,60
de,de,81
la,le,71
porte,porte,22
/.,/.,P
Clélia,Clélia,20
",",",",p
toute,tout,60
tremblante,tremblant,30
",",",",p
avait,avoir,18
préparé,préparer,12
un,un,71
beau,beau,30
discours,discours,21
:,:,p
son,son,73
but,but,21
était,être,18
de,de,81
ne,ne,60
point,point,60
faire,faire,14
d',de,81
aveu,aveu,21
compromettant,compromettant,30
",",",",p
mais,mais,82
la,le,71
logique,logique,22
de,de,81
la,le,71
passion,passion,22
est,être,17
pressante,pressant,30
;,;,p
le,le,71
profond,profond,30
intérêt,intérêt,21
qu',que,52
elle,il,51
met,mettre,17
à,à,81
savoir,savoir,14
la,le,71
vérité,vérité,22
ne,ne,60
lui,lui,51
permet,permettre,17
point,point,60
de,de,81
garder,garder,14
de,de,81
vains,vain,30
ménagements,ménagement,21
",",",",p
en,en,81
même,même,75
temps,temps,21
que,que,83
l',le,71
extrême,extrême,30
dévouement,dévouement,21
qu',que,52
elle,il,51
sent,sentir,17
pour,pour,81
ce,ce,52
qu',que,52
elle,il,51
aime,aimer,17
lui,lui,51
ôte,ôter,17
la,le,71
crainte,crainte,22
d',de,81
offenser,offenser,14
/.,/.,P
Fabrice,Fabrice,20
fut,être,19
d'abord,d'abord,60
ébloui,éblouir,12
de,de,81
la,le,71
beauté,beauté,22
de,de,81
Clélia,Clélia,20
",",",",p
depuis,depuis,81
près,près,81
de,de,81
huit,huit,72
mois,mois,21
il,il,51
n',ne,60
avait,avoir,18
vu,voir,12
d',de,81
aussi,aussi,60
près,près,81
que,que,83
des,de,81
des,le,71
geôliers,geôlier,21
/.,/.,P
mais,mais,82
le,le,71
nom,nom,21
du,de,81
du,le,71
marquis,marquis,21
Crescenzi,Crescenzi,20
lui,lui,51
rendit,rendre,19
toute,tout,75
sa,son,73
fureur,fureur,22
",",",",p
elle,il,51
augmenta,augmenter,19
quand,quand,83
il,il,51
vit,voir,19
clairement,clairement,60
que,que,83
Clélia,Clélia,20
ne,ne,60
répondait,répondre,18
qu',que,83
avec,avec,81
des,de,81
des,le,71
ménagements,ménagement,21
prudents,prudent,30
;,;,p
Clélia,Clélia,20
elle-même,lui-même,51
comprit,comprendre,19
qu',que,83
elle,il,51
augmentait,augmenter,18
les,le,71
soupçons,soupçon,21
au,à,81
au,le,71
lieu,lieu,21
de,de,81
les,le,52
dissiper,dissiper,14
/.,/.,P
cette,ce,74
sensation,sensation,22
fut,être,19
trop,trop,60
cruelle,cruel,30
pour,pour,81
elle,il,51
/.,/.,P
-,-,p
serez,être,15
vous,vous,51
bien,bien,60
heureux,heureux,30
",",",",p
lui,lui,51
dit,dire,19
elle,il,51
avec,avec,81
une,un,71
sorte,sorte,22
de,de,81
colère,colère,22
et,et,82
les,le,71
larmes,larme,22
aux,à,81
aux,le,71
yeux,oeil,21
",",",",p
de,de,81
m',je,51
avoir,avoir,14
fait,faire,12
passer,passer,14
par-dessus,par-dessus,60
tout,tout,52
ce,ce,52
que,que,52
je,je,51
me,je,51
dois,devoir,17
à,à,81
moi-même,moi-même,51
/?,/?,P
jusqu',jusque,81
au,à,81
au,le,71
<Nombre 3 août>,<>,<>
trois,trois,72
août,août,21
<Fin nombre>,<>,<>
de,de,81
l',le,71
année,année,22
passée,passé,31
",",",",p
je,je,51
n',ne,60
avais,avoir,18
éprouvé,éprouver,12
que,que,83
de,de,81
l',le,71
éloignement,éloignement,21
pour,pour,81
les,le,71
hommes,homme,21
qui,qui,52
avaient,avoir,18
cherché,chercher,12
à,à,81
me,je,51
plaire,plaire,14
/.,/.,P
j',je,51
avais,avoir,18
un,un,71
mépris,mépris,21
sans,sans,81
bornes,borne,22
et,et,82
probablement,probablement,60
exagéré,exagéré,31
pour,pour,81
le,le,71
caractère,caractère,21
des,de,81
des,le,71
courtisans,courtisan,21
",",",",p
tout,tout,52
ce,ce,52
qui,qui,52
était,être,18
heureux,heureux,30
à,à,81
cette,ce,74
cour,cour,22
me,je,51
déplaisait,déplaire,18
/.,/.,P
je,je,51
trouvai,trouver,19
au,à,81
au,le,71
contraire,contraire,21
des,de,81
des,le,71
qualités,qualité,22
singulières,singulier,30
à,à,81
un,un,71
prisonnier,prisonnier,21
qui,qui,52
le,le,71
<Nombre 3 août>,<>,<>
trois,trois,72
août,août,21
<Fin nombre>,<>,<>
fut,être,19
amené,amener,12
dans,dans,81
cette,ce,74
citadelle,citadelle,22
/.,/.,P
j',je,51
éprouvai,éprouver,19
",",",",p
d'abord,d'abord,60
sans,sans,81
m',je,51
en,en,52
rendre,rendre,14
compte,compte,21
tous,tout,75
les,le,71
tourments,tourment,21
de,de,81
la,le,71
jalousie,jalousie,22
/.,/.,P
les,le,71
grâces,grâce,22
d',de,81
une,un,71
femme,femme,22
charmante,charmant,30
",",",",p
et,et,82
de,de,81
moi,moi,51
bien,bien,60
connue,connu,31
",",",",p
étaient,être,18
des,de,81
des,le,71
coups,coup,21
de,de,81
poignard,poignard,21
pour,pour,81
mon,mon,73
coeur,coeur,21
",",",",p
parce que,parce que,83
je,je,51
croyais,croire,18
",",",",p
et,et,82
je,je,51
crois,croire,17
encore,encore,60
un,un,71
peu,peu,60
",",",",p
que,que,83
ce,ce,74
prisonnier,prisonnier,21
lui,lui,51
était,être,18
attaché,attacher,12
/.,/.,P
bientôt,bientôt,60
les,le,71
persécutions,persécution,22
du,de,81
du,le,71
marquis,marquis,21
Crescenzi,Crescenzi,20
",",",",p
qui,qui,52
avait,avoir,18
demandé,demander,12
ma,mon,73
main,main,22
",",",",p
redoublèrent,redoubler,19
;,;,p
il,il,51
est,être,17
fort,fort,60
riche,riche,30
et,et,82
nous,nous,51
n',ne,60
avons,avoir,17
aucune,aucun,75
fortune,fortune,22
;,;,p
je,je,51
les,le,52
repoussais,repousser,18
avec,avec,81
une,un,71
grande,grand,30
liberté,liberté,22
d',de,81
esprit,esprit,21
",",",",p
lorsque,lorsque,83
mon,mon,73
père,père,21
prononça,prononcer,19
le,le,71
mot,mot,21
fatal,fatal,30
de,de,81
couvent,couvent,21
;,;,p
je,je,51
compris,comprendre,19
que,que,83
si,si,83
je,je,51
quittais,quitter,18
la,le,71
citadelle,citadelle,22
je,je,51
ne,ne,60
pourrais,pouvoir,16
plus,plus,60
veiller,veiller,14
sur,sur,81
la,le,71
vie,vie,22
du,de,81
du,le,71
prisonnier,prisonnier,21
dont,dont,52
le,le,71
sort,sort,21
m',je,51
intéressait,intéresser,18
/.,/.,P
le,le,71
chef-d'oeuvre,chef-d'oeuvre,21
de,de,81
mes,mon,73
précautions,précaution,22
avait,avoir,18
été,être,12
que,que,83
jusqu',jusque,81
à,à,81
ce,ce,74
moment,moment,21
il,il,51
ne,ne,60
se,se,51
doutât,douter,18
en,en,81
aucune,aucun,75
façon,façon,22
des,de,81
des,le,71
affreux,affreux,30
dangers,danger,21
qui,qui,52
menaçaient,menacer,18
sa,son,73
vie,vie,22
/.,/.,P
je,je,51
m',je,51
étais,être,18
bien,bien,60
promis,promettre,12
de,de,81
ne,ne,60
jamais,jamais,60
trahir,trahir,14
ni,ni,82
mon,mon,73
père,père,21
ni,ni,82
mon,mon,73
secret,secret,21
;,;,p
mais,mais,82
cette,ce,74
femme,femme,22
d',de,81
une,un,71
activité,activité,22
admirable,admirable,30
",",",",p
d',de,81
un,un,71
esprit,esprit,21
supérieur,supérieur,30
",",",",p
d',de,81
une,un,71
volonté,volonté,22
terrible,terrible,30
",",",",p
qui,qui,52
protège,protéger,17
ce,ce,74
prisonnier,prisonnier,21
",",",",p
lui,lui,51
offrit,offrir,19
",",",",p
à,à,81
ce,ce,52
que,que,52
je,je,51
suppose,supposer,17
",",",",p
des,de,81
des,le,71
moyens,moyen,21
d',de,81
évasion,évasion,22
",",",",p
il,il,51
les,le,52
repoussa,repousser,19
et,et,82
voulut,vouloir,19
me,je,51
persuader,persuader,14
qu',que,83
il,il,51
se,se,51
refusait,refuser,18
à,à,81
quitter,quitter,14
la,le,71
citadelle,citadelle,22
pour,pour,81
ne,ne,60
pas,pas,60
s',se,51
éloigner,éloigner,14
de,de,81
moi,moi,51
/.,/.,P
alors,alors,60
je,je,51
fis,faire,19
une,un,71
grande,grand,30
faute,faute,22
",",",",p
je,je,51
combattis,combattre,19
pendant,pendant,81
cinq,cinq,72
jours,jour,21
",",",",p
j',je,51
aurais,avoir,16
dû,devoir,12
à,à,81
l',le,71
instant,instant,21
me,je,51
réfugier,réfugier,14
au,à,81
au,le,71
couvent,couvent,21
et,et,82
quitter,quitter,14
la,le,71
forteresse,forteresse,22
:,:,p
cette,ce,74
démarche,démarche,22
m',je,51
offrait,offrir,18
un,un,71
moyen,moyen,21
bien,bien,60
simple,simple,30
de,de,81
rompre,rompre,14
avec,avec,81
le,le,71
marquis,marquis,21
Crescenzi,Crescenzi,20
/.,/.,P
je,je,51
n',ne,60
eus,avoir,19
point,point,60
le,le,71
courage,courage,21
de,de,81
quitter,quitter,14
la,le,71
forteresse,forteresse,22
et,et,82
je,je,51
suis,être,17
une,un,71
fille,fille,22
perdue,perdu,31
;,;,p
je,je,51
me,je,51
suis,être,17
attachée,attacher,12
à,à,81
un,un,71
homme,homme,21
léger,léger,30
:,:,p
je,je,51
sais,savoir,17
quelle,quel,52
a,avoir,17
été,être,12
sa,son,73
conduite,conduite,22
à,à,81
Naples,Naples,20
;,;,p
et,et,82
quelle,quel,75
raison,raison,22
aurais,avoir,16
je,je,51
de,de,81
croire,croire,14
qu',que,83
il,il,51
aura,avoir,15
changé,changer,12
de,de,81
caractère,caractère,21
/?,/?,P
enfermé,enfermé,31
dans,dans,81
une,un,71
prison,prison,22
sévère,sévère,30
",",",",p
il,il,51
a,avoir,17
fait,faire,12
la,le,71
cour,cour,22
à,à,81
la,le,71
seule,seul,30
femme,femme,22
qu',que,52
il,il,51
pût,pouvoir,18
voir,voir,14
",",",",p
elle,il,51
a,avoir,17
été,être,12
une,un,71
distraction,distraction,22
pour,pour,81
son,son,73
ennui,ennui,21
/.,/.,P
comme,comme,83
il,il,51
ne,ne,60
pouvait,pouvoir,18
lui,lui,51
parler,parler,21
qu',que,83
avec,avec,81
de,de,81
certaines,certain,75
difficultés,difficulté,22
",",",",p
cet,ce,74
amusement,amusement,21
a,avoir,17
pris,prendre,12
la,le,71
fausse,faux,30
apparence,apparence,22
d',de,81
une,un,71
passion,passion,22
/.,/.,P
ce,ce,74
prisonnier,prisonnier,21
s',se,51
étant,être,13
fait,faire,12
un,un,71
nom,nom,21
dans,dans,81
le,le,71
monde,monde,21
par,par,81
son,son,73
courage,courage,21
",",",",p
il,il,51
s',se,51
imagine,imaginer,17
prouver,prouver,14
que,que,83
son,son,73
amour,amour,21
est,être,17
mieux,mieux,60
qu',que,83
un,un,71
simple,simple,30
goût,goût,21
passager,passager,30
",",",",p
en,en,81
s',se,51
exposant,exposer,13
à,à,81
d',de,81
assez,assez,60
grands,grand,30
périls,péril,21
pour,pour,81
continuer,continuer,14
à,à,81
voir,voir,14
la,le,71
personne,personne,22
qu',que,52
il,il,51
croit,croire,17
aimer,aimer,14
/.,/.,P
mais,mais,82
dès,dès,81
qu',que,83
il,il,51
sera,être,15
dans,dans,81
une,un,71
grande,grand,30
ville,ville,22
",",",",p
entouré,entouré,31
de,de,81
nouveau,nouveau,21
des,de,81
des,le,71
séductions,séduction,22
de,de,81
la,le,71
société,société,22
",",",",p
il,il,51
sera,être,15
de,de,81
nouveau,nouveau,21
ce,ce,52
qu',que,52
il,il,51
a,avoir,17
toujours,toujours,60
été,être,12
",",",",p
un,un,71
homme,homme,21
du,de,81
du,le,71
monde,monde,21
adonné,adonné,31
aux,à,81
aux,le,71
dissipations,dissipation,22
",",",",p
à,à,81
la,le,71
galanterie,galanterie,22
",",",",p
et,et,82
sa,son,73
pauvre,pauvre,30
compagne,compagne,22
de,de,81
prison,prison,22
finira,finir,15
ses,son,73
jours,jour,21
dans,dans,81
un,un,71
couvent,couvent,21
",",",",p
oubliée,oublié,31
de,de,81
cet,ce,74
être,être,21
léger,léger,30
",",",",p
et,et,82
avec,avec,81
le,le,71
mortel,mortel,30
regret,regret,21
de,de,81
lui,lui,51
avoir,avoir,14
fait,faire,12
un,un,71
aveu,aveu,21
/.,/.,P
ce,ce,74
discours,discours,21
historique,historique,30
",",",",p
dont,dont,52
nous,nous,51
ne,ne,60
donnons,donner,17
que,que,83
les,le,71
principaux,principal,30
traits,trait,21
",",",",p
fut,être,19
comme,comme,83
on,on,51
le,le,52
pense,penser,17
bien,bien,60
",",",",p
vingt,vingt,72
fois,fois,22
interrompu,interrompre,12
par,par,81
Fabrice,Fabrice,20
/.,/.,P
il,il,51
était,être,18
éperdument,éperdument,60
amoureux,amoureux,30
",",",",p
aussi,aussi,60
il,il,51
était,être,18
parfaitement,parfaitement,60
convaincu,convaincre,12
qu',que,83
il,il,51
n',ne,60
avait,avoir,18
jamais,jamais,60
aimé,aimer,12
avant,avant,81
d',de,81
avoir,avoir,14
vu,voir,12
Clélia,Clélia,20
",",",",p
et,et,82
que,que,83
la,le,71
destinée,destinée,22
de,de,81
sa,son,73
vie,vie,22
était,être,18
de,de,81
ne,ne,60
vivre,vivre,14
que,que,83
pour,pour,81
elle,il,51
/.,/.,P
le,le,71
lecteur,lecteur,21
se,se,51
figure,figurer,17
sans,sans,81
doute,doute,21
les,le,71
belles,beau,30
choses,chose,22
qu',que,52
il,il,51
disait,dire,18
",",",",p
lorsque,lorsque,83
la,le,71
femme,femme,22
de,de,81
chambre,chambre,22
avertit,avertir,19
sa,son,73
maîtresse,maîtresse,22
que,que,83
onze,onze,72
heures,heure,22
et,et,82
demie,demi,30
venaient,venir,18
de,de,81
sonner,sonner,14
",",",",p
et,et,82
que,que,83
le,le,71
général,général,21
pouvait,pouvoir,18
rentrer,rentrer,14
à,à,81
tout,tout,75
moment,moment,21
;,;,p
la,le,71
séparation,séparation,22
fut,être,19
cruelle,cruel,30
/.,/.,P
-,-,p
je,je,51
vous,vous,51
vois,voir,17
peut-être,peut-être,60
pour,pour,81
la,le,71
dernière,dernier,30
fois,fois,22
",",",",p
dit,dire,19
Clélia,Clélia,20
au,à,81
au,le,71
prisonnier,prisonnier,21
:,:,p
une,un,71
mesure,mesure,22
qui,qui,52
est,être,17
dans,dans,81
l',le,71
intérêt,intérêt,21
évident,évident,30
de,de,81
la,le,71
cabale,cabale,22
Raversi,Raversi,20
peut,pouvoir,17
vous,vous,51
fournir,fournir,14
une,un,71
cruelle,cruel,30
façon,façon,22
de,de,81
prouver,prouver,14
que,que,83
vous,vous,51
n',ne,60
êtes,être,17
pas,pas,60
inconstant,inconstant,30
/.,/.,P
Clélia,Clélia,20
quitta,quitter,19
Fabrice,Fabrice,20
étouffée,étouffé,31
par,par,81
ses,son,73
sanglots,sanglot,21
",",",",p
et,et,82
mourant,mourir,13
de,de,81
honte,honte,22
de,de,81
ne,ne,60
pouvoir,pouvoir,14
les,le,52
dérober,dérober,14
entièrement,entièrement,60
à,à,81
sa,son,73
femme,femme,22
de,de,81
chambre,chambre,22
ni,ni,82
surtout,surtout,60
au,à,81
au,le,71
geôlier,geôlier,21
Grillo,Grillo,20
/.,/.,P
une,un,71
seconde,second,72
conversation,conversation,22
n',ne,60
était,être,18
possible,possible,30
que,que,83
lorsque,lorsque,83
le,le,71
général,général,21
annoncerait,annoncer,16
devoir,devoir,14
passer,passer,14
la,le,71
soirée,soirée,22
dans,dans,81
le,le,71
monde,monde,21
;,;,p
et,et,82
comme,comme,83
depuis,depuis,81
la,le,71
prison,prison,22
de,de,81
Fabrice,Fabrice,20
",",",",p
et,et,82
l',le,71
intérêt,intérêt,21
qu',que,52
elle,il,51
inspirait,inspirer,18
à,à,81
la,le,71
curiosité,curiosité,22
du,de,81
du,le,71
courtisan,courtisan,21
",",",",p
il,il,51
avait,avoir,18
trouvé,trouver,12
prudent,prudent,30
de,de,81
se,se,51
donner,donner,14
un,un,71
accès,accès,21
de,de,81
goutte,goutte,22
presque,presque,60
continuel,continuel,30
",",",",p
ses,son,73
courses,course,22
à,à,81
la,le,71
ville,ville,22
",",",",p
soumises,soumis,31
aux,à,81
aux,le,71
exigences,exigence,22
d',de,81
une,un,71
politique,politique,22
savante,savant,30
",",",",p
ne,ne,60
se,se,51
décidaient,décider,18
qu',que,83
au,à,81
au,le,71
moment,moment,21
de,de,81
monter,monter,14
en,en,81
voiture,voiture,22
/.,/.,P
depuis,depuis,81
cette,ce,74
soirée,soirée,22
dans,dans,81
la,le,71
chapelle,chapelle,22
de,de,81
marbre,marbre,21
",",",",p
la,le,71
vie,vie,22
de,de,81
Fabrice,Fabrice,20
fut,être,19
une,un,71
suite,suite,22
de,de,81
transports,transport,21
de,de,81
joie,joie,22
/.,/.,P
de,de,81
grands,grand,30
obstacles,obstacle,21
",",",",p
il,il,51
est,être,17
vrai,vrai,30
",",",",p
semblaient,sembler,18
encore,encore,60
s',se,51
opposer,opposer,14
à,à,81
son,son,73
bonheur,bonheur,21
;,;,p
mais,mais,82
enfin,enfin,60
il,il,51
avait,avoir,18
cette,ce,74
joie,joie,22
suprême,suprême,30
et,et,82
peu,peu,60
espérée,espéré,31
d',de,81
être,être,14
aimé,aimer,12
par,par,81
l',le,71
être,être,21
divin,divin,30
qui,qui,52
occupait,occuper,18
toutes,tout,75
ses,son,73
pensées,pensée,22
/.,/.,P
la,le,71
troisième,troisième,72
journée,journée,22
après,après,81
cette,ce,74
entrevue,entrevue,22
",",",",p
les,le,71
signaux,signal,21
de,de,81
la,le,71
lampe,lampe,22
finirent,finir,19
de,de,81
fort,fort,60
bonne,bon,30
heure,heure,22
",",",",p
à,à,81
peu,peu,60
près,près,81
sur,sur,81
le,le,71
minuit,minuit,21
;,;,p
à,à,81
l',le,71
instant,instant,21
où,où,60
ils,ils,51
se,se,51
terminaient,terminer,18
",",",",p
Fabrice,Fabrice,20
eut,avoir,19
presque,presque,60
la,le,71
tête,tête,22
cassée,cassé,31
par,par,81
une,un,71
grosse,gros,30
balle,balle,22
de,de,81
plomb,plomb,21
qui,qui,52
",",",",p
lancée,lancé,31
dans,dans,81
la,le,71
partie,partie,22
supérieure,supérieur,30
de,de,81
l',le,71
abat-jour,abat-jour,21
de,de,81
sa,son,73
fenêtre,fenêtre,22
",",",",p
vint,venir,19
briser,briser,14
ses,son,73
vitres,vitre,22
de,de,81
papier,papier,21
et,et,82
tomba,tomber,19
dans,dans,81
sa,son,73
chambre,chambre,22
/.,/.,P
cette,ce,74
fort,fort,60
grosse,gros,30
balle,balle,22
n',ne,60
était,être,18
point,point,60
aussi,aussi,60
pesante,pesant,30
à,à,81
beaucoup,beaucoup,60
près,près,81
que,que,83
l',le,52
annonçait,annoncer,18
son,son,73
volume,volume,21
;,;,p
Fabrice,Fabrice,20
réussit,réussir,19
facilement,facilement,60
à,à,81
l',le,52
ouvrir,ouvrir,14
et,et,82
trouva,trouver,19
une,un,71
lettre,lettre,22
de,de,81
la,le,71
duchesse,duchesse,22
/.,/.,P
par,par,81
l',le,71
entremise,entremise,22
de,de,81
l',le,71
archevêque,archevêque,21
qu',que,52
elle,il,51
flattait,flatter,18
avec,avec,81
soin,soin,21
",",",",p
elle,il,51
avait,avoir,18
gagné,gagner,12
un,un,71
soldat,soldat,21
