11441
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante-quatrième extrait>,<>,<>
chambre,chambre,22
où,où,60
dormait,dormir,18
Brigitte,Brigitte,20
/.,/.,P
elle,il,51
me,je,51
trouva,trouver,19
plus,plus,60
d',de,81
une,un,71
fois,fois,22
",",",",p
en,en,81
s',se,51
éveillant,éveiller,13
",",",",p
à,à,81
genoux,genou,21
au,à,81
au,le,71
pied,pied,21
de,de,81
son,son,73
lit,lit,21
",",",",p
la,le,52
regardant,regarder,13
dormir,dormir,14
et,et,82
ne,ne,60
pouvant,pouvoir,13
retenir,retenir,14
mes,mon,73
larmes,larme,22
;,;,p
je,je,51
ne,ne,60
savais,savoir,18
par,par,81
quel,quel,75
moyen,moyen,21
la,le,52
convaincre,convaincre,14
de,de,81
la,le,71
sincérité,sincérité,22
de,de,81
mon,mon,73
repentir,repentir,21
/.,/.,P
si,si,83
mon,mon,73
amour,amour,21
pour,pour,81
ma,mon,73
première,premier,72
maîtresse,maîtresse,22
m',je,51
avait,avoir,18
fait,faire,12
faire,faire,14
autrefois,autrefois,60
des,de,81
des,le,71
folies,folie,22
",",",",p
j',je,51
en,en,52
faisais,faire,18
maintenant,maintenant,60
cent,cent,72
fois,fois,22
plus,plus,60
;,;,p
tout,tout,52
ce,ce,52
que,que,52
la,le,71
passion,passion,22
portée,porté,31
à,à,81
l',le,71
excès,excès,21
peut,pouvoir,17
inspirer,inspirer,14
d',de,81
étrange,étrange,30
ou,ou,82
de,de,81
violent,violent,30
",",",",p
je,je,51
le,le,52
recherchais,rechercher,18
avec,avec,81
fureur,fureur,22
/.,/.,P
c',ce,52
était,être,18
un,un,71
culte,culte,21
que,que,52
j',je,51
avais,avoir,18
pour,pour,81
Brigitte,Brigitte,20
",",",",p
et,et,82
",",",",p
quoique,quoique,83
son,son,73
amant,amant,21
depuis,depuis,81
plus,plus,60
de,de,81
six,six,72
mois,mois,21
",",",",p
il,il,51
me,je,51
semblait,sembler,18
",",",",p
quand,quand,83
je,je,51
l',le,52
approchais,approcher,18
",",",",p
que,que,83
je,je,51
la,le,52
voyais,voir,18
pour,pour,81
la,le,71
première,premier,72
fois,fois,22
;,;,p
j',je,51
osais,oser,18
à,à,81
peine,peine,22
baiser,baiser,14
le,le,71
bas,bas,21
de,de,81
la,le,71
robe,robe,22
de,de,81
cette,ce,74
femme,femme,22
que,que,52
j',je,51
avais,avoir,18
si,si,60
longtemps,longtemps,60
maltraitée,maltraiter,12
/.,/.,P
ses,son,73
moindres,moindre,30
mots,mot,21
me,je,51
faisaient,faire,18
tressaillir,tressaillir,14
comme,comme,83
si,si,83
sa,son,73
voix,voix,22
m',je,51
eût,avoir,19
été,être,12
nouvelle,nouveau,30
;,;,p
tantôt,tantôt,60
je,je,51
me,je,51
jetais,jeter,18
dans,dans,81
ses,son,73
bras,bras,21
en,en,81
sanglotant,sangloter,13
",",",",p
et,et,82
tantôt,tantôt,60
j',je,51
éclatais,éclater,18
de,de,81
rire,rire,21
sans,sans,81
motif,motif,21
;,;,p
je,je,51
ne,ne,60
parlais,parler,18
de,de,81
ma,mon,73
conduite,conduite,22
passée,passé,31
qu',que,83
avec,avec,81
horreur,horreur,22
et,et,82
avec,avec,81
dégoût,dégoût,21
",",",",p
et,et,82
j',je,51
aurais,avoir,16
voulu,vouloir,12
qu',que,83
il,il,51
eût,avoir,19
existé,exister,12
quelque,quelque,75
part,part,22
un,un,71
temple,temple,21
consacré,consacré,31
à,à,81
l',le,71
amour,amour,21
",",",",p
pour,pour,81
m',je,51
y,y,52
laver,laver,14
dans,dans,81
un,un,71
baptême,baptême,21
et,et,82
m',je,51
y,y,52
couvrir,couvrir,14
d',de,81
un,un,71
vêtement,vêtement,21
distinct,distinct,30
que,que,52
rien,rien,52
désormais,désormais,60
n',ne,60
eût,avoir,19
pu,pouvoir,12
m',je,51
arracher,arracher,14
/.,/.,P
j',je,51
ai,avoir,17
vu,voir,12
le,le,71
saint,saint,30
Thomas,Thomas,20
du,de,81
du,le,71
Titien,Titien,20
poser,poser,14
son,son,73
doigt,doigt,21
sur,sur,81
la,le,71
plaie,plaie,22
du,de,81
du,le,71
Christ,Christ,20
et,et,82
j',je,51
ai,avoir,17
souvent,souvent,60
pensé,penser,12
à,à,81
lui,lui,51
;,;,p
si,si,83
j',je,51
osais,oser,18
comparer,comparer,14
l',le,71
amour,amour,21
à,à,81
la,le,71
foi,foi,22
d',de,81
un,un,71
homme,homme,21
en,en,81
son,son,73
dieu,dieu,21
",",",",p
je,je,51
pourrais,pouvoir,16
dire,dire,14
que,que,83
je,je,51
lui,lui,51
ressemblais,ressembler,18
/.,/.,P
quel,quel,75
nom,nom,21
porte,porter,17
le,le,71
sentiment,sentiment,21
qu',que,52
exprime,exprimer,17
cette,ce,74
tête,tête,22
inquiète,inquiet,30
",",",",p
presque,presque,60
doutant,douter,13
encore,encore,60
et,et,82
adorant,adorer,13
déjà,déjà,60
/?,/?,P
il,il,51
touche,toucher,17
la,le,71
plaie,plaie,22
;,;,p
le,le,71
blasphème,blasphème,21
étonné,étonné,31
s',se,51
arrête,arrêter,17
sur,sur,81
ses,son,73
lèvres,lèvre,22
ouvertes,ouvert,31
",",",",p
où,où,60
la,le,71
prière,prière,22
se,se,51
pose,poser,17
doucement,doucement,60
/.,/.,P
est,être,17
ce,ce,52
un,un,71
apôtre,apôtre,21
?,?,p
est,être,17
ce,ce,52
un,un,71
impie,impie,21
?,?,p
se,se,51
repent,repentir,17
il,il,51
autant,autant,60
qu',que,83
il,il,51
a,avoir,17
offensé,offenser,12
/?,/?,P
ni,ni,82
lui,lui,51
",",",",p
ni,ni,82
le,le,71
peintre,peintre,21
",",",",p
ni,ni,82
toi,toi,51
qui,qui,52
le,le,52
regardes,regarder,17
",",",",p
vous,vous,51
n',ne,60
en,en,52
savez,savoir,17
rien,rien,52
;,;,p
le,le,71
sauveur,sauveur,21
sourit,sourire,17
",",",",p
et,et,82
tout,tout,52
s',se,51
absorbe,absorber,17
comme,comme,83
une,un,71
goutte,goutte,22
de,de,81
rosée,rosée,22
dans,dans,81
un,un,71
rayon,rayon,21
de,de,81
l',le,71
immense,immense,30
bonté,bonté,22
/.,/.,P
c',ce,52
est,être,17
ainsi,ainsi,60
que,que,83
",",",",p
devant,devant,81
Brigitte,Brigitte,20
",",",",p
j',je,51
étais,être,18
muet,muet,30
et,et,82
comme,comme,83
surpris,surpris,31
sans,sans,81
cesse,cesse,22
;,;,p
je,je,51
tremblais,trembler,18
qu',que,83
elle,il,51
ne,ne,60
conservât,conserver,18
des,de,81
des,le,71
craintes,crainte,22
",",",",p
et,et,82
que,que,83
tant,tant,60
de,de,81
changements,changement,21
qu',que,52
elle,il,51
avait,avoir,18
vus,voir,12
en,en,81
moi,moi,51
ne,ne,60
la,le,52
rendissent,rendre,18
défiante,défiant,30
/.,/.,P
mais,mais,82
au,à,81
au,le,71
bout,bout,21
de,de,81
quinze,quinze,72
jours,jour,21
",",",",p
elle,il,51
avait,avoir,18
lu,lire,12
clairement,clairement,60
dans,dans,81
mon,mon,73
coeur,coeur,21
;,;,p
elle,il,51
comprit,comprendre,19
qu',que,83
en,en,81
la,le,52
voyant,voir,13
sincère,sincère,30
",",",",p
je,je,51
l',le,52
étais,être,18
devenu,devenir,12
à,à,81
mon,mon,73
tour,tour,21
",",",",p
et,et,82
comme,comme,83
mon,mon,73
amour,amour,21
venait,venir,18
de,de,81
son,son,73
courage,courage,21
",",",",p
elle,il,51
ne,ne,60
douta,douter,19
pas,pas,60
plus,plus,60
de,de,81
l',le,71
un,un,52
que,que,83
de,de,81
l',le,71
autre,autre,52
/.,/.,P
notre,notre,73
chambre,chambre,22
était,être,18
pleine,plein,30
de,de,81
hardes,harde,22
en,en,81
désordre,désordre,21
",",",",p
d',de,81
albums,album,21
",",",",p
de,de,81
crayons,crayon,21
",",",",p
de,de,81
livres,livre,21
",",",",p
de,de,81
paquets,paquet,21
",",",",p
et,et,82
sur,sur,81
tout,tout,75
cela,cela,52
",",",",p
toujours,toujours,60
étalée,étalé,31
",",",",p
la,le,71
chère,cher,30
carte,carte,22
que,que,52
nous,nous,51
aimions,aimer,18
tant,tant,60
/.,/.,P
nous,nous,51
allions,aller,18
et,et,82
venions,venir,18
;,;,p
je,je,51
m',je,51
arrêtais,arrêter,18
à,à,81
tout,tout,75
moment,moment,21
pour,pour,81
me,je,51
jeter,jeter,14
aux,à,81
aux,le,71
genoux,genou,21
de,de,81
Brigitte,Brigitte,20
",",",",p
qui,qui,52
me,je,51
traitait,traiter,18
de,de,81
paresseux,paresseux,30
",",",",p
disant,dire,13
en,en,81
riant,rire,13
qu',que,83
il,il,51
lui,lui,51
fallait,falloir,18
tout,tout,52
faire,faire,14
et,et,82
que,que,83
je,je,51
n',ne,60
étais,être,18
bon,bon,30
à,à,81
rien,rien,52
;,;,p
et,et,82
",",",",p
tout,tout,60
en,en,81
préparant,préparer,13
les,le,71
malles,malle,22
",",",",p
les,le,71
projets,projet,21
allaient,aller,18
",",",",p
comme,comme,83
on,on,51
pense,penser,17
/.,/.,P
c',ce,52
était,être,18
bien,bien,60
loin,loin,60
de,de,81
gagner,gagner,14
la,le,71
Sicile,Sicile,20
;,;,p
mais,mais,82
l',le,71
hiver,hiver,21
y,y,52
est,être,17
si,si,60
agréable,agréable,30
!,!,p
c',ce,52
est,être,17
le,le,71
climat,climat,21
le,le,71
plus,plus,60
heureux,heureux,30
/.,/.,P
Gênes,Gênes,20
est,être,17
bien,bien,60
belle,beau,30
avec,avec,81
ses,son,73
maisons,maison,22
peintes,peint,31
",",",",p
ses,son,73
jardins,jardin,21
verts,vert,30
en,en,81
espalier,espalier,21
et,et,82
les,le,71
Apennins,Apennins,20
derrière,derrière,81
elle,il,51
/.,/.,P
mais,mais,82
que,que,52
de,de,81
bruit,bruit,21
!,!,p
quelle,quel,75
multitude,multitude,22
/!,/!,P
sur,sur,81
trois,trois,72
hommes,homme,21
qui,qui,52
passent,passer,17
dans,dans,81
les,le,71
rues,rue,22
",",",",p
il,il,51
y,y,52
a,avoir,17
un,un,71
moine,moine,21
et,et,82
un,un,71
soldat,soldat,21
/.,/.,P
Florence,Florence,20
est,être,17
triste,triste,30
;,;,p
c',ce,52
est,être,17
le,le,71
moyen âge,moyen-âge,21
encore,encore,60
vivant,vivre,13
au,à,81
au,le,71
milieu,milieu,21
de,de,81
nous,nous,51
/.,/.,P
comment,comment,60
souffrir,souffrir,14
ces,ce,74
fenêtres,fenêtre,22
grillées,grillé,31
et,et,82
cette,ce,74
affreuse,affreux,30
couleur,couleur,22
brune,brun,30
dont,dont,52
les,le,71
maisons,maison,22
sont,être,17
toutes,tout,52
salies,salir,12
/?,/?,P
qu',que,52
irions,aller,16
nous,nous,51
faire,faire,14
à,à,81
Rome,Rome,20
?,?,p
nous,nous,51
ne,ne,60
voyageons,voyager,17
pas,pas,60
pour,pour,81
nous,nous,51
éblouir,éblouir,14
",",",",p
et,et,82
encore,encore,60
moins,moins,60
pour,pour,81
rien,rien,52
apprendre,apprendre,14
/.,/.,P
si,si,83
nous,nous,51
allions,aller,18
sur,sur,81
les,le,71
bords,bord,21
du,de,81
du,le,71
Rhin,Rhin,20
/?,/?,P
mais,mais,82
la,le,71
saison,saison,22
y,y,52
sera,être,15
passée,passer,12
",",",",p
et,et,82
quoiqu',quoique,83
on,on,51
ne,ne,60
cherche,chercher,17
pas,pas,60
le,le,71
monde,monde,21
",",",",p
il,il,51
est,être,17
toujours,toujours,60
triste,triste,30
d',de,81
aller,aller,14
où,où,60
il,il,51
va,aller,17
",",",",p
quand,quand,83
il,il,51
n',ne,60
y,y,52
est,être,17
plus,plus,60
/.,/.,P
mais,mais,82
l',le,71
Espagne,Espagne,20
/?,/?,P
trop,trop,60
d',de,81
embarras,embarras,21
nous,nous,51
y,y,52
arrêteraient,arrêter,16
;,;,p
il,il,51
faut,falloir,17
y,y,52
marcher,marcher,14
comme,comme,83
en,en,81
guerre,guerre,22
et,et,82
s',se,51
attendre,attendre,14
à,à,81
tout,tout,52
",",",",p
hormis,hormis,81
au,à,81
au,le,71
repos,repos,21
/.,/.,P
allons,aller,17
en,en,81
Suisse,Suisse,20
;,;,p
si,si,83
tant,tant,60
de,de,81
gens,gens,21
y,y,52
voyagent,voyager,17
",",",",p
laissons,laisser,17
les,le,71
sots,sot,21
en,en,52
faire,faire,14
fi,fi,60
;,;,p
c',ce,52
est,être,17
là,là,60
qu',que,83
éclatent,éclater,17
dans,dans,81
toute,tout,75
leur,leur,73
splendeur,splendeur,22
les,le,71
trois,trois,72
couleurs,couleur,22
les,le,71
plus,plus,60
chères,cher,30
à,à,81
dieu,dieu,21
:,:,p
l',le,71
azur,azur,21
du,de,81
du,le,71
ciel,ciel,21
",",",",p
la,le,71
verdure,verdure,22
des,de,81
des,le,71
plaines,plaine,22
et,et,82
la,le,71
blancheur,blancheur,22
des,de,81
des,le,71
neiges,neige,22
au,à,81
au,le,71
sommet,sommet,21
des,de,81
des,le,71
glaciers,glacier,21
/.,/.,P
-,-,p
partons,partir,17
",",",",p
partons,partir,17
",",",",p
disait,dire,18
Brigitte,Brigitte,20
",",",",p
envolons,envoler,17
nous,nous,51
comme,comme,83
deux,deux,72
oiseaux,oiseau,21
/.,/.,P
figurons,figurer,17
nous,nous,51
",",",",p
mon,mon,73
cher,cher,30
Octave,Octave,20
",",",",p
que,que,83
c',ce,52
est,être,17
d',de,81
hier,hier,60
que,que,83
nous,nous,51
nous,nous,51
connaissons,connaître,17
/.,/.,P
vous,vous,51
m',je,51
avez,avoir,17
rencontrée,rencontrer,12
au,à,81
au,le,71
bal,bal,21
",",",",p
je,je,51
vous,vous,51
ai,avoir,17
plu,plaire,12
et,et,82
je,je,51
vous,vous,51
aime,aimer,17
;,;,p
vous,vous,51
me,je,51
contez,conter,17
qu',que,83
à,à,81
quelques,quelque,75
lieues,lieue,22
d',de,81
ici,ici,60
",",",",p
dans,dans,81
je,je,51
ne,ne,60
sais,savoir,17
quelle,quel,75
petite,petit,30
ville,ville,22
",",",",p
vous,vous,51
avez,avoir,17
aimé,aimer,12
une,un,71
madame,madame,22
Pierson,Pierson,20
;,;,p
ce,ce,52
qui,qui,52
s',se,51
est,être,17
passé,passer,12
entre,entre,81
vous,vous,51
et,et,82
elle,il,51
",",",",p
je,je,51
ne,ne,60
le,le,52
veux,vouloir,17
seulement,seulement,60
pas,pas,60
croire,croire,14
/.,/.,P
n',ne,60
iriez,aller,16
vous,vous,51
pas,pas,60
me,je,51
faire,faire,14
confidence,confidence,22
de,de,81
vos,votre,73
amours,amour,21
avec,avec,81
une,un,71
femme,femme,22
que,que,52
vous,vous,51
avez,avoir,17
quittée,quitter,12
pour,pour,81
moi,moi,51
/?,/?,P
je,je,51
vous,vous,51
dis,dire,17
tout,tout,60
bas,bas,60
à,à,81
mon,mon,73
tour,tour,21
qu',que,52
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
bien,bien,60
longtemps,longtemps,60
encore,encore,60
",",",",p
j',je,51
ai,avoir,17
aimé,aimer,12
un,un,71
mauvais,mauvais,30
sujet,sujet,21
qui,qui,52
m',je,51
a,avoir,17
rendue,rendre,12
assez,assez,60
malheureuse,malheureux,30
;,;,p
vous,vous,51
me,je,51
plaignez,plaindre,17
",",",",p
vous,vous,51
m',je,51
imposez,imposer,17
silence,silence,21
",",",",p
et,et,82
il,il,51
est,être,17
convenu,convenir,12
entre,entre,81
nous,nous,51
qu',que,83
il,il,51
n',ne,60
en,en,52
sera,être,15
jamais,jamais,60
question,question,22
/.,/.,P
lorsque,lorsque,83
Brigitte,Brigitte,20
parlait,parler,18
ainsi,ainsi,60
",",",",p
ce,ce,52
que,que,52
j',je,51
éprouvais,éprouver,18
ressemblait,ressembler,18
à,à,81
de,de,81
l',le,71
avarice,avarice,22
;,;,p
je,je,51
la,le,52
serrais,serrer,18
avec,avec,81
des,de,81
des,le,71
bras,bras,21
tremblants,tremblant,30
/.,/.,P
-,-,p
o,oh,93
dieu,dieu,21
!,!,p
m',je,51
écriais,écrier,18
je,je,51
",",",",p
je,je,51
ne,ne,60
sais,savoir,17
si,si,83
c',ce,52
est,être,17
de,de,81
joie,joie,22
ou,ou,82
de,de,81
crainte,crainte,22
que,que,83
je,je,51
frissonne,frissonner,17
/.,/.,P
je,je,51
vais,aller,17
t',tu,51
emporter,emporter,14
",",",",p
mon,mon,73
trésor,trésor,21
/.,/.,P
devant,devant,81
cet,ce,74
horizon,horizon,21
immense,immense,30
",",",",p
tu,tu,51
es,être,17
à,à,81
moi,moi,51
!,!,p
nous,nous,51
allons,aller,17
partir,partir,14
/.,/.,P
meure,mourir,17
ma,mon,73
jeunesse,jeunesse,22
",",",",p
meurent,mourir,17
les,le,71
souvenirs,souvenir,21
",",",",p
meurent,mourir,17
les,le,71
soucis,souci,21
et,et,82
les,le,71
regrets,regret,21
/!,/!,P
o,oh,93
ma,mon,73
bonne,bon,30
et,et,82
brave,brave,30
maîtresse,maîtresse,22
!,!,p
tu,tu,51
as,avoir,17
fait,faire,12
un,un,71
homme,homme,21
d',de,81
un,un,71
enfant,enfant,21
/!,/!,P
si,si,83
je,je,51
te,tu,51
perdais,perdre,18
maintenant,maintenant,60
",",",",p
jamais,jamais,60
je,je,51
ne,ne,60
pourrais,pouvoir,16
aimer,aimer,14
/.,/.,P
peut-être,peut-être,60
",",",",p
avant,avant,81
de,de,81
te,tu,51
connaître,connaître,14
",",",",p
une,un,71
autre,autre,75
femme,femme,22
aurait,avoir,16
pu,pouvoir,12
me,je,51
guérir,guérir,14
;,;,p
mais,mais,82
maintenant,maintenant,60
toi,toi,51
seule,seul,30
au,à,81
au,le,71
monde,monde,21
tu,tu,51
peux,pouvoir,17
me,je,51
tuer,tuer,14
ou,ou,82
me,je,51
sauver,sauver,14
;,;,p
car,car,82
je,je,51
porte,porter,17
au,à,81
au,le,71
coeur,coeur,21
la,le,71
blessure,blessure,22
de,de,81
tout,tout,75
le,le,71
mal,mal,21
que,que,52
je,je,51
t',tu,51
ai,avoir,17
fait,faire,12
/.,/.,P
j',je,51
ai,avoir,17
été,être,12
ingrat,ingrat,30
",",",",p
aveugle,aveugle,30
et,et,82
cruel,cruel,30
/.,/.,P
dieu,dieu,21
soit,être,17
béni,bénir,12
!,!,p
tu,tu,51
m',je,51
aimes,aimer,17
encore,encore,60
/.,/.,P
si,si,83
jamais,jamais,60
tu,tu,51
retournes,retourner,17
au,à,81
au,le,71
village,village,21
où,où,60
je,je,51
t',tu,51
ai,avoir,17
vue,voir,12
