11802
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Trente-septième extrait>,<>,<>
de,de,81
l',le,71
officier,officier,21
de,de,81
justice,justice,22
:,:,p
“,“,p
me,je,51
voici,voici,81
",",",",p
monsieur,monsieur,21
",",",",p
lui,lui,51
dit,dire,19
il,il,51
;,;,p
j',je,51
ai,avoir,17
lu,lire,12
la,le,71
lettre,lettre,22
",",",",p
et,et,82
vous,vous,51
avez,avoir,17
bien,bien,60
fait,faire,12
d',de,81
arrêter,arrêter,14
cet,ce,74
homme,homme,21
;,;,p
maintenant,maintenant,60
donnez,donner,17
moi,moi,51
sur,sur,81
lui,lui,51
et,et,82
sur,sur,81
la,le,71
conspiration,conspiration,22
tous,tout,75
les,le,71
détails,détail,21
que,que,52
vous,vous,51
avez,avoir,17
recueillis,recueillir,12
/.,/.,P
-,-,p
de,de,81
la,le,71
conspiration,conspiration,22
",",",",p
monsieur,monsieur,21
",",",",p
nous,nous,51
ne,ne,60
savons,savoir,17
rien,rien,52
encore,encore,60
;,;,p
tous,tout,75
les,le,71
papiers,papier,21
saisis,saisi,31
sur,sur,81
lui,lui,51
ont,avoir,17
été,être,12
enfermés,enfermer,12
en,en,81
une,un,71
seule,seul,30
liasse,liasse,22
",",",",p
et,et,82
déposés,déposé,31
cachetés,cacheté,31
sur,sur,81
votre,votre,73
bureau,bureau,21
/.,/.,P
quant,quand,83
au,à,81
au,le,71
prévenu,prévenu,21
",",",",p
vous,vous,51
l',le,52
avez,avoir,17
vu,voir,12
par,par,81
la,le,71
lettre,lettre,22
même,même,30
qui,qui,52
le,le,52
dénonce,dénoncer,17
",",",",p
c',ce,52
est,être,17
un,un,71
nommé,nommé,31
Edmond,Edmond,20
Dantès,Dantès,20
",",",",p
second,second,72
à,à,81
bord,bord,21
du,de,81
du,le,71
trois-mâts,trois-mâts,21
le,le,71
Pharaon,Pharaon,20
",",",",p
faisant,faire,13
le,le,71
commerce,commerce,21
de,de,81
coton,coton,21
avec,avec,81
Alexandrie,Alexandrie,20
et,et,82
Smyrne,Smyrne,20
",",",",p
et,et,82
appartenant,appartenir,13
à,à,81
la,le,71
maison,maison,22
Morrel,Morrel,20
et,et,82
fils,fils,21
",",",",p
de,de,81
Marseille,Marseille,20
/.,/.,P
-,-,p
avant,avant,81
de,de,81
servir,servir,14
dans,dans,81
la,le,71
marine,marine,22
marchande,marchand,30
",",",",p
avait,avoir,18
il,il,51
servi,servir,12
dans,dans,81
la,le,71
marine,marine,22
militaire,militaire,30
/?,/?,P
oh,oh,93
!,!,p
non,non,60
",",",",p
monsieur,monsieur,21
;,;,p
c',ce,52
est,être,17
un,un,71
tout,tout,60
jeune,jeune,30
homme,homme,21
/.,/.,P
-,-,p
quel,quel,75
âge,âge,21
/?,/?,P
dix-,dix,72
neuf,neuf,72
ou,ou,82
vingt,vingt,72
ans,an,21
au,à,81
au,le,71
plus,plus,60
/.,/.,P
“,“,p
en,en,81
ce,ce,74
moment,moment,21
",",",",p
et,et,82
comme,comme,83
Villefort,Villefort,20
",",",",p
en,en,81
suivant,suivre,13
la,le,71
grande,grand,30
rue,rue,22
",",",",p
était,être,18
arrivé,arriver,12
au,à,81
au,le,71
coin,coin,21
de,de,81
la,le,71
rue,rue,22
des,de,81
des,le,71
Conseils,conseil,21
",",",",p
un,un,71
homme,homme,21
qui,qui,52
semblait,sembler,18
l',le,52
attendre,attendre,14
au,à,81
au,le,71
passage,passage,21
l',le,52
aborda,aborder,19
:,:,p
c',ce,52
était,être,18
monsieur,monsieur,21
Morrel,Morrel,20
/.,/.,P
“,“,p
ah,ah,93
!,!,p
monsieur,monsieur,21
de,de,81
Villefort,Villefort,20
!,!,p
s',se,51
écria,écrier,19
le,le,71
brave,brave,30
homme,homme,21
en,en,81
apercevant,apercevoir,13
le,le,71
substitut,substitut,21
",",",",p
je,je,51
suis,être,17
bien,bien,60
heureux,heureux,30
de,de,81
vous,vous,51
rencontrer,rencontrer,14
/.,/.,P
imaginez,imaginer,17
vous,vous,51
qu',que,83
on,on,51
vient,venir,17
de,de,81
commettre,commettre,14
la,le,71
méprise,méprise,22
la,le,71
plus,plus,60
étrange,étrange,30
",",",",p
la,le,71
plus,plus,60
inouïe,inouï,30
:,:,p
on,on,51
vient,venir,17
d',de,81
arrêter,arrêter,14
le,le,71
second,second,72
de,de,81
mon,mon,73
bâtiment,bâtiment,21
",",",",p
Edmond,Edmond,20
Dantès,Dantès,20
/.,/.,P
-,-,p
je,je,51
le,le,52
sais,savoir,17
",",",",p
monsieur,monsieur,21
",",",",p
dit,dire,19
Villefort,Villefort,20
",",",",p
et,et,82
je,je,51
viens,venir,17
pour,pour,81
l',le,52
interroger,interroger,14
/.,/.,P
-,-,p
oh,oh,93
!,!,p
monsieur,monsieur,21
",",",",p
continua,continuer,19
monsieur,monsieur,21
Morrel,Morrel,20
",",",",p
emporté,emporté,31
par,par,81
son,son,73
amitié,amitié,22
pour,pour,81
le,le,71
jeune,jeune,30
homme,homme,21
",",",",p
vous,vous,51
ne,ne,60
connaissez,connaître,17
pas,pas,60
celui,celui,52
qu',que,52
on,on,51
accuse,accuser,17
",",",",p
et,et,82
je,je,51
le,le,52
connais,connaître,17
",",",",p
moi,moi,51
:,:,p
imaginez,imaginer,17
vous,vous,51
l',le,71
homme,homme,21
le,le,71
plus,plus,60
doux,doux,30
",",",",p
l',le,71
homme,homme,21
le,le,71
plus,plus,60
probe,probe,30
",",",",p
et,et,82
j',je,51
oserai,oser,15
presque,presque,60
dire,dire,14
l',le,71
homme,homme,21
qui,qui,52
sait,savoir,17
le,le,71
mieux,mieux,60
son,son,73
état,état,21
de,de,81
toute,tout,75
la,le,71
marine,marine,22
marchande,marchand,30
/.,/.,P
o,oh,93
monsieur,monsieur,21
de,de,81
Villefort,Villefort,20
!,!,p
je,je,51
vous,vous,51
le,le,52
recommande,recommander,17
bien,bien,60
sincèrement,sincèrement,60
et,et,82
de,de,81
tout,tout,75
mon,mon,73
coeur,coeur,21
/.,/.,P
“,“,p
Villefort,Villefort,20
",",",",p
comme,comme,83
on,on,51
a,avoir,17
pu,pouvoir,12
le,le,52
voir,voir,14
",",",",p
appartenait,appartenir,18
au,à,81
au,le,71
parti,parti,21
noble,noble,30
de,de,81
la,le,71
ville,ville,22
",",",",p
et,et,82
Morrel,Morrel,20
au,à,81
au,le,71
parti,parti,21
plébéien,plébéien,30
;,;,p
le,le,71
premier,premier,72
était,être,18
royaliste,royaliste,30
ultra,ultra,30
",",",",p
le,le,71
second,second,72
était,être,18
soupçonné,soupçonner,12
de,de,81
sourd,sourd,30
bonapartisme,bonapartisme,21
/.,/.,P
Villefort,Villefort,20
regarda,regarder,19
dédaigneusement,dédaigneusement,60
Morrel,Morrel,20
",",",",p
et,et,82
lui,lui,51
répondit,répondre,19
avec,avec,81
froideur,froideur,22
:,:,p
“,“,p
vous,vous,51
savez,savoir,17
",",",",p
monsieur,monsieur,21
",",",",p
qu',que,83
on,on,51
peut,pouvoir,17
être,être,14
doux,doux,30
dans,dans,81
la,le,71
vie,vie,22
privée,privé,31
",",",",p
probe,probe,30
dans,dans,81
ses,son,73
relations,relation,22
commerciales,commercial,30
",",",",p
savant,savant,30
dans,dans,81
son,son,73
état,état,21
",",",",p
et,et,82
n',ne,60
en,en,52
être,être,14
pas,pas,60
moins,moins,60
un,un,71
grand,grand,30
coupable,coupable,21
",",",",p
politiquement,politiquement,60
parlant,parlant,30
;,;,p
vous,vous,51
le,le,52
savez,savoir,17
",",",",p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
",",",",p
monsieur,monsieur,21
/?,/?,P
et,et,82
le,le,71
magistrat,magistrat,21
appuya,appuyer,19
sur,sur,81
ces,ce,74
derniers,dernier,30
mots,mot,21
",",",",p
comme,comme,83
s',si,83
il,il,51
en,en,52
voulait,vouloir,18
faire,faire,14
l',le,71
application,application,22
à,à,81
l',le,71
armateur,armateur,21
lui-même,lui-même,51
;,;,p
tandis que,tandis que,83
son,son,73
regard,regard,21
scrutateur,scrutateur,21
semblait,sembler,18
vouloir,vouloir,14
pénétrer,pénétrer,14
jusqu',jusque,81
au,à,81
au,le,71
fond,fond,21
du,de,81
du,le,71
coeur,coeur,21
de,de,81
cet,ce,74
homme,homme,21
assez,assez,60
hardi,hardi,30
d',de,81
intercéder,intercéder,14
pour,pour,81
un,un,71
autre,autre,52
",",",",p
quand,quand,83
il,il,51
devait,devoir,18
savoir,savoir,14
que,que,83
lui-même,lui-même,51
avait,avoir,18
besoin,besoin,21
d',de,81
indulgence,indulgence,22
/.,/.,P
Morrel,Morrel,20
rougit,rougir,17
",",",",p
car,car,82
il,il,51
ne,ne,60
se,se,51
sentait,sentir,18
pas,pas,60
la,le,71
conscience,conscience,22
bien,bien,60
nette,net,30
à,à,81
l',le,71
endroit,endroit,21
des,de,81
des,le,71
opinions,opinion,22
politiques,politique,30
;,;,p
et,et,82
d',de,81
ailleurs,ailleurs,60
la,le,71
confidence,confidence,22
que,que,52
lui,lui,51
avait,avoir,18
faite,faire,12
Dantès,Dantès,20
à,à,81
l',le,71
endroit,endroit,21
de,de,81
son,son,73
entrevue,entrevue,22
avec,avec,81
le,le,71
grand,grand,30
maréchal,maréchal,21
et,et,82
des,de,81
des,le,71
quelques,quelque,75
mots,mot,21
que,que,52
lui,lui,51
avait,avoir,18
adressés,adresser,12
l',le,71
empereur,empereur,21
lui,lui,51
troublait,troubler,18
quelque,quelque,75
peu,peu,60
l',le,71
esprit,esprit,21
/.,/.,P
il,il,51
ajouta,ajouter,19
",",",",p
toutefois,toutefois,60
",",",",p
avec,avec,81
l',le,71
accent,accent,21
du,de,81
du,le,71
plus,plus,60
profond,profond,30
intérêt,intérêt,21
:,:,p
“,“,p
je,je,51
vous,vous,51
en,en,52
supplie,supplier,17
",",",",p
monsieur,monsieur,21
de,de,81
Villefort,Villefort,20
",",",",p
soyez,être,17
juste,juste,30
comme,comme,83
vous,vous,51
devez,devoir,17
l',le,52
être,être,14
",",",",p
bon,bon,60
comme,comme,83
vous,vous,51
l',le,52
êtes,être,17
toujours,toujours,60
",",",",p
et,et,82
rendez,rendre,17
nous,nous,51
bien,bien,60
vite,vite,60
ce,ce,74
pauvre,pauvre,30
Dantès,Dantès,20
/!,/!,P
le,le,52
rendez,rendre,17
nous,nous,51
sonna,sonner,19
révolutionnairement,révolutionnairement,60
à,à,81
l',le,71
oreille,oreille,22
du,de,81
du,le,71
substitut,substitut,21
du,de,81
du,le,71
procureur,procureur,21
du,de,81
du,le,71
roi,roi,21
/.,/.,P
“,“,p
eh,eh,93
!,!,p
eh,eh,93
!,!,p
se,se,51
dit,dire,19
il,il,51
tout,tout,52
bas,bas,60
",",",",p
rendez,rendre,17
nous,nous,51
…,…,p
ce,ce,74
Dantès,Dantès,20
serait,être,16
il,il,51
affilié,affilier,12
à,à,81
quelque,quelque,75
secte,secte,22
de,de,81
carbonari,carbonaro,21
",",",",p
pour,pour,81
que,que,83
son,son,73
protecteur,protecteur,21
emploie,employer,17
ainsi,ainsi,60
",",",",p
sans,sans,81
y,y,52
songer,songer,14
",",",",p
la,le,71
formule,formule,22
collective,collectif,30
?,?,p
on,on,51
l',le,52
a,avoir,17
arrêté,arrêter,12
dans,dans,81
un,un,71
cabaret,cabaret,21
",",",",p
m',je,51
a,avoir,17
dit,dire,12
",",",",p
je,je,51
crois,croire,17
",",",",p
le,le,71
commissaire,commissaire,21
;,;,p
en,en,81
nombreuse,nombreux,30
compagnie,compagnie,22
",",",",p
a,avoir,17
t,t,94
il,il,51
ajouté,ajouter,12
:,:,p
ce,ce,52
sera,être,15
quelque,quelque,75
vente,vente,22
/.,/.,P
“,“,p
puis,puis,60
tout,tout,60
haut,haut,30
:,:,p
“,“,p
monsieur,monsieur,21
",",",",p
répondit,répondre,19
il,il,51
",",",",p
vous,vous,51
pouvez,pouvoir,17
être,être,14
parfaitement,parfaitement,60
tranquille,tranquille,30
",",",",p
et,et,82
vous,vous,51
n',ne,60
aurez,avoir,15
pas,pas,60
fait,faire,12
un,un,71
appel,appel,21
inutile,inutile,30
à,à,81
ma,mon,73
justice,justice,22
si,si,83
le,le,71
prévenu,prévenu,21
est,être,17
innocent,innocent,30
;,;,p
mais,mais,82
si,si,83
",",",",p
au,à,81
au,le,71
contraire,contraire,21
",",",",p
il,il,51
est,être,17
coupable,coupable,30
",",",",p
nous,nous,51
vivons,vivre,17
dans,dans,81
une,un,71
époque,époque,22
difficile,difficile,30
",",",",p
monsieur,monsieur,21
",",",",p
où,où,60
l',le,71
impunité,impunité,22
serait,être,16
d',de,81
un,un,71
fatal,fatal,30
exemple,exemple,21
:,:,p
je,je,51
serai,être,16
donc,donc,82
forcé,forcer,12
de,de,81
faire,faire,14
mon,mon,73
devoir,devoir,21
/.,/.,P
“,“,p
et,et,82
sur,sur,81
ce,ce,52
",",",",p
comme,comme,83
il,il,51
était,être,18
arrivé,arriver,12
à,à,81
la,le,71
porte,porte,22
de,de,81
sa,son,73
maison,maison,22
adossée,adossé,31
au,à,81
au,le,71
palais,palais,21
de,de,81
justice,justice,22
",",",",p
il,il,51
entra,entrer,19
majestueusement,majestueusement,60
",",",",p
après,après,81
avoir,avoir,14
salué,saluer,12
avec,avec,81
une,un,71
politesse,politesse,22
de,de,81
glace,glace,22
le,le,71
malheureux,malheureux,30
armateur,armateur,21
",",",",p
qui,qui,52
resta,rester,19
comme,comme,83
pétrifié,pétrifié,31
à,à,81
la,le,71
place,place,22
où,où,60
l',le,52
avait,avoir,18
quitté,quitter,12
Villefort,Villefort,20
/.,/.,P
l',le,71
antichambre,antichambre,22
était,être,18
pleine,plein,30
de,de,81
gendarmes,gendarme,21
et,et,82
d',de,81
agents,agent,21
de,de,81
police,police,22
;,;,p
au,à,81
au,le,71
milieu,milieu,21
d',de,81
eux,ils,51
",",",",p
gardé,gardé,31
à,à,81
vue,vue,22
",",",",p
enveloppé,enveloppé,31
de,de,81
regards,regard,21
flamboyants,flamboyant,30
de,de,81
haine,haine,22
",",",",p
se,se,51
tenait,tenir,18
debout,debout,60
",",",",p
calme,calme,30
et,et,82
immobile,immobile,30
",",",",p
le,le,71
prisonnier,prisonnier,21
/.,/.,P
Villefort,Villefort,20
traversa,traverser,19
l',le,71
antichambre,antichambre,22
",",",",p
jeta,jeter,19
un,un,71
regard,regard,21
oblique,oblique,30
sur,sur,81
Dantès,Dantès,20
",",",",p
et,et,82
",",",",p
après,après,81
avoir,avoir,14
pris,prendre,12
une,un,71
liasse,liasse,22
que,que,52
lui,lui,51
remit,remettre,19
un,un,71
agent,agent,21
",",",",p
disparut,disparaître,19
en,en,81
disant,dire,13
:,:,p
“,“,p
qu',que,52
on,on,51
amène,amener,17
le,le,71
prisonnier,prisonnier,21
/.,/.,P
“,“,p
si,si,60
rapide,rapide,30
qu',que,83
eût,avoir,19
été,être,12
ce,ce,74
regard,regard,21
",",",",p
il,il,51
avait,avoir,18
suffi,suffire,12
à,à,81
Villefort,Villefort,20
pour,pour,81
se,se,51
faire,faire,14
une,un,71
idée,idée,22
de,de,81
l',le,71
homme,homme,21
qu',que,52
il,il,51
allait,aller,18
avoir,avoir,14
à,à,81
interroger,interroger,14
:,:,p
il,il,51
avait,avoir,18
reconnu,reconnaître,12
l',le,71
intelligence,intelligence,22
dans,dans,81
ce,ce,74
front,front,21
large,large,30
et,et,82
ouvert,ouvert,31
",",",",p
le,le,71
courage,courage,21
dans,dans,81
cet,ce,74
oeil,oeil,21
fixe,fixe,30
et,et,82
ce,ce,74
sourcil,sourcil,21
froncé,froncé,31
",",",",p
et,et,82
la,le,71
franchise,franchise,22
dans,dans,81
ces,ce,74
lèvres,lèvre,22
épaisses,épais,30
et,et,82
à,à,81
demi,demi,30
ouvertes,ouvert,31
",",",",p
qui,qui,52
laissaient,laisser,18
voir,voir,14
une,un,71
double,double,30
rangée,rangée,22
de,de,81
dents,dent,22
blanches,blanc,30
comme,comme,83
l',le,71
ivoire,ivoire,21
/.,/.,P
la,le,71
première,premier,72
impression,impression,22
avait,avoir,18
été,être,12
favorable,favorable,30
à,à,81
Dantès,Dantès,20
;,;,p
mais,mais,82
Villefort,Villefort,20
avait,avoir,18
entendu,entendre,12
dire,dire,14
si,si,60
souvent,souvent,60
",",",",p
comme,comme,83
un,un,71
mot,mot,21
de,de,81
profonde,profond,30
politique,politique,22
",",",",p
qu',que,83
il,il,51
fallait,falloir,18
se,se,51
défier,défier,14
de,de,81
son,son,73
premier,premier,72
mouvement,mouvement,21
",",",",p
attendu,attendu,81
que,que,83
c',ce,52
était,être,18
le,le,71
bon,bon,30
",",",",p
qu',que,83
il,il,51
appliqua,appliquer,19
la,le,71
maxime,maxime,22
à,à,81
l',le,71
impression,impression,22
",",",",p
sans,sans,81
tenir,tenir,14
compte,compte,21
de,de,81
la,le,71
différence,différence,22
qu',que,52
il,il,51
y,y,52
a,avoir,17
entre,entre,81
les,le,71
deux,deux,72
mots,mot,21
/.,/.,P
il,il,51
étouffa,étouffer,19
donc,donc,82
les,le,71
bons,bon,30
instincts,instinct,21
qui,qui,52
voulaient,vouloir,18
envahir,envahir,14
son,son,73
coeur,coeur,21
pour,pour,81
livrer,livrer,14
de,de,81
là,là,60
assaut,assaut,21
à,à,81
son,son,73
esprit,esprit,21
",",",",p
arrangea,arranger,19
devant,devant,81
la,le,71
glace,glace,22
sa,son,73
figure,figure,22
des,de,81
des,le,71
grands,grand,30
jours,jour,21
et,et,82
s',se,51
assit,asseoir,19
",",",",p
sombre,sombre,30
et,et,82
menaçant,menaçant,30
",",",",p
devant,devant,81
son,son,73
bureau,bureau,21
/.,/.,P
un,un,71
instant,instant,21
après,après,81
lui,lui,51
",",",",p
Dantès,Dantès,20
entra,entrer,19
/.,/.,P
le,le,71
jeune,jeune,30
homme,homme,21
était,être,18
toujours,toujours,60
pâle,pâle,30
",",",",p
mais,mais,82
calme,calme,30
et,et,82
souriant,souriant,30
;,;,p
il,il,51
salua,saluer,19
son,son,73
juge,juge,21
avec,avec,81
une,un,71
politesse,politesse,22
aisée,aisé,30
",",",",p
puis,puis,60
chercha,chercher,19
des,de,81
des,le,71
yeux,oeil,21
un,un,71
siège,siège,21
",",",",p
comme,comme,83
s',si,83
il,il,51
eût,avoir,19
été,être,12
dans,dans,81
le,le,71
salon,salon,21
des,de,81
des,le,71
l',le,71
armateur,armateur,21
Morrel,Morrel,20
/.,/.,P
ce,ce,52
fut,être,19
alors,alors,60
seulement,seulement,60
qu',que,83
il,il,51
rencontra,rencontrer,19
ce,ce,74
regard,regard,21
terne,terne,30
de,de,81
Villefort,Villefort,20
",",",",p
ce,ce,74
regard,regard,21
particulier,particulier,30
aux,à,81
aux,le,71
hommes,homme,21
de,de,81
palais,palais,21
",",",",p
qui,qui,52
ne,ne,60
veulent,vouloir,17
pas,pas,60
qu',que,83
on,on,51
lise,lire,17
dans,dans,81
leur,leur,73
pensée,pensée,22
",",",",p
et,et,82
qui,qui,52
font,faire,17
de,de,81
leur,leur,73
oeil,oeil,21
un,un,71
verre,verre,21
dépoli,dépoli,31
/.,/.,P
ce,ce,74
regard,regard,21
lui,lui,51
apprit,apprendre,19
qu',que,83
il,il,51
était,être,18
devant,devant,81
la,le,71
justice,justice,22
",",",",p
figure,figure,22
aux,à,81
aux,le,71
sombres,sombre,30
façons,façon,22
/.,/.,P
“,“,p
qui,qui,52
êtes,être,17
vous,vous,51
et,et,82
comment,comment,60
vous,vous,51
nommez,nommer,17
vous,vous,51
?,?,p
demanda,demander,19
Villefort,Villefort,20
en,en,81
feuilletant,feuilleter,13
ces,ce,74
notes,note,22
que,que,52
l',le,71
agent,agent,21
lui,lui,51
avait,avoir,18
remises,remettre,12
en,en,81
entrant,entrer,13
",",",",p
et,et,82
qui,qui,52
depuis,depuis,81
une,un,71
heure,heure,22
étaient,être,18
déjà,déjà,60
devenues,devenir,12
volumineuses,volumineux,30
",",",",p
tant,tant,60
la,le,71
corruption,corruption,22
des,de,81
des,le,71
espionnages,espionnage,21
s',se,51
attache,attacher,17
vite,vite,60
à,à,81
ce,ce,74
corps,corps,21
malheureux,malheureux,30
qu',que,52
on,on,51
nomme,nommer,17
les,le,71
prévenus,prévenu,21
/.,/.,P
-,-,p
je,je,51
m',je,51
appelle,appeler,17
Edmond,Edmond,20
Dantès,Dantès,20
",",",",p
monsieur,monsieur,21
",",",",p
répondit,répondre,19
le,le,71
jeune,jeune,30
homme,homme,21
d',de,81
une,un,71
voix,voix,22
calme,calme,30
et,et,82
sonore,sonore,30
;,;,p
je,je,51
suis,être,17
second,second,72
à,à,81
bord,bord,21
du,de,81
du,le,71
navire,navire,21
le,le,71
Pharaon,Pharaon,20
",",",",p
qui,qui,52
appartient,appartenir,17
à,à,81
messieurs,monsieur,21
Morrel,Morrel,20
et,et,82
fils,fils,21
/.,/.,P
-,-,p
votre,votre,73
âge,âge,21
?,?,p
continua,continuer,19
Villefort,Villefort,20
/.,/.,P
-,-,p
dix-,dix,72
neuf,neuf,72
ans,an,21
",",",",p
répondit,répondre,19
Dantès,Dantès,20
/.,/.,P
-,-,p
que,que,52
faisiez,faire,18
vous,vous,51
au,à,81
au,le,71
moment,moment,21
où,où,60
vous,vous,51
avez,avoir,17
été,être,12
arrêté,arrêter,12
/?,/?,P
j',je,51
assistais,assister,18
au,à,81
au,le,71
repas,repas,21
de,de,81
mes,mon,73
propres,propre,30
fiançailles,fiançaille,22
",",",",p
monsieur,monsieur,21
“,“,p
",",",",p
dit,dire,19
Dantès,Dantès,20
d',de,81
une,un,71
voix,voix,22
légèrement,légèrement,60
